Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Positive,Facilities
Australia,Standard Double Room - Atrium View,2  ,July 2020,Group, Very roomy bathroom with nice deep bath. Great water pressure in shower. Comfortable bed.,9.0,Very enjoyable and comfortable stay. Staff were very friendly and accommodation.,1,comfort|bathroom|dirty|bed|
Australia,Superior Twin Room,1  ,July 2020,Family, Close to harbour and CBD. Staff friendly and helpful from check in to check out. Room clean comfortable and modern.,9.0,"Excellent, friendly",1,staff|dirty|comfort|
Australia,Standard Double Room - Atrium View,2  ,July 2020,Family, The location was nice,8.0,Very Good,1,location|
Australia,Standard Double Room - Atrium View,1  ,July 2020,Couple," Spacious room, great bed, excellent location",8.0,Fabulous,1,bed|location|
Australia,Studio King Spa Suite,1  ,July 2020,Couple, We got upgraded due to my wife celebrating her 40th birthday. Was not expecting such a gesture. It really made her and my day. The room was exceptional and the staff were fantastic.,10.0,It was the perfect location for a getaway.,1,staff|
Australia,Superior Double Room,2  ,June 2020,Couple," Everything!
Staff very pleasant,  helpful and professional 
Free room upgrade 
Excellent room service",9.0,Radisson Wow,1,staff|noisiness|
Australia,Standard Double Room - Atrium View,1  ,June 2020,Solo traveler, Always very comfortable and quiet. Love the large bathtub in the bathroom.  Room service was is so good i don't even bother heading out for dinner.,10.0,Its my preferred place to stay.,1,comfort|noisiness|bathroom|staff|food/drink|
Australia,Superior Double Room,1  ,June 2020,Couple, Convenient,8.8,Russo,1,
Australia,Superior Double Room,2  ,June 2020,Group, upgraded room,9.0,luxe,1,
Australia,Superior Double Room,1  ,June 2020,Couple, Excellent location and easy parking,9.0,Wonderful,1,location|parking|
Australia,Superior Double Room,3  ,June 2020,Couple," Loved the room although we were moved due to malfunction with heating so communication was poor with staff on at that time. Comfy bed, clean bathrooms, well facilitated. Everything you need .",10.0,"Great location, most staff members were exceptional, especially serving our breakfast.",1,temperature|staff|comfort|bed|dirty|bathroom|
Australia,Standard Double Room - Atrium View,2  ,June 2020,Solo traveler, I liked that it was in a good location and it was easy to get around on foot. It was also not far from places I wanted to go which were a cheap Uber trip!,9.0,"Very clean, great service and awesome movie selection!",1,location|price|
United States of America,Superior Double Room,2  ,June 2020,Solo traveler," This was the third time I stayed at this location. The property is centrally located, with easy access to public transportation, restaurants, and the downtown CBD and major tourist attractions.",9.0,"Location, room size, accommodating staff  ... this place has it all",1,location|restaurant|
Australia,Superior Double Room,1  ,June 2020,Solo traveler, I like the precautions the hotel have taken over Covid 19.,10.0,Very good - great hotel,1,covid|
Australia,Superior Double Room,1  ,June 2020,Couple, Great location. Bed was so comfy,9.0,Would stay again,1,location|bed|comfort|
United Kingdom,Standard Double Room - Atrium View,3  ,March 2020,Couple, Location was very good and the room was comfortable. Concierge was very good.,8.0,Very Good,1,location|comfort|
Australia,Standard Double Room - Atrium View,1  ,March 2020,Solo traveler," Excellent room with working desk, good light and super bed",9.0,Wonderful,1,bed|
United Kingdom,Standard Double Room - Atrium View,3  ,March 2020,Couple," All very good. Excellent location, 10 mins walk from Circular Key and The Rocks which is why we stayed there. Staff very helpful and friendly. Great breakfast. Lots of options. Everything was good, but at the price it should be!!",8.0,All good,1,location|staff|food/drink|price|
Australia,Standard Double Room - Atrium View,3  ,February 2020,Family, Great location to see everything in Sydney. Beds comfy and the staff were excellent.,10.0,Exceptional,1,location|bed|comfort|staff|
Canada,Standard Double Room - Atrium View,2  ,March 2020,Couple," Upgraded to a king size bed, fantastic.
Early check in and late check out as requested, no problem. 
Staff very professional, helpful and happy to help.",9.0,Would go back without hesitation and would highly recommend it.,1,bed|staff|
Australia,Superior Double Room,3  ,March 2020,Solo traveler, Fabulous room and great amenities,9.6,Exceptional,1,
Australia,Standard Double Room - Atrium View,2  ,March 2020,Solo traveler, Great rooms,10.0,Exceptional,1,
Australia,Standard Double Room - Atrium View,1  ,March 2020,Solo traveler, Location. Good sized room. Peaceful and quiet.,9.6,"Relaxing stay, great location",1,location|noisiness|
Cyprus,Standard Double Room - Atrium View,1  ,March 2020,Couple," Helpful staff, very clean, beautiful room and bathroom, comfortable, excellent location. I recommend it and i will return.",10.0,Lovely hotel,1,staff|dirty|bathroom|comfort|location|
Australia,Standard Double Room - Atrium View,2  ,March 2020,Solo traveler," The check in process was efficient and the gentleman very helpful. The bed was very comfortable and the variety in pillows would suit any person.
The location was very central and easy walking distance to anything you were there for.",10.0,"I can give you one word, Excellent!",1,staff|bed|comfort|location|
Australia,Standard Double Room - Atrium View,1  ,March 2020,Family," comfortable beds, clean facilities and friendly staff. Great location, close to transport and all attractions. Good breakfast and late check out too!",8.0,"Lovely room, affordable rates and great location.",1,comfort|bed|dirty|staff|location|food/drink|
United Kingdom,Standard Double Room - Atrium View,5  ,March 2020,Couple," Great accommodation, relentless pleasantness and professionalism of all staff",10.0,Great Hotel in Sydney,1,staff|
New Zealand,Superior Double Room,4  ,March 2020,Couple," Lovely large rooms, handy location to all parts of CBD. Comfy bed and pillows. Staff were very helpful :)",8.0,Very Good,1,location|comfort|bed|staff|
Australia,Standard Double Room - Atrium View,2  ,March 2020,Couple," The staff were very accommodating and helpful! We stayed here the exact time as last year for our wedding and they let us stay in the same suite this year which made the stay more memorable. Hotel and facilities were clean and spotless, food and drinks were yummy, and staff were really friendly. Thank you!",10.0,Amazing first year anniversary staycation,1,staff|dirty|food/drink|
Australia,Standard Double Room - Atrium View,1  ,March 2020,Couple," King size bed, lovely bathroom with deep bath",10.0,Fantastic little getaway,1,bed|bathroom|
Australia,Standard Double Room - Atrium View,2  ,March 2020,Couple, Huge rooms and bathroom.,9.6,Exceptional,1,bathroom|
Slovenia,Superior Twin Room,4  ,March 2020,Group," Excellent breakfast, friendly staff, comfy beds, very central location",10.0,Exceptional,1,food/drink|staff|comfort|bed|location|
Australia,Standard Double Room - Atrium View,1  ,March 2020,Family," Location 
Room size 
Towels
Free upgrade
Great breakfast",10.0,Outstanding,1,location|bathroom|food/drink|
Australia,Standard Double Room - Atrium View,1  ,March 2020,Solo traveler," Radisson Blue in Sydney is conveniently located  within walking distance of the many attractions that Sydney has to offer. When you enter the hotel, you are greeted by friendly staff - the atmosphere is relaxed after the busy streets. The appointment  level of the rooms is high. The bed extremely comfortable and my whole experience at the hotel rejuvenating....I will be back.",10.0,Comfortable sanctuary in the city,1,location|staff|bed|comfort|
United Kingdom,Standard Double Room - Atrium View,5  ,March 2020,Couple," Location is excellent, staff were really friendly.",9.0,Wonderful,1,location|staff|
Australia,Standard Double Room - Atrium View,2  ,March 2020,Couple, The hotel was so accommodating. The event in Sydney we were supposed to go to was canceled at the last moment meaning we arrived early to the hotel. The hotel not only allowed us early check in but upgraded us to a king room. The entire time we were there the staff were so friendly and made us feel so welcome. I would highly recommend this hotel to anyone and will be back.,10.0,Amazing,1,location|staff|
United States of America,Superior Double Room,4  ,March 2020,Couple, Nice and clean room. Very good quality food at breakfast buffet. Great location for shoppers.,9.0,Clean room. Good breakfast. Great shopping.,1,dirty|food/drink|location|
Australia,Standard Double Room - Atrium View,2  ,February 2020,Couple," The doormen, bag service, bar and restaurant staff were amazing. The room itself was exceptional, very comfortable, clean and tidy. We originally booked a standard queen room but because of the miscommunication at check in, the lovely manager upgraded us to a luxury business room. The facilities and location were great",10.0,Wonderful,1,staff|restaurant|comfort|dirty|location|
Australia,Standard Double Room - Atrium View,2  ,March 2020,Couple," Exceptional staff! Great location, comfortable good sized room, relaxed bar and coffee area. Probably our most faultless and enjoyable stay ever. Each and every member of staff we interacted with over our 4 day stay was simply excellent.",10.0,Exceptional,1,staff|location|comfort|restaurant|food/drink|
Australia,Standard Double Room - Atrium View,1  ,March 2020,Couple," Staff are always excellent. Friendly attentive and very professional. We checked in early and they found us a room. Very comfy beds, great gym and pool. Central for work.",8.0,Lovely hotel great awevice,1,staff|comfort|bed|fitness|location|
United Kingdom,Standard Double Room - Atrium View,1  ,March 2020,Couple," the cleanliness, staff and location was great!",8.0,The room and breakfast average for a 5 star hotel. The staff and location: fantastic.,1,dirty|staff|location|
Australia,Standard Double Room - Atrium View,2  ,March 2020,Solo traveler," Large comfortable room with all facilities.  Very quiet.  Staff very friendly and very helpful.  Breakfast buffet had all options and was open until 10.30am, which suited me due to a very late arrival the night before.",10.0,A High Class Hotel with Great Staff,1,comfort|noisiness|staff|food/drink|
United Kingdom,Standard Double Room - Atrium View,3  ,February 2020,Couple," Location, staff, service, breakfast, room.",10.0,Great Hotel,1,location|staff|food/drink|
United Kingdom,Standard Double Room - Atrium View,2  ,March 2020,Solo traveler," Location was central easy to walk around. Check in/out was easy & quick. Room was lovely, comfortable & clean. Room Service was good.",9.6,Exceptional,1,location|comfort|dirty|staff|
Australia,Business Class Room,1  ,March 2020,Couple, The room was spacious and well appointed. The bed was very comfortable and the linen crisp and clean. Bathroom was very nice and the towels were fluffy and good quality.,9.0,We'll be back.,1,bed|comfort|dirty|bathroom|
Australia,Standard Double Room - Atrium View,1  ,March 2020,Couple," Very comfortable, central location",10.0,Great spot,1,comfort|location|
Australia,Standard Double Room - Atrium View,2  ,March 2020,Solo traveler," Great location, comfortable rooms and friendly staff",9.2,Wonderful,1,location|comfort|staff|
Australia,Standard Double Room - Atrium View,1  ,March 2020,Couple, Lovely big room very comfortable,9.0,Very happy with stay,1,comfort|
Australia,Business Class Room,1  ,March 2020,Family, The property is very good nice room it’s clean and cozy bed good breakfast staff very helpful,8.3,Good hotel,1,dirty|comfort|bed|food/drink|staff|
United Kingdom,Standard Double Room - Atrium View,1  ,March 2020,Family, Perfect location large room,10.0,Exceptional,1,location|
Australia,Superior Double Room,1  ,March 2020,Couple," Everything. The bed and pillows were perfect. Amazing spa facilities the  pool temperature was perfect. bathroom and room was beautiful and clean, breakfast amazing. And the staffs service was exceptional.",10.0,Exceptional,1,bed|fitness|temperature|bathroom|dirty|food/drink|staff|
Australia,Standard Double Room - Atrium View,1  ,March 2020,Couple, Very good location and extremely quiet.,9.2,Wonderful,1,location|noisiness|
Australia,Standard Double Room - Atrium View,1  ,March 2020,Solo traveler, Always amazing! I love the Raddison!,10.0,Exceptional,1,
Australia,Standard Double Room - Atrium View,1  ,March 2020,Couple," The location was great, so close to public transport and a short walk to anywhere to get a quick bite. The staff were amazing, the room was clean and the bed was so comfortable.",8.8,Excellent,1,location|staff|dirty|bed|comfort|
Australia,Standard Double Room - Atrium View,1  ,March 2020,Solo traveler, The room is spacious and the bathroom was great.The service is absolutely fantastic and swift.,9.0,Wonderful,1,bathroom|staff|
United Kingdom,Standard Double Room - Atrium View,4  ,February 2020,Couple," Great location and rooms are lovely 
Staff fantastic",10.0,Exceptional,1,location|staff|
Australia,Standard Double Room - Atrium View,1  ,December 2019,Solo traveler," It was clean, fresh, luxurious and great value. The room was beautiful and the bed was so comfy.",9.0,Amazing stay but slow service,1,dirty|price|bed|comfort|
Australia,Standard Double Room - Atrium View,1  ,March 2020,Solo traveler," Easy to get to , clean and friendly staff",8.8,Excellent,1,dirty|staff|
Australia,Standard Double Room - Atrium View,1  ,March 2020,Couple, Beautiful large rooms that are very stylish and comfortable.,10.0,Great place to stay in cbd,1,comfort|
Canada,Superior Twin Room,3  ,March 2020,Family," Beds,covers, and pillows the best. That’s the most important to me.  A good sleep.",9.6,So comfortable.,1,bed|
United States of America,Superior Double Room,3  ,March 2020,Couple," The room was very large and provided excellent up-to-date features such as multiple USB plugs, indirect lighting, soundproofing between the bathroom and the bedroom,plates and dinnerware, analytical adapter for the Australian plugs, and many amenities. The beds were extremely comfortable and the hotel offers a killer menu where they provided us with a foam contour pillow that was the perfect from us! We slept soundly and very comfortably every night. We felt very taken care of by the staff from the moment we walked in the door to our check out. Front desk and concierge were always attentive and very friendly. It was quite an impressive stay! It is a few blocks away from the Circular Quay cruise, ferry port and transportation hub and two blocks from the T train lines, which take you to the airport or other local destinations.",9.2,Extremely comfortable stay,1,bathroom|food/drink|bed|comfort|restaurant|staff|location|
Australia,Standard Double Room - Atrium View,1  ,March 2020,Couple, Amazing staff at this hotel. Happy from the time we walked in the door where I broke my shoe and the staff helped me with some slippers until I could replace them up until we had the doors opened for us when we left.,9.0,Great hotel that I've booked again in 2 weeks time. Don't waste your money at Bentley.,1,staff|
United Arab Emirates,Standard Double Room - Atrium View,1  ,March 2020,Solo traveler, Lovely Classic Hotel with history,9.2,Wonderful,1,
New Zealand,Standard Double Room - Atrium View,2  ,March 2020,Solo traveler," Great location, quiet room and clean room. I would definitely stay here again!",10.0,Exceptional,1,location|noisiness|dirty|
United States of America,Standard Double Room - Atrium View,1  ,February 2020,Group, Location,9.0,Very pleasant stay,1,location|
Australia,Standard Double Room - Atrium View,2  ,March 2020,Group, was a rather nice hotel,8.0,Very Good,1,
Australia,Standard Double Room - Atrium View,2  ,March 2020,Family, Comfortable bed and they gave you pillow options,10.0,Exceptional,1,comfort|bed|
Australia,Standard Double Room - Atrium View,1  ,February 2020,Couple, Buffet breakfast included was very good value.  Great location and staff and service excellent with lift access to restaurant and floors and shower only accessible rooms for guests with mobility issues.  In the stormy weather on the 9th February Hotel staff came running out to assist us drenched with luggage and my wifes'mobility aide.,8.0,Highly recommended for the location and personal assistance of staff.,1,food/drink|price|location|staff|restaurant|bathroom|
Australia,Standard Double Room - Atrium View,2  ,March 2020,Group, I like the personal touch of them leaving a birthday card for my friend in the room. Safe luggage storage and late check out. Beautiful room with a balcony! Convenient location!,10.0,Excellent hotel I’d definitely stay there again! The staff were very professional!,1,location|
Australia,Standard Double Room - Atrium View,2  ,March 2020,Couple," Property is close to everything if you like exploring. In any direction. 
Staff were excellent and always helpful",10.0,Blissful unwind,1,staff|
Australia,Superior Double Room,3  ,February 2020,Solo traveler," I stay often at the Radisson Blu when I go to Sydney for work. Location is perfect, hotel is very clean, rooms are spacious and comfortable and the staff are friendly.",10.0,Love Radisson Blu,1,location|dirty|comfort|staff|
Australia,Superior Double Room,1  ,February 2020,Solo traveler, Loved the spacious modern suite with balcony and bath tub. Great location with most places within walking distance. Staff are attentive and welcoming.,10.0,Modern spacious hotel with amazing staff and great facilities,1,comfort|bathroom|location|staff|
Romania,Standard Double Room - Atrium View,4  ,January 2020,Couple, Location,8.3,Good location,1,location|
Malaysia,Standard Double Room - Atrium View,8  ,February 2020,Solo traveler, The room is nicely designed & beautiful.,8.0,Never regret choosing this hotel.,1,
United Kingdom,Standard Double Room - Atrium View,3  ,February 2020,Solo traveler, Very friendly helpful staff.,9.6,Exceptional,1,staff|
Australia,Standard Double Room - Atrium View,5  ,February 2020,Solo traveler," Great central location, clean and comfortable room, friendly staff!",10.0,Little Gem,1,location|dirty|comfort|staff|
United Kingdom,Standard Double Room - Atrium View,4  ,February 2020,Couple, It’s location was perfect to see Sydney highlights,9.6,Exceptional,1,location|
Australia,Standard Double Room - Atrium View,4  ,February 2020,Solo traveler," Close to train stations, centrally located, very quiet and comfortable rooms, really enjoyed the Tim Tams with a cup of tea in the afternoon.",9.6,Exceptional,1,location|noisiness|comfort|food/drink|
United States of America,Standard Double Room - Atrium View,4  ,February 2020,Family," The location was very central , it was extremely clean , very accommodating and super easy to find . The staff was all extremely nice , they helped out with luggage , would go that extra mile to help and always very very awesome . My mom and myself loved it",10.0,Exceptional,1,location|dirty|staff|
United Kingdom,Standard Double Room - Atrium View,1  ,February 2020,Couple, Everything was great!,10.0,Exceptional,1,
United States of America,Standard Double Room - Atrium View,1  ,February 2020,Couple, The staff was very polite and accommodating.  We checked in at 8am and they stored our bags and gave us access to the spa to shower. Very welcome after 18 hour flights. The breakfast was awesome. Highly recommend,10.0,Exceptional,1,staff|fitness|bathroom|food/drink|
Australia,Standard Double Room - Atrium View,2  ,February 2020,Solo traveler," Room cleanliness, concierge and doormen.",8.0,Would be a 10/10 if the night shift check-in clerk learnt some manners and gets more training,1,dirty|
Australia,Standard Double Room - Atrium View,1  ,February 2020,Family, Staff were lovely offering my toddler colouring books and other thoughtful gestures throughout our stay.,9.0,Enjoyable thank you,1,staff|
Australia,Standard Double Room - Atrium View,1  ,February 2020,Couple, Like complementary water in reusable glass bottles!! No plastic.,10.0,Exceptional,1,bathroom|dirty|food/drink|
Australia,Standard Double Room - Atrium View,1  ,February 2020,Couple, From the concierge to the cleaners the staff at this hotel have been extremely accomodating. 5 star service from start to finish. I shall definitely return.,10.0,Excellent service,1,dirty|staff|
Australia,Standard Double Room - Atrium View,2  ,February 2020,Couple, Everything about the place,10.0,Exceptional,1,location|
Australia,Standard Double Room - Atrium View,1  ,February 2020,Family, Location to all the city and to the waterfront,10.0,Exceptional,1,location|
Australia,Standard Double Room - Atrium View,2  ,February 2020,Couple, The toilet seat,9.0,Bubbly and fruity,1,bathroom|
Australia,Standard Double Room - Atrium View,3  ,February 2020,Solo traveler, Location,7.9,Good,1,location|
Trinidad and Tobago,Superior Double Room,3  ,February 2020,Couple, Great location,7.9,Good,1,location|
United Kingdom,Standard Double Room - Atrium View,2  ,February 2020,Couple, everything. great location.,10.0,Exceptional,1,location|
Australia,Standard Double Room - Atrium View,1  ,February 2020,Couple," Bed extra comfy. We were upgraded to a king room upon arrival, with a lovely seating area and large window overlooking the city.",10.0,Brilliant!,1,bed|comfort|location|
United Kingdom,Standard Double Room - Atrium View,3  ,January 2020,Couple, W asked for a quiet room away from the street noise and were given a room in the quadrant for an extra 8$!  There was a little noise from the aircon units outside but was not noticed after the first night.,10.0,We experienced excellent and pleasant service from the staff and would certainly stay at this hotel,1,noisiness|location|
Australia,Standard Double Room - Atrium View,1  ,February 2020,Couple, Didn't have the breakfast,10.0,Great Hotel!,1,food/drink|
Australia,Standard Double Room - Atrium View,5  ,February 2020,Couple, Breakfast was fine.,8.0,Enjoyed our stay for a few nights.,1,food/drink|
Australia,Standard Double Room - Atrium View,2  ,February 2020,Family," Location was brilliant, close to the city centre and to the harbour/rocks areas.",8.0,"Great position, friendly/helpful staff, great breakfast",1,location|
Australia,Standard Double Room - Atrium View,1  ,February 2020,Couple, Room was very spacious staff friendly and accommodating throughout the facility including breakfast,9.0,Very pleasant will definitely stay there again,1,staff|food/drink|
Australia,Standard Double Room - Atrium View,2  ,February 2020,Family, Exceptional service & value for money. Highly recommend,10.0,Exceptional,1,staff|price|
Malta,Standard Double Room - Atrium View,3  ,February 2020,Couple," Staff, cleanliness and location",9.0,Fantastic hotel with great staff. An example of what customer service is all about,1,staff|dirty|location|
Australia,Standard Double Room - Atrium View,1  ,February 2020,Couple, Lovely hotel in a great location.  Comfortable room and pillows,10.0,Exceptional,1,location|comfort|bed|
Australia,Superior Double Room,1  ,February 2020,Couple, The king size bed was 10/10 & loved the bathroom.,8.3,Very Good,1,bed|bathroom|
Australia,Standard Double Room - Atrium View,1  ,February 2020,Couple, Everything from check in to check out was amazing. Angie at the reception desk was very kind to meet all our requests and even gave us a complimentary upgrade for our special celebration. The room was clean and bed was comfortable. We asked for firm pillows and they came promptly. Water pressure in the shower was great. Amenities in the room were more than what we could ask for. Would  definitely come back!,9.0,Excellent! Highly recommend,1,staff|price|dirty|bed|comfort|bathroom|
United States of America,Superior Double Room,4  ,February 2020,Couple," Great breakfast. Fantastic, friendly service from all staff. Business level lounge well worth it. Great location- easy walk to everywhere we wanted to go. Comfortable bed!",10.0,Would love to go back!,1,food/drink|staff|location|comfort|bed|
Australia,Standard Double Room - Atrium View,1  ,February 2020,Couple," The Pool, Jacuzzi and steam room. Location is great. Breakfast buffet amazing! We enjoyed our stay!!!",10.0,Exceptional,1,fitness|location|food/drink|
United Kingdom,Standard Double Room - Atrium View,3  ,January 2020,Couple," Everything, facilities, location and staff.special thanks to the omelette chef who makes fantastic omelettes",10.0,Exceptional,1,location|staff|restaurant|
Australia,Standard Double Room - Atrium View,2  ,February 2020,Family, Concierge staff were outstanding in their helpfulness..,9.6,Exceptional,1,staff|
Australia,Standard Double Room - Atrium View,1  ,February 2020,Group, We had a little difficulty working out the parking but once we rang and were told what to do it was very easy. Loved the location and the staff were tremendous. Our room was very clean and spacious. We would definitely stay here again.,10.0,Great location,1,parking|location|staff|dirty|
Australia,Standard Double Room - Atrium View,1  ,February 2020,Couple, Breakfast was very nice and overall great value for money. Midday checkout was a terrific surprise,9.0,Wonderful,1,food/drink|price|
Australia,Standard Double Room - Atrium View,1  ,February 2020,Couple," Staff were friendly and welcoming and the room we were given was very spacious, clean and modern. We took the breakfast package and definately worth it with the quality of the buffet breakfast provided being noticeably better than other hotels we have stayed in the Sydney CBD.",10.0,A Nice Experience.,1,staff|dirty|comfort|food/drink|location|
Australia,Standard Double Room - Atrium View,2  ,January 2020,Couple, Great place to stay for shopping in Pitt Street Mall but also be near some great restaurants like Spice Temple etc. Very handy to Martin Place Station too.,9.0,Loved it,1,location|restaurant|
United States of America,Standard Double Room - Atrium View,2  ,January 2020,Couple," Location,room",9.0,Wonderful,1,location|
Australia,Standard Double Room - Atrium View,3  ,February 2020,Couple, Big spacious rooms. A bar and restaurant downstairs and a nice pool and spa. Excellent customer service,10.0,Exceptional,1,restaurant|bathroom|fitness|staff|
Australia,Superior Double Room,1  ,February 2020,Solo traveler," The staff were wonderful and very helpful.
The gentlemen that served & waited on myself & my mother whilst we were dining just outside the formal bar & dining area went above and beyond to see that our needs were met.
I have unfortunately forgotten his name, he was tall and slim and of Asian decent, I do know that he plays afl.
This staff member was very welcoming and friendly, he was attentive and helpful.
Our stay was great, the pool & spa were relaxing. The location of the hotel was central to Pitt street mall which houses all different wonderful stores.",10.0,PHENOMENAL,1,staff|restaurant|location|fitness|
Canada,Superior Double Room,4  ,February 2020,Couple," EXCELLENT LOCATION, SPACIOUS COMFORTABLE ROOM
LARGE BATHROOM WITH SEPARATE TUB AND SHOWER",9.0,"EXCELLENT FACILITIES, CONVENIENTLY CLOSE TO THE ROCKS, CIRCULAR QUAY AND SHOPPING DISTRICT",1,location|comfort|bathroom|
United Kingdom,Standard Double Room - Atrium View,3  ,February 2020,Couple," Staff friendly and helpful
Nice size room
Clean",8.0,Very Good,1,staff|dirty|
Australia,Superior Double Room,2  ,February 2020,Couple, The bed and pillows excellent. The block out curtains great. All staff we had contact with fantastic,10.0,Exceptional,1,bed|staff|
Ireland,Superior Double Room,1  ,February 2020,Couple, The staff were absolutely exceptional and the room was one of the best I've ever stayed in. The spa was amazing too. Already planning my return.,10.0,Exceptional hotel and staff,1,staff|fitness|
Australia,Standard Double Room - Atrium View,1  ,February 2020,Couple, Clean & wonderful staff,10.0,Perfect location,1,dirty|staff|
Australia,Superior Double Room,1  ,February 2020,Couple," It really did feel like a 5 star hotel. Porters to take your bag, professional attention. I stayed in another 5 star hotel in Sydney two weeks prior and this was definitely a better experience. Will definitely stay again.",10.0,Exceptional,1,location|
Australia,Standard Double Room - Atrium View,2  ,February 2020,Solo traveler, Beautiful room. Friendly staff. Will definitely stay again!!,10.0,Exceptional,1,staff|
Australia,Superior Double Room,1  ,February 2020,Couple, Great location. Valet parking was a bonus.,9.6,Exceptional,1,location|parking|
Australia,Standard Double Room - Atrium View,1  ,February 2020,Couple," Great location. Short walk from Wynyard station. Close to Circular Quay. They upgraded our room, and it was very spacious and comfortable.",9.0,Great location. Lovely hotel.,1,location|comfort|
Australia,Standard Double Room - Atrium View,1  ,February 2020,Group," Location is perfect, staff is friendly, everything was great!",9.0,Wonderful,1,location|staff|
United Kingdom,Superior Double Room,4  ,January 2020,Couple," An old historical property that has been sympathetically restored and turned into a comfortable friendly hotel. It is close to the major sights (Bridge,  Opera house, ferry terminal etc) and within an easy walk of the shops, Darling Harbour and central historical sights.
Quiet cool bedroom, very friendly and helpful staff, reasonable gym.",10.0,"A great Hotel in Sydney’s CBD, very close to the major sights",1,comfort|staff|location|restaurant|noisiness|bathroom|fitness|
Australia,Standard Double Room - Atrium View,3  ,January 2020,Couple," Virtually everything. 
Very friendly and helpful staff.
Great central city location, with easy walk to many attractions and good public transport.",9.0,Lovely Sydney short stay.,1,staff|location|
Australia,Deluxe Double Room with Balcony,3  ,January 2020,Family, Loved the location and service,10.0,Exceptional,1,location|staff|
United Kingdom,Standard Double Room - Atrium View,5  ,January 2020,Solo traveler," Very welcomed in to the hotel on arrival staff where very helpful and willing to give advice and off help where needed without being over powering. Very clean Staff where very polite and helpful with help in booking attractions, advising where to eat. 
it was very safe, managed very well.",10.0,"It meet all my need and more, great experience,  that help make a 5 day break perfect Thank you",1,staff|dirty|
Canada,Standard Double Room - Atrium View,3  ,January 2020,Couple," Service, above expectations.",9.0,Would go back without hesitation and would highly recommend it.,1,staff|
