Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Negative,Positive,Facilities
United Kingdom,Superior King Room with Iconic View,3  ,September 2020,Couple," Amazing locAtion, right out of the central station. Great breakfast under the circumstances, rooms where quiet and clean.",8.0,Very Good,0,1,location|food|noisiness|dirty|
Ireland,Superior King Room,4  ,August 2020,Couple," Excellent location, close all amenities and attractions",7.0,Good,0,1,location|
Luxembourg,Superior King Room with Iconic View,2  ,August 2020,Couple," The property is elegant and perfectly located, all main attractions are just a walk away. The Sauna is a nice touch and made our staying very cozy! The staff is nice and helpful.",7.0,"Nice staying, perfect location but lacked some facilities",0,1,location|comfort|staff|
United Kingdom,Superior King Room,4  ,August 2020,Couple," We had an amazing stay - despite being right in town, our room was quiet & comfortable. The staff were friendly and welcoming -  we felt completely safe with their extra cleaning service.",9.0,Excellent City Stay,0,1,location|noisiness|comfort|staff|dirty|
France,Executive King Room with Iconic View,4  ,August 2020,Couple," The location 
The room style 
The staff",9.0,Cool,0,1,location|comfort|staff|
Switzerland,Executive King Room with Iconic View,3  ,August 2020,Couple," Excellent location, not noisy considering outside high traffic.",9.0,"Beautiful, fun city!",0,1,location|noisiness|
United Kingdom,Superior King Room,3  ,August 2020,Couple, Comfortable matresss,8.0,Very Good,0,1,comfort|
United Kingdom,Superior Twin Room,1  ,August 2020,Group," Great location,friendly lady checked us in so good overall but received a filthy towel",8.0,Fine,0,1,location|staff|dirty|bathroom|
Belgium,Superior Twin Room,2  ,August 2020,Group, Superb location and nice rooms. The staff was very friendly and helpfull.,7.0,"Great location, no parking",0,1,location|staff|
United Kingdom,Superior King Room with Iconic View,2  ,July 2020,Couple," I liked the grandness of the property it was beautiful, very clean and well kept. Had a modern twist on classic decor. 
The staff were lovely and very helpful, the gentleman with the moustache working in the bar was very chatty and we had an overall great experience when having a few cocktails in the hotel bar. So thank you sir!",7.0,GOOD STAY / GREAT LOCATION,0,1,dirty|comfort|staff|drink|restaurant|food|
United Kingdom,Superior King Room with Iconic View,2  ,August 2020,Couple, Cleaness and location is perfect,9.0,Great hotel,0,1,location|
Netherlands,Superior King Room,1  ,August 2020,Group," The staff is very helpful and friendly. The location is perfect. The room was very clean. The concierge’s allowed us to store our luggage while we went to lunch and a museum, which I thought was very friendly and nice.",7.0,Great staff not so great room,0,1,staff|location|dirty|food|
United Kingdom,Superior King Room with Iconic View,3  ,August 2020,Solo traveler, Breakfast at the Park Plaza was excellent. The hours for breakfast were excellent. Lots of options for breakfast which was nice.,7.0,I am looking forward to my next trip to Amsterdam.,0,1,food|
Norway,Superior King Room,1  ,August 2020,Solo traveler," Good location, close Central station and restaurants.",8.0,Very Good,0,1,location|restaurant|
United Kingdom,Executive King Room with Iconic View,1  ,July 2020,Couple, Great central location,8.0,Very Good,0,1,location|
Switzerland,Superior Twin Room,1  ,August 2020,Group, Easy to connect to all the places. All the tourist attractions are in walking distance.,9.0,Wonderful location,0,1,location|
Switzerland,Superior Twin Room,1  ,August 2020,Family," Easy to connect to all the places. All the tourist attractions are in walking distance. It is also close to a hospital. My friend’s father went to emergency early in the morning, the staff came and told her the place.",9.0,"Great location, wonderful staff",0,1,location|staff|
Switzerland,Superior Twin Room,4  ,August 2020,Group, Easy to connect to all the places. All the tourist attractions are in walking distance.,9.0,Excellent location,0,1,location|
United Kingdom,Executive King Room with Iconic View (3 Adults),5  ,August 2020,Family, Bed 🛌 was very comfortable and excellent breakfast 😋,9.0,Wonderful,0,1,bed|comfort|food|
United Kingdom,Superior Twin Room,1  ,August 2020,Group," Amazing location near everything, clean polite team excluding that 1 guys. 
Breakfast was good 
Thank you to Khalid and the lady who also went above and beyond for me.",8.0,Very Good,0,1,location|dirty|staff|food|
United Kingdom,Superior King Room,2  ,August 2020,Couple," The location, the design",9.0,Park plaza victoria,0,1,location|
United Kingdom,Superior King Room,3  ,August 2020,Couple," The hotel itself is very elegant and tastefully decorated. The room was lovely and the bed very comfortable. Central location. Breakfast is good. Quite a bit of variety. Lovely hot chocolate. You can requests amongst other things, balloons and Prosecco for the room upon arrival which is nice for b day surprises etc.",7.0,Lovely hotel great location. Front desk staff lacking though,0,1,bed|comfort|location|food|
United Kingdom,Superior King Room with Iconic View,3  ,August 2020,Couple," Good location, opposite train station and near restaurants but about 20 min walk to main square with bars. Very clean, modern and comfortable. Definitely would recommend!",9.2,Wonderful,0,1,location|restaurant|drink|dirty|comfort|
Belgium,Superior King Room,1  ,August 2020,Family, Comfort and location,8.0,Very Good,0,1,comfort|location|
United Kingdom,Superior King Room,4  ,August 2020,Group, Staff,7.0,Good,0,1,staff|
United Kingdom,Superior Twin Room,3  ,August 2020,Group, Brilliant location lovely food and friendly staff,7.0,Good,0,1,location|drink|food|staff|
Germany,Superior King Room with Iconic View,3  ,August 2020,Couple, King size bed!,8.0,"We visited Amsterdam to spend time with our Son, who studies in Amsterdam. Excellent location.",0,1,bed|
Singapore,Superior King Room,2  ,August 2020,Couple, Excellent location and extremely hospitable and helpful staff.,9.0,Wonderful,0,1,location|staff|
United Kingdom,Superior King Room with Iconic View,4  ,August 2020,Couple," Room, location and breakfast were amazing",8.0,We had a pleasant stay but was cut short due to quarantine so we had to leave after 2 nights.,0,1,location|food|
United Kingdom,Superior Twin Room,3  ,August 2020,Group," Location was so central, beautiful rooms and friendly staff.",8.0,Location is perfect,0,1,location|staff|
United Kingdom,Superior Twin Room,1  ,August 2020,Family," Slap bang in the middle of everything. Easy to find. Five mins from train station ( and airport train). 
Helpful staff. Nice room.",8.3,Perfect location,0,1,location|staff|
Ireland,Superior King Room,2  ,August 2020,Couple," Location,  cleanliness, room was smaller than expected but served its's purpose, such a beautiful hotel & cocktails from the Bar where super.",8.0,"Clean, comfortable, modern, extremely convenient.",0,1,location|dirty|food|drink|restaurant|
United States of America,Superior Twin Room,1  ,August 2020,Group, All the safety protocols in place and the central location.,9.0,"Central location, 20 mins from airport. close to everything",0,1,location|
United Kingdom,Superior Twin Room,2  ,August 2020,Family," Good location , clean , quiet",7.0,Good,0,1,location|dirty|noisiness|
France,Executive King Room (3 Adults),2  ,August 2020,Family," Location of the hotel, in the city center, is one of its main qualities.
Modern, quite luxurious, well equipped, good service...it was definitely a good choice to stay a few days and discover Amsterdam.",8.0,"Excellent location, confortable, welcoming....except if you arrive by car :-(",0,1,location|comfort|price|staff|
United Kingdom,Superior Twin Room,2  ,August 2020,Group," The location was excellent the hotel was in the city centre, rooms were spacious and beds were comfortable and a big flat screen tv in the room.",7.0,Good,0,1,location|bed|comfort|tv|
Australia,Superior Twin Room,3  ,August 2020,Group, The location,9.0,Wonderful,0,1,location|
United Kingdom,Superior Twin Room,3  ,August 2020,Group," Close to station. 
Ability to book pool.",7.0,"Good, had a lovely birthday.",0,1,fitness|
United Kingdom,Executive King Room with Iconic View,1  ,August 2020,Couple," Room was amazing with a beautiful view, location was excellent, staff were really helpful.",9.0,Amazing room,0,1,location|staff|
United Kingdom,Superior Twin Room,1  ,July 2020,Couple, room was adequate but due ti lockdown  littles else to say,8.0,simply ok,0,1,
France,Superior King Room,3  ,August 2020,Couple, Hi tech / confort lit / silence,7.0,Good,0,1,
United Kingdom,Superior King Room,4  ,August 2020,Couple, Location and cleanliness,9.0,Wonderful,0,1,location|dirty|
Czech Republic,Superior King Room with Iconic View,3  ,July 2020,Couple, The hotel was right in the city center. Near the central station and you could get to the most famous places by walk easily. The staff were wery helpful and nice. The room was clean and modern and i realy appreciate that we had an iron in the room.,8.0,Very Good,0,1,location|staff|dirty|comfort|
United Kingdom,Superior Twin Room,2  ,July 2020,Group, Staff very freinfkyvsnd accommodating. Lovely stay,9.0,Great city break!! Will definitely be back soon,0,1,staff|
United Kingdom,Superior King Room,3  ,July 2020,Couple," Staff were extremely friendly and helpful. The whole place was spotlessly clean. Room facilities were good, coffee machine, wide screen tv, excellent shower. Breakfast was very nice with lots of options. There was a swimming pool and sauna, both of which were spotless. The location was perfect, opposite the train station and a tram stop. Main street round the corner with plenty shops and places to eat. Canal cruises were just opposite as well and most major attractions less than a 30min walk. Despite being so central there were no issues at all with noise and we slept great!",7.0,"Excellent location, spotlessly clean, friendly staff :)",0,1,staff|location|dirty|drink|tv|bathroom|food|fitness|restaurant|noisiness|
United Kingdom,Superior Twin Room,2  ,July 2020,Couple, The staff were so so helpful room was amazing could have been a little cleaner in toilet but apart from that was amazing definitely will return,9.0,Wonderful,0,1,staff|dirty|bathroom|
United Kingdom,Superior King Room with Iconic View,2  ,July 2020,Group," location ,",7.0,good experience,0,1,location|
United Kingdom,Superior Twin Room,2  ,July 2020,Group," Great location next to station, great spa, rooms were clean. Quite modern hotel and staff are very welcoming and helpful",8.0,Lovely hotel and staff,0,1,location|fitness|dirty|comfort|staff|
Germany,Executive King Room (3 Adults),2  ,July 2020,Family, Clean and centrally located,8.0,Centrally located,0,1,dirty|location|
Ireland,Superior King Room with Iconic View,3  ,July 2020,Couple," Great location, staff were very friendly, facilities were great overall amazing hotel:))",9.0,Wonderful,0,1,location|staff|
Ireland,One-Bedroom Suite (3 Adults),1  ,July 2020,Group, Liked the location,7.0,Good,0,1,location|
United Kingdom,Executive King Room with Iconic View (3 Adults),2  ,July 2020,Family," In centre of the city, great location",9.0,Room was different to the photos during the booking. Please make sure that you paying for the correct toom,0,1,location|
United Kingdom,Superior Twin Room,2  ,July 2020,Group, It’s was clean and felt safe. Nice vibe created by the lighting,9.0,Enjoyed our stay,0,1,dirty|
Ireland,Superior King Room,4  ,July 2020,Couple," Close by ,modern ,easy layout",9.0,Wonderful,0,1,comfort|
United States of America,Superior King Room with Iconic View,2  ,July 2020,Couple," The hotel is in a very great location, right in front of the Train Central Station.  The staff is very nice and hotel has reasonable prices based on the location.  Breakfast is great as well as the concierge staff.  All of the attractions are within 10-30 min walk which is ideal to get from one place to the other.",9.0,Very nice!,0,1,location|staff|price|food|
United Kingdom,Superior King Room with Iconic View,1  ,July 2020,Solo traveler, I stay here whenever I’m on business in Amsterdam. Great location and a nice fresh feeling hotel!,9.0,Great as always!,0,1,location|
Ireland,Superior Twin Room,4  ,July 2020,Group, Location was excellent ☺️ Staff very friendly & accommodating.,8.0,Very Good,0,1,location|staff|
France,Superior King Room,3  ,July 2020,Couple, The concierges were very helpful,9.0,A,0,1,staff|
Sweden,Superior Twin Room,1  ,July 2020,Group," The smell as you get inside the hotel is very good, the room was clean and the bed comfortable.",8.0,Perfect location with a good price,0,1,dirty|bed|comfort|
Germany,Superior King Room,3  ,July 2020,Family," Nice Location, a good breakfast with a friendly restaurant staff.",8.0,Nice central location; good for the money.,0,1,location|food|staff|restaurant|
Belgium,Executive King Room,1  ,July 2020,Family," Breakfast was very good, licatiin excelent.",9.0,Good time,0,1,food|
Netherlands,Executive King Room,2  ,July 2020,Family, Location is excellent. The room was very nice and spacious! Was also quite.,8.0,Very Good,0,1,location|
Netherlands,Executive King Room with Iconic View,1  ,June 2020,Family," The location is perfect. The hotel is clean and staff was very helpful and friendly.
The bed was very comfortable.",9.0,Perfect location,0,1,location|dirty|staff|bed|comfort|
Chile,Superior King Room,2  ,March 2020,Group," It’s very close to the railway station, so it’s a good location if your stopping by for a few nights, like a quick stay.
Everything works with the room key, the elevator, the complementary toilet, so don’t lose it or forget it!
The breakfast was great, has a good selection of dishes.",7.0,"Good hotel, bad hotel.",0,1,location|bathroom|food|
United Kingdom,Superior King Room,2  ,March 2020,Couple," Perfect location literally across the road from central station.
Staff are very friendly and helpful, Complimentary lemon water, ice machine near room,  huge, comfy bed, fabulous shower and everywhere spotless. Breakfast was wonderful and the hotel decor is just beautiful...love it! Already planning to return next year if possible .",8.0,Stunning Hotel,0,1,location|staff|price|dirty|bathroom|comfort|bed|food|
Indonesia,Superior King Room with Iconic View,2  ,March 2020,Family, Near to amsterdam central station and other tourist attraction.,7.9,Great location,0,1,location|
Ireland,Superior King Room,2  ,February 2020,Couple, Friendly staffs,9.6,"Great location, friendly staffs",0,1,staff|
United Kingdom,Superior King Room,3  ,March 2020,Couple," Location is probably the best. The hotel itself is really nice and clean, staff are very friendly and helpful. It was my birthday weekend and they put two balloons in the room. Overall nice hotel but didn’t feel as special as other hotels have made us feel by upgrading our room, or adding chocolate, a bottle of fizz etc.",8.3,Very Good,0,1,location|dirty|staff|drink|
United Kingdom,Superior Twin Room,2  ,February 2020,Group, Everything is clean tidy and modern and the pool is perfect just to relax,9.2,Wonderful,0,1,dirty|comfort|fitness|
United Kingdom,Superior King Room,2  ,January 2020,Group," Friendly helpful staff. Excellent location. Everything in the room worked, functional rooms that were comfortable including the bed.",9.2,Wonderful,0,1,staff|location|comfort|bed|
Spain,Executive King Room with Iconic View (3 Adults),2  ,March 2020,Group, This hotel is in an excellent location just outside of central station and just 5-10 minutes walk from most all major sites.  Hotel seems to be newly remodelled.  Everything is new and nice!  Breakfast was really good too.,9.0,Wonderful,0,1,location|food|
United Arab Emirates,Superior King Room,2  ,March 2020,Solo traveler, Location,7.0,Good,0,1,location|
Indonesia,Executive King Room (3 Adults),2  ,February 2020,Family, everything is good👍👍,7.0,Good,0,1,
Portugal,Executive King Room,5  ,February 2020,Family, Staff were very professional and polite. Facilities were good. Location is excellent. Breakfast until 11.00am and check out at midday were also plus points.,8.0,Modern well equipped room in excellent location. Housekeeping could be improved.,0,1,staff|location|food|
Netherlands,Executive King Room,1  ,December 2019,Group, Staff was friendly and the and very helpful! The location is the best perk of this hotel. It is located in the city center close to all major attractions.,8.0,Very Good,0,1,staff|location|
Sweden,Superior Twin Room,4  ,February 2020,Solo traveler," The best thing about this hotel is the location. You are right in the middle of the city center. It feels as if you are in the heart of everything. The hotel is approx 5min away from the train station. Close to all restaurants and shops. It was lovely that the hotel had a sauna and a pool. There was even a ice machine in the hotel. When you went in and out from the hotel there was a place where you could get some water for free, that was nice. Even if the hotel is in the middle of everything, I appreciated it that the hotel was somewhat sound proof. You could hear people from next door going in and out but that was it. No sound from the traffic or anything, which was nice. The staff are very customer service oriented and were attentive. Awesome that there was a minibar in the room. I loved that you could use a hand control to control everything in the room. You didn't need to get out of bed to example turn off the lights or the AC etc. Overall the best thing about this hotel is the excellent location. Close to pretty much everything.",7.0,Excellent location!,0,1,location|restaurant|fitness|dirty|bathroom|noisiness|staff|bed|
Israel,Executive King Room,3  ,February 2020,Couple," The position, the Executive King room, the friendly staff.",8.0,Very Good,0,1,staff|
Kuwait,Executive King Room with Iconic View,1  ,December 2019,Group, Great location always clean and friendly staff,7.0,Good,0,1,location|dirty|staff|
United Kingdom,Executive King Room (3 Adults),2  ,February 2020,Group, The location was excellent - centrally located for just about everything!,9.0,Wonderful,0,1,location|
Australia,Superior King Room with Iconic View,1  ,February 2020,Couple," Classy, clean hotel right across from Centraal, the bed was sooo comfy!. Despite being in the thick of town, it was quiet inside. The press button retractable blinds was a thing of beauty.",9.0,"Classy, clean hotel near Centraal, what more does one need?",0,1,dirty|bed|comfort|location|noisiness|
United Kingdom,Superior King Room with Iconic View,3  ,January 2020,Couple, Good  Location,8.0,Very Good,0,1,location|
Netherlands,Superior King Room,2  ,February 2020,Couple, Modern luxury hotel on a perfect location in the heart of Amsterdam. The Central Train station and the main tram stops are within a few minutes walking distance.,8.0,Comfortable stay in a fine hotel with very friendly staff on a great location.,0,1,comfort|location|
United Kingdom,Superior King Room,3  ,February 2020,Couple, Location is brilliant and hotel is really lovely. Staff were very helpful,9.2,Wonderful,0,1,location|staff|
United Kingdom,Superior King Room,2  ,February 2020,Couple, The relaxing spa and bar facilities!,9.0,"Our 3rd stay at the hotel, great location, would highly recommend!",0,1,fitness|drink|restaurant|
United Kingdom,Superior King Room with Iconic View,3  ,February 2020,Couple," Lovely hotel, lovely staff. Lovely smell when you walk in.",8.0,Great,0,1,staff|
Turkey,Superior Twin Room,4  ,January 2020,Group, Location and cleaning..,8.0,Very Good,0,1,location|dirty|
United Kingdom,Superior King Room,2  ,February 2020,Couple, Location was perfect.,8.0,Pleasant,0,1,location|
United Arab Emirates,Executive King Room with Iconic View,2  ,February 2020,Family, The location is awsome. Very near to the station and the near by area is just mind blowing. The rooms was spacious and clean. Breakfast was good. The hotel staff was helpful.,7.5,Good,0,1,location|dirty|food|staff|
United Kingdom,Superior King Room,1  ,February 2020,Group, A very comfortable stay in a well appointed room. We did partake of breakfast and it was very good and totally satisfactory.,9.0,Too short!!,0,1,comfort|food|
United Kingdom,Executive King Room with Iconic View (3 Adults),1  ,February 2020,Group," Comfortable modern  room which was well equipped. Situation was near main rail station which was what we needed.  Concierge was very helpful with baggage and getting taxi.  Breakfast was extensive, although hot food was cooler than it should be.",7.0,Comfortable modern hotel close to main train station.,0,1,comfort|location|staff|food|drink|
United Kingdom,Superior King Room,4  ,February 2020,Couple," Perfect location, helpful staff and an extremely comfortable bed/room.",9.0,Amazing hotel.,0,1,location|staff|comfort|bed|
Ireland,Superior King Room,3  ,February 2020,Couple," Fantastic location, very good size room for Amsterdam.  Very clean hotel and lovely bar in the lobby.  Will definitely stay here again.",8.0,Fantastic Location and lovely Hotel,0,1,location|dirty|drink|restaurant|
Malaysia,Superior King Room,2  ,December 2019,Couple, Location is strategic. Walking distance to everywhere. About 5 minutes walk to amsterdam central station,7.9,Good,0,1,location|
Australia,Superior King Room,3  ,February 2020,Couple," When checked in, we were given a bedroom with levelled floor, steep, narrow and half circled stairs, which is a problem for me and my wife in our 60's of age. And is not as in the photos in our booking on booking.com. 
I asked for a change bedroom and they changed our bedroom, a better room with flat floor.",8.0,Very Good,0,1,bathroom|
Netherlands,Superior King Room with Iconic View,2  ,February 2020,Couple," Great location, the bar was very good to spend time. they made great cocktails at good prices",9.0,"Great stay, i'd go back again",0,1,location|drink|restaurant|food|price|
United Kingdom,Superior King Room,3  ,February 2020,Group," Modernised hotel with all controls from a pad took a little getting used to but worked,Bathroom and Shower large",7.0,Have stayed here for years it maybe moving faster  than I am with the automatic's,0,1,bathroom|
Egypt,Superior King Room,1  ,January 2020,Solo traveler, Everything,9.6,Exceptional,0,1,
United Kingdom,Superior King Room,2  ,February 2020,Couple, Loved our stay at the hotel only downside was the construction work Outside our bedroom window.,8.0,Very Good,0,1,location|bathroom|
India,Superior King Room,3  ,February 2020,Couple, Location,9.0,Wonderful,0,1,location|
Mauritius,Executive King Room,3  ,January 2020,Group, breakfast was ok and hotel well situated,8.0,Very Good,0,1,food|
Australia,Superior King Room,3  ,January 2020,Family," Great hotel in the heart of Amsterdam.
close to everything, our room was huge with a great view of the shopping streets below, this hotel is large and did not disappoint 
Breakfast was good, bar was great yet expensive
walk out the door and the train station is across the road, close walk to everything, we enjoyed staying here",9.0,"Great hotel close to everything, clean and roomy",0,1,location|food|drink|restaurant|price|
United Kingdom,Superior King Room,2  ,February 2020,Couple," A great hotel. Staff are amazing, so helpful. Got a great room with an iconic view",8.0,Very Good,0,1,staff|location|
United Kingdom,Superior King Room,5  ,January 2020,Couple," Breakfast was buffet style but was top quality, very nice breakfast.",9.0,Wonderful,0,1,food|comfort|
United Kingdom,Superior King Room,3  ,January 2020,Couple, Loved amsterdam,9.0,Wonderful,0,1,
South Africa,Executive King Room with Iconic View,2  ,January 2020,Couple," Great central location, friendly efficient staff",9.0,Wonderful,0,1,location|staff|
United Kingdom,Superior King Room,3  ,December 2019,Couple, The interior was gorgeous and was extremely clean and staff where so helpful,8.8,Excellent,0,1,dirty|staff|
Costa Rica,Superior King Room,2  ,January 2020,Group," modern, cool, close to everything, beautiful place, nice bar, etc",8.0,Amazing place,0,1,comfort|location|drink|restaurant|
Portugal,Superior King Room,3  ,January 2020,Solo traveler," Breakfast is amazing, the location is directly outside of Amsterdam Centraal train station which is convenient. The room is clean and the staff is helpful.",7.0,"It's very good, would recommend!",0,1,food|location|dirty|staff|
Philippines,Executive King Room (3 Adults),2  ,December 2019,Family, The history of the hotel/building. The modernish style of the interiors.,9.2,Wonderful,0,1,comfort|
Ireland,Superior King Room,2  ,January 2020,Couple, The location is excellent and the rooms are comfortable and very clean,7.5,Good,0,1,location|comfort|dirty|
United Kingdom,Superior King Room,2  ,December 2019,Group, Was clean,8.8,Love the hotel stayed many times,0,1,dirty|
Belgium,Superior King Room,2  ,January 2020,Solo traveler," Every thing was fine except for the proposed menu at the restaurant which I did find a bit poor and not proposing that many dishes.
Also I want to highlight that I've left some stuffs in the room (218) that I would like to recover (phone plugin).",7.0,Good,0,1,food|restaurant|
United Kingdom,Superior King Room,2  ,January 2020,Group, location,8.0,Very Good,0,1,location|
United Kingdom,Superior King Room with Iconic View,3  ,January 2020,Couple, The facilities aka swimming pool and bar were exceptional,9.0,Wonderful,0,1,fitness|drink|restaurant|
Cyprus,Executive King Room,3  ,January 2020,Group," Great location, nice rooms, good breakfast",9.0,Wonderful,0,1,location|food|
United Kingdom,Superior King Room,2  ,January 2020,Group, Location,8.0,Very Good,0,1,location|
United States of America,Superior King Room,2  ,January 2020,Family, Great location!,9.2,Wonderful,0,1,location|
United Kingdom,Superior King Room,1  ,January 2020,Group," Good breakfast, plenty of choice, well laid out.",9.0,"Excellent hotel, convenient location, only spoiled by redevelopment in progress outside the hotel.",0,1,food|
Turkey,Superior King Room,2  ,January 2020,Solo traveler, Location,8.0,Very Good,0,1,location|
Turkey,Superior King Room,3  ,January 2020,Group, Lokasyon ve temizlik,8.0,It was all ok,0,1,
Antigua & Barbuda,Superior Twin Room,3  ,December 2019,Family," Breakfast was exceptional and location no.1
I will definitely stay there again",9.0,I travel immensely on business and pleasure and this hotel met all our expectations,0,1,food|location|
Belgium,Superior King Room,1  ,January 2020,Couple, Perfect location (book ahead a parking space in P1 Amsterdam Centraal with multiple entry: 25 EUR for 24h parking space and possibility to leave and come back whenever you like without paying any extra). Huge nice rooms. Refurbished with taste (bar!! breakfast room!!),9.0,Wonderful,0,1,location|parking|price|drink|restaurant|food|
