Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Negative,Positive,Facilities
United Kingdom,Superior Double Room,2  ,October 2020,Couple, It’s ideal for train station and shopping. It was clean and comfortable.Staff were very good.Would definitely stay again.,8.0,Very Good,0,1,dirty|comfort|staff|
United Kingdom,Superior Double Room,2  ,October 2020,Group, It did everything it said it would. Also like Ronseal.,8.0,Slap bang in centre. Ideal location,0,1,
United Kingdom,Executive Double Room,1  ,October 2020,Family," The location was great and the staff were amazing, so friendly and helpful!! We had to change our booking due to covid regulations to take our little one and the flexibility was amazing putting up a spare bed and even a free breakfast for her. Thank you so much.",9.0,A lovely stay,0,1,location|staff|covid|bed|food|
United Kingdom,Superior Double Room,1  ,October 2020,Solo traveler, Very clean and easy to get to,8.0,Excellent stay,0,1,dirty|
United Kingdom,Superior Double Room,1  ,October 2020,Couple, Everywhere clean and well appointed. Excellent location for shops and restaurants.,8.0,Great value for money,0,1,dirty|location|restaurant|
United Kingdom,Executive Double Room,1  ,October 2020,Couple," Great location right in the centre of Leeds
Good value for money
Spacious room with decent views over the city",7.0,Excellent location and value for money but...,0,1,location|price|
United Kingdom,Superior Twin Room,1  ,October 2020,Family," Hotel was big and had a great atmosphere 
My stay was due to having an appointment close by however if going to Leeds for a night out it would be perfect in the centre allowed to bring food/drinks back to your room, room service was good and the food was lovely for the price of a one night stay was well worth the money had all channels on the hotel to use so wasn’t bored",9.0,Wonderful,0,1,location|drink|food|staff|price|tv|wifi|
United Kingdom,Superior Double Room,1  ,October 2020,Couple, The bed was really comfortable,7.0,nice,0,1,bed|comfort|
United Kingdom,Superior Double Room,1  ,October 2020,Solo traveler, Excellent location,7.0,Good,0,1,location|
United Kingdom,Superior Twin Room,5  ,October 2020,Solo traveler," The breakfast was good and the staff were very helpful. The rooms were very spacious   warm, and giving one a nice aerial view of Leeds city. Very close to Leeds train station and to a plethora of restaurants.",9.0,"Discreet, roomy, clean and comfortable !",0,1,food|staff|location|restaurant|
United Kingdom,Superior Double Room,1  ,October 2020,Couple, Great location. Staff very friendly & helpful. Love the city view. Great breakfast,7.0,Have stayed here a number of times will definately come back just think some rooms need refurbing,0,1,location|staff|food|
United Kingdom,Executive Double Room,1  ,October 2020,Couple, Great location. Staff very friendly. Great view from room.,7.0,Stripped bare,0,1,location|staff|
United Kingdom,Superior Double Room,1  ,October 2020,Couple," The room was lovely. The views were amazing. The breakfast and service highly recommended. We will be staying at the Park Plaza everytime we are in Leeds, in future! The bartender, Adrian was absolutely brilliant and a great conversationalist. I cant fault a single point of our stay. Everything went fantastically. Sanitiser supplied everywhere. Rooms and hallways spotless! Breakfast was outstanding. 10 out of 10. See you again soon!!!",9.0,Wonderful,0,1,location|food|staff|
United Kingdom,Superior Double Room,1  ,October 2020,Couple, Central location was great and the beds were exceptionally comfy. The room was spacious with a good view and came with Sky TV. Room also came with an ironing board and iron which was handy!,7.0,Short relaxing stay,0,1,location|bed|comfort|tv|
United Kingdom,Superior Double Room,1  ,October 2020,Group," Staff were brilliant, very clean",9.0,"Good hotel, well placed for bars and restaurants",0,1,staff|dirty|
United Kingdom,Superior Double Room,1  ,October 2020,Couple," Ease of checking in and out.
Breakfast was good.
Protocols for covid 19 were good.",8.0,Very Good,0,1,food|covid|
United Kingdom,Executive Double Room,1  ,October 2020,Couple," Booking.com have the wrong details advertised on the executive rooms (we had upgraded for a few luxuries), staff on reception great and no quibble swapped it for what we thought we had booked. Stunning views across the city from our high floor. 
Systems in place making it feel ultra clean and secure for covid. Staff doing a great job in hard circumstances. Hats off to them. A local lockdown would be punitive as this feels miles safer than any shop I’ve been in. They are working incredibly hard. 
Rooms spacious and have all you need within them.",8.0,Very Good,0,1,staff|location|dirty|covid|restaurant|
United Kingdom,Superior Double Room,1  ,October 2020,Couple," Breakfast was good ,location very good and so closed to train station",9.0,Overall a very good stay,0,1,food|location|
United Kingdom,Executive Double Room,1  ,October 2020,Couple," Location is great 
Spacious comfortable room",8.0,Very Good,0,1,location|comfort|
United Kingdom,Superior Double Room,2  ,August 2020,Couple," The staff at breakfast were extremely attentive.
Good food too 🙂",8.0,Very Good,0,1,staff|food|drink|
United Kingdom,Superior Double Room,1  ,September 2020,Solo traveler, Location and that my room was right by the lifts - I was alone so I felt much safer due to this,8.3,Very Good,0,1,location|
United Kingdom,Executive Double Room,1  ,October 2020,Couple, Very clean with clear instructions for using lifts and hand sanitizer throughout. Breakfast was excellent with lovely staff in the restaurant.,9.0,Excellent,0,1,dirty|food|staff|restaurant|
United Kingdom,Superior Double Room,1  ,October 2020,Couple, Perfect central position. Upgraded room which was nice. Slightly conservative style and furnishings. Lovely friendly reception staff. No bar or restaurant facilities but close enough to one’s outside hotel.,7.0,Good,0,1,location|comfort|staff|drink|restaurant|
United Kingdom,Superior Double Room,1  ,October 2020,Group, In difficult times the staff made us feel very welcome.   The room was very good and great views,8.0,Very Good,0,1,staff|location|
United Kingdom,Superior Twin Room,1  ,October 2020,Solo traveler, Very clean & well organised. Comfortable room and good central location. Excellent value for money.,8.0,Very clean & well organised. Comfortable room and good central location. Excellent value for money.,0,1,dirty|comfort|location|price|
United Kingdom,Executive Triple Room,1  ,September 2020,Family, Beds and room were brilliant.,7.1,Good,0,1,bed|
United Kingdom,Executive Double Room,1  ,October 2020,Couple," Lovely room, our request for a higher floor room was granted which was a nice plus. Great location, lovely city view from our executive room",8.0,Very Good,0,1,location|
United Kingdom,Superior Double Room,1  ,October 2020,Couple, Perfect location! Right next to train station and great area in centre. Staff were lovely! Spacious room! Being on the 12th floor was a great view of the city! Enjoyed the stay!,8.0,Very Good,0,1,location|staff|
Italy,Superior Double Room,2  ,September 2020,Couple," The staff was super welcoming and helpful, the safety measures perfect and the room was big and comfy.",9.0,Perfect stay,0,1,staff|comfort|
United Kingdom,Executive Double Room,1  ,October 2020,Solo traveler, Facilities and clean,8.0,Nice hotel,0,1,dirty|
United Kingdom,Superior Double Room,1  ,October 2020,Couple," The location is perfect for the city centre / bars / shopping.
Rooms are adequate however looking a bit tired , although very clean.
No bar / meals available as only rooms available.",8.0,Excellent,0,1,location|drink|restaurant|dirty|food|
United Kingdom,Superior Twin Room,1  ,October 2020,Group, Everything,8.0,Great stay,0,1,
United Kingdom,Executive Double Room,1  ,October 2020,Couple," 12th floor, nice view 
Lovely and clean room and bathroom with a huge double bed.
Barman really pleasant,  couldn't do enough to help
Reception quick, helpful and pleasant",9.0,Pleasant stay,0,1,location|dirty|bathroom|bed|noisiness|staff|
United Kingdom,Superior Double Room,1  ,October 2020,Couple," The hotel was lovely, ideal location, clean bedroom, little extras such as a hairdryer, iron & sky TV.",8.0,Exactly what we wanted,0,1,location|dirty|bathroom|tv|
United Kingdom,Executive Double Room,1  ,October 2020,Group," Perfect city centre spot. 2 mins from train station (although we used the reduced price car park)
Very large clean room and bathroom. Best cooked breakfast we’ve had in a long time. Highly recommend this hotel",8.0,"Fantastic spot, fabulous breakfast",0,1,location|price|parking|dirty|bathroom|food|
United Kingdom,Superior Twin Room,1  ,September 2020,Family, The room and breakfast great,9.0,Special time with sister,0,1,food|
United Kingdom,Superior Twin Room,3  ,September 2020,Solo traveler, Didn't take breakfast (due to Covid 19),8.0,"Top location for railway, shopping, dining, history and culture.",0,1,food|covid|
United Kingdom,Superior Double Room,1  ,October 2020,Couple," The staff were friendly, the room was amazing and clean. All of the facilities were lovely. Well presented hotel.",9.0,Really nice stay,0,1,staff|dirty|
United Kingdom,Superior Double Room,1  ,October 2020,Couple," Location was great.. bed comfy .. shower and wash facilities absolutely great
Felt very Covid safe 
The sky tv was an unexpected plus and great feature",8.0,Very Good,0,1,location|bed|comfort|bathroom|covid|tv|
United Kingdom,Superior Double Room,1  ,September 2020,Family," Location was spot on, close to train station, shopping, bars and restaurants.  Nearby Car park discount. Staff very helpful friendly.",7.0,Ok for a couple of days stay,0,1,location|drink|restaurant|parking|staff|
United Kingdom,Superior Twin Room,1  ,October 2020,Group, Great location  staff were really helpful and friendly,7.0,Good,0,1,location|staff|
United Kingdom,Executive Double Room,1  ,September 2020,Couple," Location was brilliant, right in the middle of the city centre and close by to everything you could need. The lobby and reception area was really clean and stylish, and the room was huge, clean and well presented. The staff member checking us in was really friendly and excellent at explaining our stay. I couldn't fault the service provided to us by the hotel, would definitely stay here again.",9.0,"Excellent service, huge room, would definitely stay here again!",0,1,location|staff|dirty|
United Kingdom,Superior Twin Room,1  ,September 2020,Group, Breakfast was one of the best I've had in a hotel. Right in the center for shops and food.had,8.0,Had a lovely stay and staff very friendly and helpful.,0,1,food|location|restaurant|drink|
United Kingdom,Executive Double Room,1  ,September 2020,Family," Amazing location, in the middle of everything. All of the staff we met were really friendly and welcoming. Huge, comfy bed and very spacious room, with air-con and blackout curtains. Extra bed provided for our five year old was great and with no extra charge. Bathroom was well-equipped, with a bath and mini toiletries. Covid measures in place did not makes things feel uncomfortable. Concessionary parking was fab and made things a lot cheaper. 12pm checkout is always appreciated. :-D",8.0,Very Good,0,1,location|staff|comfort|bed|temperature|bathroom|covid|parking|price|
United Kingdom,Superior Double Room,1  ,September 2020,Couple," The location, view and staff welcoming",7.0,Good,0,1,location|staff|
United Kingdom,Executive Double Room,1  ,September 2020,Couple," Size of room, view and location, price",8.0,Very Good,0,1,location|price|
United Kingdom,Superior Double Room,1  ,September 2020,Solo traveler," Location, nice bathroom and full Sky tv",7.0,Good,0,1,location|bathroom|tv|
United Kingdom,Superior Double Room,1  ,September 2020,Couple," Breakfast was very good and service at breakfast was amazing
Location of hotel was great
Bar in hotel was good and staff also",9.0,"Great location, great breakfast and friendly staff",0,1,food|staff|location|drink|restaurant|
United Kingdom,Superior Twin Room,1  ,August 2020,Solo traveler, Very Friendly staff. Very comfortable rooms with a great view out over the city. Large comfortable beds. Very modern bathrooms with a generous size bath.,9.0,Great staff. Clean hotel with good facilities.,0,1,staff|comfort|location|bed|bathroom|
United Kingdom,Superior Twin Room,1  ,September 2020,Couple, The staff where very kind and helpful and the room was very clean.,9.0,Nice hotel,0,1,staff|dirty|
United Kingdom,Superior Double Room,2  ,September 2020,Couple, Location good very central and staff helpful,8.0,Very Good,0,1,location|staff|
United Kingdom,Superior Twin Room,2  ,August 2020,Group," Excellent value for money. Prime location in Leeds, staff are very accomodating, rooms are clean, spacious and quite soundproof.",9.0,Excellent value for money,0,1,price|location|staff|dirty|
United Kingdom,Superior Double Room,1  ,August 2020,Solo traveler," Lovely friendly staff, room was clean and tidy all was fine",7.0,Good,0,1,staff|dirty|
United Kingdom,Superior Twin Room,1  ,September 2020,Group," The room size, ensuite bathroom, air conditioning, price, location and discount parking.",8.0,A great choice for staying in Leeds.,0,1,bathroom|temperature|price|location|parking|
United Kingdom,Superior Double Room,1  ,September 2020,Couple, Clean well organised Staff above and beyond,9.0,Wonderful,0,1,dirty|staff|
United Kingdom,Superior Double Room,1  ,September 2020,Couple, We were offered a choice of lower or higher floors. Good arrangement for parking.,7.0,Great room in ideal central location with fantastic views over the city,0,1,parking|
United Kingdom,Executive Triple Room,2  ,August 2020,Family," The room was a good size, although cramped when the sofa bed was pulled out, and the hotel was well located",7.0,Cheap and cheerful,0,1,comfort|bed|location|
United Kingdom,Superior Twin Room,1  ,September 2020,Couple, Great location room very clean,8.0,Very Good,0,1,location|dirty|
United Kingdom,Executive Triple Room,1  ,September 2020,Group, Staff was absolutely superb. Couldn’t be more helpful. Great location too and well facilitated for the price. No complaints.,8.0,Fantastic value for money and great staff,0,1,staff|location|price|
United Kingdom,Executive Double Room,1  ,August 2020,Family, Central location city lights views,7.0,Very central. Rooms a little dated. Breakfast was poor but was changed due to Covid restrictions. Average hotel all in a,0,1,location|
United Kingdom,Superior Double Room,1  ,September 2020,Couple, So comfortable massive bed and right in the centre of town,8.3,Great location,0,1,comfort|bed|location|
United Kingdom,Superior Double Room,1  ,September 2020,Solo traveler, Everything else fine,9.0,Wonderful,0,1,
Sweden,Superior Double Room,2  ,September 2020,Family, Very helpful and nice staff,9.0,Wonderful,0,1,staff|
United Kingdom,Superior Double Room,1  ,September 2020,Couple, Great location and views,9.0,Wonderful,0,1,location|
United Kingdom,Superior Double Room,1  ,September 2020,Couple, Very comfortable stay! Beautiful views and very very friend staff,8.0,Very Good,0,1,comfort|location|staff|
United Kingdom,Superior Double Room,1  ,August 2020,Couple, The location is excellent right in the city centre and 2 minutes walk to the trinity shopping centre,8.0,Fantastic stay hotel was lovely,0,1,location|
United Kingdom,Superior Double Room,1  ,September 2020,Couple, The location is perfect as it is in the heart of the city with plenty of activities surrounding the area. Parking isn’t too far away either and the prices are very reasonable. Great experience staying here.,8.0,Very Good,0,1,location|parking|price|
United Kingdom,Superior Double Room,2  ,August 2020,Couple, Location amazing. Staff at breakfast fab- COVID safe so a little different to normal but table service and tasty,8.0,"Lovely break away, great location and room as expected.  We will be back.",0,1,location|staff|food|covid|
United Kingdom,Superior Double Room,1  ,August 2020,Solo traveler, Location-wise it couldn’t be better and also prices are great at the moment.,7.0,"Good Hotel, Great Location",0,1,location|price|
United Kingdom,Superior Double Room,1  ,September 2020,Couple, The view,8.0,Very Good,0,1,location|
United Kingdom,Executive Double Room,1  ,September 2020,Couple, Very good breakfast cooked to order.  Friendly and helpful staff who did their best under difficult circumstances.,7.0,Happy to recommend - would stay here again,0,1,food|staff|
United Kingdom,Superior Double Room,1  ,September 2020,Solo traveler," I have stayed at the hotel before and wanted the same room or similar however, it wasn't available. Due to COVID the excellent restaurant was closed so that impacted the stay as well as no gym. But that's obviously not the hotels fault but explains the slight drop in my rating for facilities. But the staff were great, the room spotlessly clean and the location perfect.",9.0,Excellent within the Covid Restrictions. Will stay there again.,0,1,covid|restaurant|fitness|staff|dirty|location|
United Kingdom,Executive Double Room,1  ,September 2020,Couple, We upgraded to a executive room which was a few pounds more but very spacious and comfortable ....we didn’t use any of the other facilities so can’t comment......great value for money in a great location,8.0,Very Good,0,1,comfort|price|location|
United Kingdom,Executive Double Room,1  ,September 2020,Family, I stayed at the hotel with my wife and two children. They accommodated us with an extra cot bed and sofa bed. The main was a super king so the four of us ended up sleeping on the same bed. It was very comfortable and spacious. One of the waitress at breakfast was extremely lovely.,7.0,It was okay. We slept well and enjoyed the breakfast,0,1,bed|comfort|food|
United Kingdom,Superior Double Room,4  ,September 2020,Couple," breakfast was real good value ,location ideal for shopping and transport",8.0,great cooked breakfast and also the take away was as good. and such a great  good location.,0,1,food|price|location|
United Kingdom,Superior Double Room,1  ,September 2020,Couple," Excellent value for money, great city centre location.",9.0,"Great place, nice staff",0,1,price|location|
United Kingdom,Executive Double Room,1  ,September 2020,Solo traveler, check in,7.0,Good,0,1,
United Kingdom,Superior Double Room,1  ,July 2020,Couple," It was very close to centre, walking distance of all shops and bars.",7.0,Good,0,1,location|restaurant|drink|
United Kingdom,Superior Double Room,1  ,September 2020,Couple," Location
Staff
Price
Bed 
Shower.....",9.0,Quality,0,1,location|staff|price|bed|bathroom|
United Kingdom,Superior Twin Room,1  ,September 2020,Group, Staff pleasant and helpful and breakfast lovely.,8.0,Pleasant stay central location,0,1,staff|noisiness|food|
United Kingdom,Superior Double Room,1  ,September 2020,Group, everything we both loved the room very spacious and very comfortable,9.0,excellent stay and lovely hotel,0,1,comfort|
United Kingdom,Executive Double Room,3  ,September 2020,Family, The staff are all very friendly and accommodating.,8.0,Park Plaza Leeds,0,1,staff|
United Kingdom,Superior Double Room,1  ,September 2020,Couple, Close to train station.,7.0,Cheap and great location,0,1,
United Kingdom,Superior Double Room,1  ,September 2020,Couple," Great place for an overnight stay. Friendly, helpful staff. Breakfast was good. Room was spacious and clean.",9.0,"Great location, great staff",0,1,location|staff|food|dirty|
United Kingdom,Superior Twin Room,1  ,September 2020,Couple, The area,8.0,Very Good,0,1,location|
United Kingdom,Superior Double Room,1  ,August 2020,Group, Location was brilliant and definitely made it value for money!,8.0,Location!,0,1,location|price|
United Kingdom,Superior Double Room,1  ,September 2020,Couple," Breakfast wasn’t included
Location great",7.0,"Great views, v comfy bed",0,1,food|location|
United Kingdom,Superior Double Room,1  ,September 2020,Couple," Great location, views of the city were spectacular, friendly staff and the breakfast bags were very good.",9.0,Park Plaza,0,1,location|staff|food|
United Kingdom,Superior Double Room,2  ,August 2020,Couple," Given the current climate, it’s great that the property was clean and they had tapes labelled with sanitised...around the wardrobe, phone and toilet seat which you had to rip to use. This put you at ease slightly. Staff extremely friendly and nothing was too much trouble. Bed comfortable and clean. 
The location was great if you want to in the city centre and do a spot of shopping or eating/drinking.",8.0,Great location,0,1,dirty|comfort|bathroom|staff|bed|location|drink|
United Kingdom,Superior Double Room,2  ,August 2020,Couple, Location was excellent,8.0,Good,0,1,location|
United Kingdom,Superior Double Room,1  ,September 2020,Couple, Location was great and staff were very polite and courteous,7.0,Could do better. Not good value for money.,0,1,location|staff|
United Kingdom,Superior Twin Room,2  ,September 2020,Family, Location,7.0,Good,0,1,location|
United Kingdom,Superior Double Room,1  ,August 2020,Couple," Room was large, bed was massive and very comfortable. Room also had a safe and iron. Really good value for the price.",7.0,Good,0,1,bed|comfort|price|
United Kingdom,Superior Double Room,1  ,September 2020,Couple, Close to everything,8.0,Very good and in a very good place if your getting train was a last minute thing and it’s near all the good bars so it w,0,1,
United Kingdom,Superior Double Room,3  ,August 2020,Couple, Location was great. Size of disabled room great. Staff were great on reception and breakfast staff were very friendly. Tea and coffee was served regularly.,7.0,Ok but,0,1,location|staff|food|drink|
United Kingdom,Superior Double Room,1  ,August 2020,Couple," Good location
Friendly staff
Nice room
Good value",7.0,Park plaza,0,1,location|staff|price|
United Kingdom,Superior Double Room,1  ,August 2020,Group, Location,9.0,Bank Holiday Stay,0,1,location|
United Kingdom,Superior Double Room,1  ,August 2020,Couple," Would fully recommend this hotel for couples or friends looking a nice night away, we were fortunate to have a city view from our 7th floor room which had an enormous window! There was also plenty of mirrors in the room and bathroom to get ready in. It’s also only a 2/3 minute walk from the train station, the shopping centre and central to all pubs.",8.0,Excellent Location!,0,1,location|bathroom|restaurant|
United Kingdom,Executive Triple Room,1  ,August 2020,Family, Good size with great view.,8.0,A good stay staff were very helpful on reception desk and in the breakfast restaurant. Only slightly,0,1,location|
United Kingdom,Superior Double Room,1  ,August 2020,Couple," Fantastic location! A very stylish hotel and we found the lifts were very frequent which is not always a given in hotels. The room as comfortable and clean, we had an amazing view of Leeds especially at night time!",7.0,Stylish and comfortable.. but not accommodating!,0,1,location|comfort|dirty|
United Kingdom,Superior Double Room,1  ,August 2020,Couple," Room well equipped, spacious and comfy.",8.0,Very Good,0,1,comfort|
United Kingdom,Superior Double Room,1  ,August 2020,Family, Did not have breakfast,8.0,On the whole very good...lifts just took forever!!,0,1,food|
United Kingdom,Superior Double Room,1  ,August 2020,Group, Location and Breakfast,9.0,Great place to stay in the centre of Leeds close to the railway station,0,1,location|food|
United Kingdom,Superior Twin Room,1  ,August 2020,Family, Great location - clean,8.0,Very Good,0,1,location|dirty|
United Kingdom,Executive Double Room,2  ,August 2020,Family, Perfect location,8.0,Rooms need updating,0,1,location|
United Kingdom,Superior Double Room,1  ,August 2020,Couple," WiFi’s fast 
Very clean 
Sky",8.0,Very Good,0,1,wifi|dirty|
United Kingdom,Superior Double Room,1  ,August 2020,Couple, Clean - easy to find - nice comfortable room,9.0,Nice hotel,0,1,dirty|comfort|
United Kingdom,Superior Double Room,1  ,August 2020,Couple, location excellent straight check in friendly aswel,7.0,for price £55 was ok but wouldn't want to pay more for it,0,1,location|staff|
United Kingdom,Superior Double Room,1  ,August 2020,Couple, It was quite a satisfying sound.,7.0,Good,0,1,noisiness|
United Kingdom,Executive Double Room,3  ,August 2020,Couple, The staff were extremely friendly and helpful with every request made and the breakfast was very nice even with the current circumstances. We loved the little baggies the breakfast arrived in each morning and it was so easy to pick it up each morning from reception.,9.0,Wonderful,0,1,staff|food|
United Kingdom,Superior Double Room,1  ,August 2020,Couple, Great Location,9.0,Wonderful,0,1,location|
United Kingdom,Superior Double Room,1  ,August 2020,Family, Location and staff were lovely,9.0,Great location lovely rooms very friendly helpful staff,0,1,location|staff|
United Kingdom,Superior Double Room,2  ,August 2020,Solo traveler, The location was ideal and the rooms where clean and of a high standard.,9.0,Outstanding stay,0,1,location|dirty|
United Kingdom,Superior Double Room,1  ,August 2020,Group, Everything,8.0,Very Good,0,1,
United Kingdom,Superior Double Room,1  ,August 2020,Group, Excellent location right in the centre of town across from the train station,8.0,Excellent position.. This hotel is of a decent standard the location is superb.. Stayed here 4 times,0,1,location|
United Kingdom,Executive Double Room,1  ,August 2020,Couple," Clean, felt safe in this strange new world.",9.0,Excellent City Break,0,1,dirty|
United Kingdom,Superior Double Room,1  ,August 2020,Couple," Nice clean hotel, great location, overall very nice hotel",8.0,Great location,0,1,dirty|location|
United Kingdom,Superior Double Room,1  ,August 2020,Couple, Location was perfect,9.0,Eventful,0,1,location|
United Kingdom,Executive Double Room,1  ,August 2020,Family," Fantastic views across Leeds and location very close to Leeds train station. 
Very comfy beds!
Breakfast (presented in takeaway bag due to Covid-19) was decent and contained a good variety.",7.0,Good,0,1,location|comfort|bed|food|covid|
United Kingdom,Superior Double Room,1  ,August 2020,Couple, The location is perfect and the staff were lovely,8.0,Very Good,0,1,location|staff|
United Kingdom,Superior Twin Room,1  ,August 2020,Couple, Break fast was good thanks,7.0,"All over was a brilliant stay, really enjoyed by us, could have been extremely beneficial if gym was",0,1,
