Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Positive,Facilities,Predicted
France,Premium Room with Balcony and Burj Khalifa View,2,March 2021,Couple," Good view, good room, bathroom and shower separate. Good services.",8.0,Very Good,1,staff,0
United Arab Emirates,Standard Room with Burj Khalifa View,1,March 2021,Solo traveler," Friendly staff
Great location",10.0,Very nice experience,1,staff,0
United Arab Emirates,Standard Room with Burj Khalifa View,1,March 2021,Solo traveler," Friendly staff
Great location",10.0,Very nice experience,1,location,0
United Arab Emirates,Suite with Burj Khalifa View and Lounge Access,2,March 2021,Family," The Egyptian Chef Ahmed served us with most comfort and helpful he was also very quick in serving and supervising ...
A very special thank you to him and waitress Pooja",8.0,Keep going,1,restaurant,0
United Arab Emirates,Suite with Burj Khalifa View and Lounge Access,2,March 2021,Family," The Egyptian Chef Ahmed served us with most comfort and helpful he was also very quick in serving and supervising ...
A very special thank you to him and waitress Pooja",8.0,Keep going,1,comfort,0
United Arab Emirates,Suite with Burj Khalifa View and Lounge Access,2,March 2021,Family," The Egyptian Chef Ahmed served us with most comfort and helpful he was also very quick in serving and supervising ...
A very special thank you to him and waitress Pooja",8.0,Keep going,1,staff,0
United Arab Emirates,Premium Room with Balcony and Burj Khalifa View,2,January 2021,Couple, Cleaning,10.0,Perfect,1,dirty,0
Saudi Arabia,Standard Room with Burj Khalifa View,3,March 2021,Solo traveler," Location is very good and view was very nice.
Nice welcoming restaurant staff specially Abahou",8.8,A nice stay,1,location,0
Saudi Arabia,Standard Room with Burj Khalifa View,3,March 2021,Solo traveler," Location is very good and view was very nice.
Nice welcoming restaurant staff specially Abahou",8.8,A nice stay,1,restaurant,0
Saudi Arabia,Standard Room with Burj Khalifa View,3,March 2021,Solo traveler," Location is very good and view was very nice.
Nice welcoming restaurant staff specially Abahou",8.8,A nice stay,1,staff,0
United States of America,Standard Room,1,March 2021,Group, The food and the atention,8.0,Very Good,1,food/drink,0
Morocco,Premium Room with Balcony and Burj Khalifa View,1,February 2021,Couple, Evereything was perfect exept  room service team i was calling to much to get ice but no one respond and no one care reseption was busy but in general thanks for reseption team and for Mooh  ye was very helpful 👍,10.0,Amazing experience,1,staff,0
Russia,Superior Room with Balcony,4,January 2021,Couple," The staff is nice, the breakfast is good, great location.",8.0,Overall good,1,staff,0
Russia,Superior Room with Balcony,4,January 2021,Couple," The staff is nice, the breakfast is good, great location.",8.0,Overall good,1,food/drink,0
Russia,Superior Room with Balcony,4,January 2021,Couple," The staff is nice, the breakfast is good, great location.",8.0,Overall good,1,location,0
United States of America,Executive Room with Lounge Access,8,March 2021,Family," Stayed here for a week..breakfast was the best part of our stay.  Everyone including Loriemay, Veronicah, Gyan, Jhonson provided great customer service. Food was delicious..enjoyed the Indian dishes on the menu!!!!",10.0,Exceptional,1,food/drink,0
United States of America,Executive Room with Lounge Access,8,March 2021,Family," Stayed here for a week..breakfast was the best part of our stay.  Everyone including Loriemay, Veronicah, Gyan, Jhonson provided great customer service. Food was delicious..enjoyed the Indian dishes on the menu!!!!",10.0,Exceptional,1,staff,0
United States of America,Executive Room with Lounge Access,8,March 2021,Family," Stayed here for a week..breakfast was the best part of our stay.  Everyone including Loriemay, Veronicah, Gyan, Jhonson provided great customer service. Food was delicious..enjoyed the Indian dishes on the menu!!!!",10.0,Exceptional,1,restaurant,0
Germany,Standard Room with Burj Khalifa View,14,February 2021,Couple," It was a cozy place. Great for the price. 
Restaurant on P2 Floor was amazing specially in the evening.",10.0,Exceptional,1,comfort,0
Germany,Standard Room with Burj Khalifa View,14,February 2021,Couple," It was a cozy place. Great for the price. 
Restaurant on P2 Floor was amazing specially in the evening.",10.0,Exceptional,1,location,0
Germany,Standard Room with Burj Khalifa View,14,February 2021,Couple," It was a cozy place. Great for the price. 
Restaurant on P2 Floor was amazing specially in the evening.",10.0,Exceptional,1,price,0
Germany,Standard Room with Burj Khalifa View,14,February 2021,Couple," It was a cozy place. Great for the price. 
Restaurant on P2 Floor was amazing specially in the evening.",10.0,Exceptional,1,restaurant,0
Italy,Standard Room with Burj Khalifa View,5,March 2021,Solo traveler," Everything is very good, the rooms with amazing view, the cleaning, the strategic position of the hotel a 10 min walk to the Burj Khalifa and good staff. In particular i liked the food that is also amazing and the beautiful restaurant.",9.0,"Everything perfect, but...",1,location,0
Italy,Standard Room with Burj Khalifa View,5,March 2021,Solo traveler," Everything is very good, the rooms with amazing view, the cleaning, the strategic position of the hotel a 10 min walk to the Burj Khalifa and good staff. In particular i liked the food that is also amazing and the beautiful restaurant.",9.0,"Everything perfect, but...",1,dirty,0
Italy,Standard Room with Burj Khalifa View,5,March 2021,Solo traveler," Everything is very good, the rooms with amazing view, the cleaning, the strategic position of the hotel a 10 min walk to the Burj Khalifa and good staff. In particular i liked the food that is also amazing and the beautiful restaurant.",9.0,"Everything perfect, but...",1,staff,0
Italy,Standard Room with Burj Khalifa View,5,March 2021,Solo traveler," Everything is very good, the rooms with amazing view, the cleaning, the strategic position of the hotel a 10 min walk to the Burj Khalifa and good staff. In particular i liked the food that is also amazing and the beautiful restaurant.",9.0,"Everything perfect, but...",1,food/drink,0
Italy,Standard Room with Burj Khalifa View,5,March 2021,Solo traveler," Everything is very good, the rooms with amazing view, the cleaning, the strategic position of the hotel a 10 min walk to the Burj Khalifa and good staff. In particular i liked the food that is also amazing and the beautiful restaurant.",9.0,"Everything perfect, but...",1,restaurant,0
Iraq,Superior Room with Balcony,3,March 2021,Group, The room was perfect..the breakfast was delicious and the staff was cooperative specially the lady loriemay she is the key of arrangement and  offering a very smiley face to me . ..LORIEMAY really doing her job with full responsibility and respect..,9.0,Golden stay,1,food/drink,0
Iraq,Superior Room with Balcony,3,March 2021,Group, The room was perfect..the breakfast was delicious and the staff was cooperative specially the lady loriemay she is the key of arrangement and  offering a very smiley face to me . ..LORIEMAY really doing her job with full responsibility and respect..,9.0,Golden stay,1,staff,0
Romania,Premium Room with Balcony and Burj Khalifa View,7,March 2021,Solo traveler," People are AMAZING and very customer oriented. Initially I have received a superior room with balcony and Burj Khalifa view. It was terrible the room, not maintained properly, very old and with some damage inside. Personnel was supportive and offered me another room, an upgraded one. View is amazing, close to Burj. Food is very tasty, people very nice and welcoming. They offer the possibility to do a PCR test in the hotel if you organise in time. Again, people service is amazing",7.0,People are amazing and very customer oriented; hotel needs serious refurbishing.,1,staff,0
Romania,Premium Room with Balcony and Burj Khalifa View,7,March 2021,Solo traveler," People are AMAZING and very customer oriented. Initially I have received a superior room with balcony and Burj Khalifa view. It was terrible the room, not maintained properly, very old and with some damage inside. Personnel was supportive and offered me another room, an upgraded one. View is amazing, close to Burj. Food is very tasty, people very nice and welcoming. They offer the possibility to do a PCR test in the hotel if you organise in time. Again, people service is amazing",7.0,People are amazing and very customer oriented; hotel needs serious refurbishing.,1,location,0
Romania,Premium Room with Balcony and Burj Khalifa View,7,March 2021,Solo traveler," People are AMAZING and very customer oriented. Initially I have received a superior room with balcony and Burj Khalifa view. It was terrible the room, not maintained properly, very old and with some damage inside. Personnel was supportive and offered me another room, an upgraded one. View is amazing, close to Burj. Food is very tasty, people very nice and welcoming. They offer the possibility to do a PCR test in the hotel if you organise in time. Again, people service is amazing",7.0,People are amazing and very customer oriented; hotel needs serious refurbishing.,1,food/drink,0
South Sudan,Standard Room,5,March 2021,Solo traveler," Excellent services, clean rooms except there was no bath robes in the standard rooms but all the staff were very good. Thanks to Filo he was very kind. Will definitely recommend",8.0,Very Good,1,staff,0
South Sudan,Standard Room,5,March 2021,Solo traveler," Excellent services, clean rooms except there was no bath robes in the standard rooms but all the staff were very good. Thanks to Filo he was very kind. Will definitely recommend",8.0,Very Good,1,dirty,0
South Sudan,Standard Room,5,March 2021,Solo traveler," Excellent services, clean rooms except there was no bath robes in the standard rooms but all the staff were very good. Thanks to Filo he was very kind. Will definitely recommend",8.0,Very Good,1,bathroom,0
Maldives,Standard Room,1,March 2021,Solo traveler," Great stay and very welcoming team. 
The room was spacious and the bed very comfortable. 
Mr Ran, from Mauritius, at the front desk was exceptionally helpful. He is a true gentleman and a clear asset to the company.",10.0,Exceptional,1,bed,0
Maldives,Standard Room,1,March 2021,Solo traveler," Great stay and very welcoming team. 
The room was spacious and the bed very comfortable. 
Mr Ran, from Mauritius, at the front desk was exceptionally helpful. He is a true gentleman and a clear asset to the company.",10.0,Exceptional,1,comfort,0
Maldives,Standard Room,1,March 2021,Solo traveler," Great stay and very welcoming team. 
The room was spacious and the bed very comfortable. 
Mr Ran, from Mauritius, at the front desk was exceptionally helpful. He is a true gentleman and a clear asset to the company.",10.0,Exceptional,1,staff,0
Turkey,Standard Room with Burj Khalifa View,4,March 2021,Solo traveler," First of all, staff were very helpfull and ready to assist you when needed. Easly completed check in/out. My room was at 16th floor with burj khalifa view. The room was quite enough to feel comfy. Bathroom was clean as rest of the room. The purpose of my visit to dubai was to celebrate my bday. The sincere gift prepeared by hotel made me suprised and balloons and bday cake made me very happy.  Btw there is a medical service that you can done covid19 test at your room, medics comes and you gonna receive the result in a day via email) 👌 Thank you Radisson team ... Francis, Ran, Loyd and all of you 💖 surely will back and again wish to stay in Radisson.",10.0,Exceptional,1,staff,0
Turkey,Standard Room with Burj Khalifa View,4,March 2021,Solo traveler," First of all, staff were very helpfull and ready to assist you when needed. Easly completed check in/out. My room was at 16th floor with burj khalifa view. The room was quite enough to feel comfy. Bathroom was clean as rest of the room. The purpose of my visit to dubai was to celebrate my bday. The sincere gift prepeared by hotel made me suprised and balloons and bday cake made me very happy.  Btw there is a medical service that you can done covid19 test at your room, medics comes and you gonna receive the result in a day via email) 👌 Thank you Radisson team ... Francis, Ran, Loyd and all of you 💖 surely will back and again wish to stay in Radisson.",10.0,Exceptional,1,location,0
Turkey,Standard Room with Burj Khalifa View,4,March 2021,Solo traveler," First of all, staff were very helpfull and ready to assist you when needed. Easly completed check in/out. My room was at 16th floor with burj khalifa view. The room was quite enough to feel comfy. Bathroom was clean as rest of the room. The purpose of my visit to dubai was to celebrate my bday. The sincere gift prepeared by hotel made me suprised and balloons and bday cake made me very happy.  Btw there is a medical service that you can done covid19 test at your room, medics comes and you gonna receive the result in a day via email) 👌 Thank you Radisson team ... Francis, Ran, Loyd and all of you 💖 surely will back and again wish to stay in Radisson.",10.0,Exceptional,1,comfort,0
Turkey,Standard Room with Burj Khalifa View,4,March 2021,Solo traveler," First of all, staff were very helpfull and ready to assist you when needed. Easly completed check in/out. My room was at 16th floor with burj khalifa view. The room was quite enough to feel comfy. Bathroom was clean as rest of the room. The purpose of my visit to dubai was to celebrate my bday. The sincere gift prepeared by hotel made me suprised and balloons and bday cake made me very happy.  Btw there is a medical service that you can done covid19 test at your room, medics comes and you gonna receive the result in a day via email) 👌 Thank you Radisson team ... Francis, Ran, Loyd and all of you 💖 surely will back and again wish to stay in Radisson.",10.0,Exceptional,1,bathroom,0
Turkey,Standard Room with Burj Khalifa View,4,March 2021,Solo traveler," First of all, staff were very helpfull and ready to assist you when needed. Easly completed check in/out. My room was at 16th floor with burj khalifa view. The room was quite enough to feel comfy. Bathroom was clean as rest of the room. The purpose of my visit to dubai was to celebrate my bday. The sincere gift prepeared by hotel made me suprised and balloons and bday cake made me very happy.  Btw there is a medical service that you can done covid19 test at your room, medics comes and you gonna receive the result in a day via email) 👌 Thank you Radisson team ... Francis, Ran, Loyd and all of you 💖 surely will back and again wish to stay in Radisson.",10.0,Exceptional,1,dirty,0
Turkey,Standard Room with Burj Khalifa View,4,March 2021,Solo traveler," First of all, staff were very helpfull and ready to assist you when needed. Easly completed check in/out. My room was at 16th floor with burj khalifa view. The room was quite enough to feel comfy. Bathroom was clean as rest of the room. The purpose of my visit to dubai was to celebrate my bday. The sincere gift prepeared by hotel made me suprised and balloons and bday cake made me very happy.  Btw there is a medical service that you can done covid19 test at your room, medics comes and you gonna receive the result in a day via email) 👌 Thank you Radisson team ... Francis, Ran, Loyd and all of you 💖 surely will back and again wish to stay in Radisson.",10.0,Exceptional,1,covid,0
United States of America,Standard Room with Burj Khalifa View,7,February 2021,Solo traveler, Amazing Staff and Breakfast,10.0,Amazing Customer Service,1,staff,0
United States of America,Standard Room with Burj Khalifa View,7,February 2021,Solo traveler, Amazing Staff and Breakfast,10.0,Amazing Customer Service,1,food/drink,0
United Kingdom,Standard Room with Burj Khalifa View,17,February 2021,Couple," Love their hospitality. Friendly staff from reception to housekeeping. Especially Bilal, always follow up and make sure things are on standard. Best part of the hospitality is complimentary stuff during your stay , not too sure if its weekly or Occasionally but twice they gave us cookies and soft drinks . Upon arrival we were warmly welcomed. Initially had an issue with the room but it was changed. Room and view is almost same as Description. Hotel location is also great. You can walk to DuBai mall , burj Khalifa, fountains and so on. All sort of food restaurants are on walking distance. In short, our stay was superb!",9.0,Excellent customer service,1,staff,0
United Kingdom,Standard Room with Burj Khalifa View,17,February 2021,Couple," Love their hospitality. Friendly staff from reception to housekeeping. Especially Bilal, always follow up and make sure things are on standard. Best part of the hospitality is complimentary stuff during your stay , not too sure if its weekly or Occasionally but twice they gave us cookies and soft drinks . Upon arrival we were warmly welcomed. Initially had an issue with the room but it was changed. Room and view is almost same as Description. Hotel location is also great. You can walk to DuBai mall , burj Khalifa, fountains and so on. All sort of food restaurants are on walking distance. In short, our stay was superb!",9.0,Excellent customer service,1,price,0
United Kingdom,Standard Room with Burj Khalifa View,17,February 2021,Couple," Love their hospitality. Friendly staff from reception to housekeeping. Especially Bilal, always follow up and make sure things are on standard. Best part of the hospitality is complimentary stuff during your stay , not too sure if its weekly or Occasionally but twice they gave us cookies and soft drinks . Upon arrival we were warmly welcomed. Initially had an issue with the room but it was changed. Room and view is almost same as Description. Hotel location is also great. You can walk to DuBai mall , burj Khalifa, fountains and so on. All sort of food restaurants are on walking distance. In short, our stay was superb!",9.0,Excellent customer service,1,food/drink,0
United Kingdom,Standard Room with Burj Khalifa View,17,February 2021,Couple," Love their hospitality. Friendly staff from reception to housekeeping. Especially Bilal, always follow up and make sure things are on standard. Best part of the hospitality is complimentary stuff during your stay , not too sure if its weekly or Occasionally but twice they gave us cookies and soft drinks . Upon arrival we were warmly welcomed. Initially had an issue with the room but it was changed. Room and view is almost same as Description. Hotel location is also great. You can walk to DuBai mall , burj Khalifa, fountains and so on. All sort of food restaurants are on walking distance. In short, our stay was superb!",9.0,Excellent customer service,1,location,0
United Kingdom,Standard Room with Burj Khalifa View,17,February 2021,Couple," Love their hospitality. Friendly staff from reception to housekeeping. Especially Bilal, always follow up and make sure things are on standard. Best part of the hospitality is complimentary stuff during your stay , not too sure if its weekly or Occasionally but twice they gave us cookies and soft drinks . Upon arrival we were warmly welcomed. Initially had an issue with the room but it was changed. Room and view is almost same as Description. Hotel location is also great. You can walk to DuBai mall , burj Khalifa, fountains and so on. All sort of food restaurants are on walking distance. In short, our stay was superb!",9.0,Excellent customer service,1,restaurant,0
Switzerland,Executive Room with Lounge Access,6,February 2021,Solo traveler, Breakfast was okay - not brilliant but due Corona it was a little bit poor - Need more Asian and Arabic food....!,9.0,"Excellent, but you know that I had an important complaint before!",1,food/drink,0
Sweden,Standard Room with Burj Khalifa View,4,February 2021,Couple," Roshan from the reception so service minded and good hearted made my stay so good. 
Many thanks to roshan.",9.2,Roshan is the best employe this hotel can have.,1,staff,1
Oman,Standard Room with Burj Khalifa View,14,December 2020,Family, Comfortable and clean,10.0,Very nice hotel with good location,1,comfort,1
Oman,Standard Room with Burj Khalifa View,14,December 2020,Family, Comfortable and clean,10.0,Very nice hotel with good location,1,dirty,1
Kazakhstan,Family Room,1,February 2021,Family, Open terrace and breakfast . Room size,9.0,Wonderful,1,food/drink,0
Egypt,Standard Room with Burj Khalifa View,7,January 2021,Family," The breakfast had great variety, and food was delicious. The rooms were spacious and comfortable, and with nice views. The location was very convenient",10.0,Exceptional,1,food/drink,0
Egypt,Standard Room with Burj Khalifa View,7,January 2021,Family," The breakfast had great variety, and food was delicious. The rooms were spacious and comfortable, and with nice views. The location was very convenient",10.0,Exceptional,1,comfort,0
Egypt,Standard Room with Burj Khalifa View,7,January 2021,Family," The breakfast had great variety, and food was delicious. The rooms were spacious and comfortable, and with nice views. The location was very convenient",10.0,Exceptional,1,location,0
Lebanon,Premium Room with Balcony and Burj Khalifa View,4,February 2021,Couple," Big rooms, Very convenient, nice and helpful staff, great location",9.0,Wonderful,1,staff,0
Lebanon,Premium Room with Balcony and Burj Khalifa View,4,February 2021,Couple," Big rooms, Very convenient, nice and helpful staff, great location",9.0,Wonderful,1,location,0
Russia,Premium Room with Balcony and Burj Khalifa View,6,February 2021,Couple," Location was perfect and staff was friendly and polite. 
Thanks for reception services!",8.0,Stay in Radisson Blu Waterfront for a week,1,location,0
Russia,Premium Room with Balcony and Burj Khalifa View,6,February 2021,Couple," Location was perfect and staff was friendly and polite. 
Thanks for reception services!",8.0,Stay in Radisson Blu Waterfront for a week,1,staff,0
France,Family Room,6,February 2021,Family," Excellent breakfast, great location, excellent service, really professional. Clean and beautiful common areas (reception, café near the reception,...). Very nice valet parking service (not used to it)",8.0,"Very nice stay, made very comfortable by the staff",1,food/drink,0
France,Family Room,6,February 2021,Family," Excellent breakfast, great location, excellent service, really professional. Clean and beautiful common areas (reception, café near the reception,...). Very nice valet parking service (not used to it)",8.0,"Very nice stay, made very comfortable by the staff",1,location,0
France,Family Room,6,February 2021,Family," Excellent breakfast, great location, excellent service, really professional. Clean and beautiful common areas (reception, café near the reception,...). Very nice valet parking service (not used to it)",8.0,"Very nice stay, made very comfortable by the staff",1,staff,0
France,Family Room,6,February 2021,Family," Excellent breakfast, great location, excellent service, really professional. Clean and beautiful common areas (reception, café near the reception,...). Very nice valet parking service (not used to it)",8.0,"Very nice stay, made very comfortable by the staff",1,dirty,0
France,Family Room,6,February 2021,Family," Excellent breakfast, great location, excellent service, really professional. Clean and beautiful common areas (reception, café near the reception,...). Very nice valet parking service (not used to it)",8.0,"Very nice stay, made very comfortable by the staff",1,parking,0
Slovakia,Superior Room with Balcony,9,January 2021,Group," Hotel facilities and location, cleaning staff always helpful and room size was perfect.",8.0,"I think its a good value for money, good location (depending on what you really looking for)",1,location,0
Slovakia,Superior Room with Balcony,9,January 2021,Group," Hotel facilities and location, cleaning staff always helpful and room size was perfect.",8.0,"I think its a good value for money, good location (depending on what you really looking for)",1,dirty,0
Slovakia,Superior Room with Balcony,9,January 2021,Group," Hotel facilities and location, cleaning staff always helpful and room size was perfect.",8.0,"I think its a good value for money, good location (depending on what you really looking for)",1,staff,0
Serbia,Suite with Burj Khalifa View and Lounge Access,4,February 2021,Couple," The staff was exceptional! So nice, kind and always there to help. We were traveling now in February when Covid still is an actual topic and they helped us with scheduling a test and everything was just perfectly clean and safe. Breakfast was amazing! DELICIOUS! Our room was on the 15th floor and the view was directed to Burj Khalifa, just stunning. Location of the hotel is perfect, maybe 15min by foot to Burj Khalifa, there is a store right about the corner and just the perfect connection to anywhere you want to go.",10.0,Perfect Valentines day!,1,staff,0
Serbia,Suite with Burj Khalifa View and Lounge Access,4,February 2021,Couple," The staff was exceptional! So nice, kind and always there to help. We were traveling now in February when Covid still is an actual topic and they helped us with scheduling a test and everything was just perfectly clean and safe. Breakfast was amazing! DELICIOUS! Our room was on the 15th floor and the view was directed to Burj Khalifa, just stunning. Location of the hotel is perfect, maybe 15min by foot to Burj Khalifa, there is a store right about the corner and just the perfect connection to anywhere you want to go.",10.0,Perfect Valentines day!,1,covid,0
Serbia,Suite with Burj Khalifa View and Lounge Access,4,February 2021,Couple," The staff was exceptional! So nice, kind and always there to help. We were traveling now in February when Covid still is an actual topic and they helped us with scheduling a test and everything was just perfectly clean and safe. Breakfast was amazing! DELICIOUS! Our room was on the 15th floor and the view was directed to Burj Khalifa, just stunning. Location of the hotel is perfect, maybe 15min by foot to Burj Khalifa, there is a store right about the corner and just the perfect connection to anywhere you want to go.",10.0,Perfect Valentines day!,1,dirty,0
Serbia,Suite with Burj Khalifa View and Lounge Access,4,February 2021,Couple," The staff was exceptional! So nice, kind and always there to help. We were traveling now in February when Covid still is an actual topic and they helped us with scheduling a test and everything was just perfectly clean and safe. Breakfast was amazing! DELICIOUS! Our room was on the 15th floor and the view was directed to Burj Khalifa, just stunning. Location of the hotel is perfect, maybe 15min by foot to Burj Khalifa, there is a store right about the corner and just the perfect connection to anywhere you want to go.",10.0,Perfect Valentines day!,1,food/drink,0
Serbia,Suite with Burj Khalifa View and Lounge Access,4,February 2021,Couple," The staff was exceptional! So nice, kind and always there to help. We were traveling now in February when Covid still is an actual topic and they helped us with scheduling a test and everything was just perfectly clean and safe. Breakfast was amazing! DELICIOUS! Our room was on the 15th floor and the view was directed to Burj Khalifa, just stunning. Location of the hotel is perfect, maybe 15min by foot to Burj Khalifa, there is a store right about the corner and just the perfect connection to anywhere you want to go.",10.0,Perfect Valentines day!,1,location,0
Iraq,Standard Room with Burj Khalifa View,3,February 2021,Solo traveler, The bed was the most comfortable one in the world also there was no noise to bother me and the location is very good and everything you need is just a minute away,10.0,Everything was exceptional. They gave me suite with the view of Khalifa tower and the staff were welcoming and very help,1,bed,0
Iraq,Standard Room with Burj Khalifa View,3,February 2021,Solo traveler, The bed was the most comfortable one in the world also there was no noise to bother me and the location is very good and everything you need is just a minute away,10.0,Everything was exceptional. They gave me suite with the view of Khalifa tower and the staff were welcoming and very help,1,comfort,0
Iraq,Standard Room with Burj Khalifa View,3,February 2021,Solo traveler, The bed was the most comfortable one in the world also there was no noise to bother me and the location is very good and everything you need is just a minute away,10.0,Everything was exceptional. They gave me suite with the view of Khalifa tower and the staff were welcoming and very help,1,noisiness,0
Iraq,Standard Room with Burj Khalifa View,3,February 2021,Solo traveler, The bed was the most comfortable one in the world also there was no noise to bother me and the location is very good and everything you need is just a minute away,10.0,Everything was exceptional. They gave me suite with the view of Khalifa tower and the staff were welcoming and very help,1,location,0
Switzerland,Standard Room with Burj Khalifa View,7,February 2021,Solo traveler, The breakfast was excellent! Great staff and always very helpful!,9.0,I am definitely coming back!,1,food/drink,0
Switzerland,Standard Room with Burj Khalifa View,7,February 2021,Solo traveler, The breakfast was excellent! Great staff and always very helpful!,9.0,I am definitely coming back!,1,staff,1
Bulgaria,Standard Room with Burj Khalifa View,4,February 2021,Couple, Very cheap price for very nice hotel,10.0,Valentinka,1,price,0
United Arab Emirates,Superior Room with Balcony,1,February 2021,Solo traveler, It was nice and spacious. The staff was extremely sweet and super accommodating to our request. Would definitely stay again.,8.0,Very Good,1,staff,0
Russia,Premium Room with Balcony and Burj Khalifa View,5,February 2021,Group," To be honest I was surprised how good was it. Since the moment I made this booking their stuff started helping me to arrange everything I needed and continued during my stay. Our manager was Hamdy and he was extremely helpful and provided me with any information and travel tips I needed.
Also I was surprised to see such a good breakfast menu.",10.0,Wonderful experience,1,staff,0
Russia,Premium Room with Balcony and Burj Khalifa View,5,February 2021,Group," To be honest I was surprised how good was it. Since the moment I made this booking their stuff started helping me to arrange everything I needed and continued during my stay. Our manager was Hamdy and he was extremely helpful and provided me with any information and travel tips I needed.
Also I was surprised to see such a good breakfast menu.",10.0,Wonderful experience,1,food/drink,0
Russia,Premium Room with Balcony and Burj Khalifa View,5,February 2021,Group," To be honest I was surprised how good was it. Since the moment I made this booking their stuff started helping me to arrange everything I needed and continued during my stay. Our manager was Hamdy and he was extremely helpful and provided me with any information and travel tips I needed.
Also I was surprised to see such a good breakfast menu.",10.0,Wonderful experience,1,restaurant,0
United Kingdom,Standard Room,15,February 2021,Family," I spent 15 days, 14 nights at the Radisson and had a lovely stay. On arrival, my sister and I (who’s birthday was the following day) were upgraded and given a room with a balcony and full view of the Burj Khalifa, which was brilliant. 
We also arrived at 9am, a fair few hours before check-in time and were able to go straight to our rooms as soon as we finished at the front desk. 
The room was spacious and clean, bathroom was a great size and the room service menu had a fantastic variety of choices. 
Staff were attentive, warm and extremely helpful. We were able to book our COVID tests (in order to travel home) with concierge and have them administered in our room which was tremendously convenient. 
All in all, a wonderful stay.",10.0,"Great stay, will definitely come back",1,location,0
United Kingdom,Standard Room,15,February 2021,Family," I spent 15 days, 14 nights at the Radisson and had a lovely stay. On arrival, my sister and I (who’s birthday was the following day) were upgraded and given a room with a balcony and full view of the Burj Khalifa, which was brilliant. 
We also arrived at 9am, a fair few hours before check-in time and were able to go straight to our rooms as soon as we finished at the front desk. 
The room was spacious and clean, bathroom was a great size and the room service menu had a fantastic variety of choices. 
Staff were attentive, warm and extremely helpful. We were able to book our COVID tests (in order to travel home) with concierge and have them administered in our room which was tremendously convenient. 
All in all, a wonderful stay.",10.0,"Great stay, will definitely come back",1,dirty,0
