Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Positive,staff,location,food/drink,dirty,bed,comfort,price,bathroom,parking,restaurant,noisiness,tv,internet,fitness,covid,temperature
United Kingdom,Superior Single Room,1,January 2020,Solo traveler," Fantastic location, just across the road from the tube, yet my room was so quiet. Very friendly and helpful staff, well equipped and appointed room and excellent room service! The food was delicious and catered for my gluten free diet with no problem at all! Will definitely stay here again!",9.0,Highly Recommend,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,1,January 2020,Family, Excellent breakfast,9.0,Wonderful,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,Standard Double or Twin Room,1,January 2020,Couple," Beautiful hotel, convenient location close to St Pancras Station. The personnel was great as well as the breakfast.",9.0,"Beautiful hotel, good value and convenient location.",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,Standard Double or Twin Room,2,January 2020,Family," The beds were very extremely comfortable. 
The staff were happy to help in any situation. Very clean rooms and lobby.",8.0,The bed was so comfortable I felt I was sleeping on a cloud!!,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
United Kingdom,Premium Room,1,January 2020,Couple," There was free refreshments and sweets on arrival that was a nice touch. My room was the premium room and the size of the room was good bigger than the standard room and the bed was a excellent size, a great addition was earbuds in the bathroom, free water in the min bar and the sensor light on the stairs was great and the front facing room was quite quiet. I liked the room cards you have to use them to operate the lifts as well as opening the door to your room",9.0,Really good,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0
United Kingdom,Single Room,2,January 2020,Group, Really good location right next to Warren Street tube station. Amazing breakfast selection (probably the best I've ever come across!). Friendly and attentive staff. Wifi and TV connection great. Bed comfortable!,8.0,Made a trip for work feel that bit more luxurious.,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0
Belgium,Premium Triple Room,1,January 2020,Group," Excellent position, centrally located in nice area with shops and restaurants, close to metro stations (2) and St Pancras railway station (15’ walking distance). Very professional, helpful and kind staff (thanks Nevila!). Excellent mattress, excellent towel quality, big room with comforts (from toiletries to complementary services). Rich and varied breakfast with lactose- and gluten-free products on demand. Presence of restaurant and bars in the hotel.",9.6,Exceptional,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,1,January 2020,Family, We didn't eat at the hotel the coffee in the room was ok but as I only have soya milk it was never going to beat a Costa.,8.0,"Very nice hotel clean , smart and friendly staff great location for UCLH .",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,1,December 2019,Family," Great location next to the underground, friendly helpful staff",9.0,"Well located, good hotel",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,1,January 2020,Family, Loved the steak and lobster restaurant downstairs all staff there very helpful and friendly food very nice,8.0,Very Good,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
United Kingdom,Superior Single Room,1,January 2020,Solo traveler," Room was ideal, staff were great, location was perfect, got Warren Street under ground right next door which gets you to all the major sites sites, and the cost was fair considering where the hotel is situated, would definitely stay again",9.0,"Great hotel, great location",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,1,January 2020,Couple, The location is excellent and the staff very friendly and efficient .,8.8,Excellent,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Superior Single Room,1,December 2019,Solo traveler," Location excellent, facilities great and good value for money",9.2,Wonderful,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
United Kingdom,Superior Single Room,2,January 2020,Solo traveler, Location. Breakfast. Staff and service,9.0,Wonderful,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,Superior Single Room,1,January 2020,Solo traveler," Very hospitable hotel. Friendly, helpful staff. Compact but very comfortable room. Great breakfast. Good restaurant with friendly service. Great location. Would certainly stay again, a bit dependent on the prices ;-)",9.0,Home away from home,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,1,January 2020,Solo traveler, Excellent location in the heart of London and close to public transport. Friendly and helpful staff and an amazing breakfast!,8.0,Brief work trip to the heart of London,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,Standard Double or Twin Room,3,January 2020,Solo traveler, Staff were great. Got early checkin which was so appreciated after my long haul flight.,7.0,London trip,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,1,January 2020,Family, Beds very comfortable. Pillows sublime. Loved the complimentary snacks in foyer each evening. Requested late check out which was given without any problem. Staff very helpful and friendly.,8.0,Very relaxing. Would definitely book again.,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,1,December 2019,Group, Great room. Lovely and quiet away from any traffic. Excellent location.,9.0,Lovely London Weekend Break,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,2,January 2020,Family, Great location,8.3,Very Good,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Single Room,1,January 2020,Family," Warm welcome - canapes and cocktails. Genuine staff who made me feel comfortable. 
 Beautiful decor and interior. Great breakfast - love those bbq beans",9.0,"Quality and style, without pretension.",1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Norway,Standard Double or Twin Room,2,January 2020,Family," Good location, super comfortable beds & bedding. And very friendly and helpful staff.",9.6,Exceptional,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,1,January 2020,Group," Excellent location close to Euston station.
Staff greeted us with smiles, rooms ready for 1o'clock as requested.
Rooms clean, comfortable and quiet for centre of London.",9.0,We will definitely use this hotel again.,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,2,December 2019,Family," we only used it as a base so the location was great,",8.0,Affordable and convenient,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,Standard Double or Twin Room,3,January 2020,Group," close to tube station and bus stop - very convenient location. all hotel staff are very kind, especially restaurant and room cleaning staffs. and breakfast is varied and delicious. we could stayed great time at hotel.",8.8,"great location, kind staffs, and delicious breakfast",1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
United Kingdom,Superior Single Room,1,January 2020,Solo traveler," Very comfortable bed, clean room, great bathroom.",8.0,Very Good,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
Thailand,Premium Room,1,January 2020,Group," Convenience location, just few minutes to Warren underground station.",9.2,Wonderful,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,1,January 2020,Group, All clean and comfortable. Online check in also worked quite well to know when the room was available.,9.0,Comfortable hotel in a very convenient location.,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
United Kingdom,Standard Double or Twin Room,1,January 2020,Group," Lovely stay , very nice staff . Breakfast was nice .",9.0,Very happy stay .,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Superior Single Room,4,January 2020,Solo traveler, The variety of the breakfast was fantastic.  The comfort and cleanliness of my room was superb.  All staff were very courteous and friendly.,9.0,Relaxing hotel and a fantastic location to enjoy London.,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Denmark,Standard Double or Twin Room,3,January 2020,Couple," We very much enjoyed our stay at this hotel over new years. 
The hotel is right next to a tube station and not that far from Oxford street. 
The staff was very friendly and helpfull. 
And it was nice and quiet.",9.2,Perfect,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
United States of America,Superior Single Room,1,December 2019,Solo traveler, The stay was great for a night in London. It is right by the Tube which was super convenient when visiting sites. The room was perfect for one. The breakfast was amazing! It was well beyond what I expected!,9.2,One Night Stay,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,1,January 2020,Family, Friendly staff upon arrival. Complimentary snacks and drink was great. Room was clean and fresh. Breakfast was Superb. Staff on Breakfast was extremely professional and happy to help.,8.0,"Great value for money, will return for sure.",1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Malta,Standard Double or Twin Room,4,December 2019,Family," Breakfast was of high standard and well prepared.  Room very clean and includes all the necessary utilities.  Hotel location is close to bus terminals and Underground service, hence making it very easy to reach the London center in only a few minutes.",9.0,We really enjoyed our stay at the hotel and would recommend it to anyone travelling to London.,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,1,January 2020,Family, The rooms and restaurant were very clean and nicely designed.,8.8,Excellent,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
United Arab Emirates,Single Room,3,December 2019,Solo traveler," Hotel was very nice and well looked after. 
Location was great for the tube and all areas needing to travel too.
Plenty of power sockets and easily accessible.
Warm and comfortable.",9.0,"Good Hotel, Well looked after, Great location for getting around.",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,1,December 2019,Couple, Friendly helpful staff especially Sissy at breakfast.,9.6,Great location,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
United States of America,Single Room,2,December 2019,Family," Staff pleasant and helpful. Hotel very good for price- well thought out, clean style. As expected Room was small but well organized.",8.0,"Good location, comfortable bed, good breakfast.",1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,2,December 2019,Couple, Great location. Clean good breakfast,9.0,Wonderful,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Australia,Standard Double or Twin Room,1,December 2019,Family, Second stay at this property and rooms were very good. We were upgraded and bed was very comfortable,9.6,Exceptional,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Italy,Single Room,1,December 2019,Solo traveler," Comfortable and beautiful.
Welcoming staff, you feel like at home. Everything well done. All details much appreciated.",9.2,Wonderful,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,1,December 2019,Group, Bed comfortable bathroom lovely 😊,8.0,Very Good,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
United States of America,Premium Triple Room,1,December 2019,Family, Convenient foe strolling the city,9.6,Exceptional,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,3,December 2019,Family," Great breakfast, my 17 year old was in his element.  Location near a tube but also walking distance to Oxford Street was fabulous.",9.0,Ideal Christmas London break.,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Premium Room,2,December 2019,Solo traveler," Staff were helpful and tried to sort out issues . Breakfast was good , Nelum staff member was very nice.",7.1,Good,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,2,December 2019,Family," the breakfast is excellent, much better than many hotels. the mulled wine and mince pies were a lovely addition. the beds and pillows are comfortable and the room spotless.",8.0,"loved our stay, been before and will return.",1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
New Zealand,Standard Double or Twin Room,2,December 2019,Family, Location great. Close to trains tube and bus. Lovely hotel.,9.0,Great for our short stay. Friendly staff,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guernsey,Standard Double or Twin Room,3,December 2019,Couple," Good location, helpful staff, clean and comfortable",9.6,Exceptional,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,2,December 2019,Family," Location
Staff
Breakfast",9.2,Wonderful,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Premium Triple Room,1,December 2019,Family, Central location to everything you would want to do,9.2,24hr stopover,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,3,December 2019,Group," Breakfast choice was very good
Location excellent",7.0,Enjoyable stay with great friends,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,Standard Double or Twin Room,3,December 2019,Couple," Right next to the metro station ""Warren Street"". Also next to Paul where can eat great breakfast",7.0,Good,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,Standard Double or Twin Room,4,December 2019,Family, Room was clean .,7.9,Good,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,1,December 2019,Couple," The staff made it special by leaving a birthday treat for my boyfriend, lovely room, lovely hotel and location. Will be staying again.",9.6,Exceptional,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,1,December 2019,Solo traveler, comfortable room and nice atmosphere in the hotel. excellent location,8.0,Very Good,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Belgium,Standard Double or Twin Room,1,December 2019,Solo traveler, good bar,7.0,Good,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
United Kingdom,Superior Single Room,2,November 2019,Solo traveler, Lives up to the Radisson brand and in an excellent location,9.0,"Perfect stay for work or leisure - top marks on comfort, cleanliness, there's a gym too",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,Superior Single Room,4,December 2019,Solo traveler," I picked the Raddison Blue Edwardian because it's location is close to 2 train stations.  I had to visit several company locations north of London and I did not want to risk driving on the other side of the road. I do not have a diplomatic passport to wiggle out in case I was not paying attention. Honestly, a combination of fast trains, Uber/Taxis was faster than staying up north and driving.",9.0,Relatively affordable hotel in London,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,1,December 2019,Family, Homemade orange preserve was divine. All the food was a high standard.  The deco and style thoughout the hotel was gorgeous. Very polite friendly staff. And an extremely comfy bed and pillows.,9.0,Fabulous place to stay in London very near to Euston station and easy location to get some sightseei,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
United Kingdom,Superior Single Room,2,December 2019,Family, Helpful smiley staff .,9.0,Wonderful,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,Superior Single Room,6,December 2019,Group, Really like the location. Very near to Warren street station and there are many shops and restaurant around. Only a short walk to Oxford street as well.,9.0,Great hotel in the best location possible,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ireland,Standard Double or Twin Room,1,December 2019,Group, Comfortable bed,7.0,Good location and comfortable.,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,1,December 2019,Couple," Good quality bed and pillows
Staff extremely friendley",8.0,Good experience slightly overpriced,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
