Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Positive,Facilities
United Kingdom,Standard Room,3,March 2021,Solo traveler," The location is fantastic when flying. I arrived by train and needed a PCR test before flying. All very easy to access from this hotel. 
Some staff very pleasant others rather cool and unwelcoming.",8.0,Great location,1,noisiness
United Kingdom,Standard Room,1,March 2021,Couple, with recent covid times etc - felt very safe as room was very clean & all facilities well cared/catered for i.e room service etc,9.0,great overnight location/stay,1,covid
United Kingdom,Standard Room,1,March 2021,Couple, with recent covid times etc - felt very safe as room was very clean & all facilities well cared/catered for i.e room service etc,9.0,great overnight location/stay,1,dirty
United Kingdom,Standard Room,1,March 2021,Couple, with recent covid times etc - felt very safe as room was very clean & all facilities well cared/catered for i.e room service etc,9.0,great overnight location/stay,1,staff
United Kingdom,Standard Room,1,March 2021,Solo traveler, Customer service was excellent from the receptionist to the staff member who arrived at my room with my breakfast which was on time and delicious,10.0,Exceptional,1,staff
United Kingdom,Standard Room,1,March 2021,Solo traveler, Customer service was excellent from the receptionist to the staff member who arrived at my room with my breakfast which was on time and delicious,10.0,Exceptional,1,food/drink
United Kingdom,Standard Room,1,March 2021,Couple, Price was excellent comfy bed.,8.0,Will stay again if information of hotel and facilities is received prior to stay.,1,price
United Kingdom,Standard Room,1,March 2021,Couple, Price was excellent comfy bed.,8.0,Will stay again if information of hotel and facilities is received prior to stay.,1,comfort
United Kingdom,Standard Room,1,March 2021,Couple, Price was excellent comfy bed.,8.0,Will stay again if information of hotel and facilities is received prior to stay.,1,bed
United Kingdom,Standard Room,1,March 2021,Solo traveler, Very big room and clean with compliments,10.0,Airport stay,1,dirty
United Kingdom,Standard Room,1,March 2021,Family, Clean and so comfortable bed! Great staff x,10.0,Exceptional,1,dirty
United Kingdom,Standard Room,1,March 2021,Family, Clean and so comfortable bed! Great staff x,10.0,Exceptional,1,comfort
United Kingdom,Standard Room,1,March 2021,Family, Clean and so comfortable bed! Great staff x,10.0,Exceptional,1,bed
United Kingdom,Standard Room,1,March 2021,Family, Clean and so comfortable bed! Great staff x,10.0,Exceptional,1,staff
United Kingdom,Standard Room,1,February 2021,Group," all good and comfortable rooms, food was great considering lock down restrictions. Staff were very helpful from check in to check out, even when we needed to extend our stay.",9.0,very pleasant stay and convenient location,1,comfort
United Kingdom,Standard Room,1,February 2021,Group," all good and comfortable rooms, food was great considering lock down restrictions. Staff were very helpful from check in to check out, even when we needed to extend our stay.",9.0,very pleasant stay and convenient location,1,food/drink
United Kingdom,Standard Room,1,February 2021,Group," all good and comfortable rooms, food was great considering lock down restrictions. Staff were very helpful from check in to check out, even when we needed to extend our stay.",9.0,very pleasant stay and convenient location,1,staff
United Kingdom,Executive Suite with Lounge Access,1,March 2021,Solo traveler, Felt very covid safe. Paid full price for junior suite on executive floor but everything closed due to lockdown so they should discount the room rate by 25%.,10.0,Exceptional in these trying times,1,covid
United Kingdom,Executive Suite with Lounge Access,1,March 2021,Solo traveler, Felt very covid safe. Paid full price for junior suite on executive floor but everything closed due to lockdown so they should discount the room rate by 25%.,10.0,Exceptional in these trying times,1,price
United Kingdom,Standard Room,1,March 2021,Solo traveler, Staff are excellent,10.0,Exceptional,1,staff
Spain,Standard Room,1,March 2021,Solo traveler, It was all good . I needed to get an Early Flight and the staff made it really easy for me with helpful ways of getting to the airport  . there was one exception .,8.0,"Great Location, Very comfortable room . Shame about the Early Morning call .",1,staff
Spain,Standard Room,1,March 2021,Solo traveler, It was all good . I needed to get an Early Flight and the staff made it really easy for me with helpful ways of getting to the airport  . there was one exception .,8.0,"Great Location, Very comfortable room . Shame about the Early Morning call .",1,location
United Kingdom,Superior Room with Runway View,1,March 2021,Solo traveler," Location is perfect for access to the airport and nearby towns such as Hale, Altrincham and Wilmslow.",8.0,Essential stay during lockdown and whilst this wasn’t an opportunity to experience the hotel at its best I saw enough to,1,location
United Kingdom,Standard Room,1,March 2021,Solo traveler," The hotel is a 5 min walk away from the airport and train station. It is a beautiful hotel with lovely rooms, the food is delicious but a bit pricey, however I would highly recommend you staying here",10.0,Brilliant nights stay,1,location
United Kingdom,Standard Room,1,March 2021,Solo traveler," The hotel is a 5 min walk away from the airport and train station. It is a beautiful hotel with lovely rooms, the food is delicious but a bit pricey, however I would highly recommend you staying here",10.0,Brilliant nights stay,1,food/drink
United Kingdom,Standard Room,1,March 2021,Solo traveler," The hotel is a 5 min walk away from the airport and train station. It is a beautiful hotel with lovely rooms, the food is delicious but a bit pricey, however I would highly recommend you staying here",10.0,Brilliant nights stay,1,price
United Kingdom,Superior Room with Runway View,2,December 2020,Solo traveler, It’s location in the terminal building is perfect for early morning flights. Comfortable rooms and friendly staff.,9.0,Best hotel for Manchester early flights,1,location
United Kingdom,Superior Room with Runway View,2,December 2020,Solo traveler, It’s location in the terminal building is perfect for early morning flights. Comfortable rooms and friendly staff.,9.0,Best hotel for Manchester early flights,1,comfort
United Kingdom,Superior Room with Runway View,2,December 2020,Solo traveler, It’s location in the terminal building is perfect for early morning flights. Comfortable rooms and friendly staff.,9.0,Best hotel for Manchester early flights,1,staff
Hong Kong,Superior Room with Runway View,1,December 2020,Solo traveler, Convenient for the train station and the airport. Friendly staff although I was charged for the room again even though it was paid for online before the stay. The money was reimbursed very quickly.,8.0,Very Good,1,location
Hong Kong,Superior Room with Runway View,1,December 2020,Solo traveler, Convenient for the train station and the airport. Friendly staff although I was charged for the room again even though it was paid for online before the stay. The money was reimbursed very quickly.,8.0,Very Good,1,staff
Hong Kong,Superior Room with Runway View,1,December 2020,Solo traveler, Convenient for the train station and the airport. Friendly staff although I was charged for the room again even though it was paid for online before the stay. The money was reimbursed very quickly.,8.0,Very Good,1,price
Hong Kong,Superior Room with Runway View,1,December 2020,Solo traveler, Convenient for the train station and the airport. Friendly staff although I was charged for the room again even though it was paid for online before the stay. The money was reimbursed very quickly.,8.0,Very Good,1,internet
United Kingdom,Standard Room,1,January 2021,Solo traveler, Location,9.0,Wonderful,1,location
United Kingdom,Standard Room,4,February 2021,Family, Stayed after travelling from dubai as isolation. Hassle free and very close to the airport.,10.0,decent hotel for the money paid,1,location
United Kingdom,Standard Room,1,February 2021,Couple, Very convenient for getting to terminal 1-2 walkway from hotel. Tea making facilities handy for late arrival.,10.0,Exceptional,1,location
United Kingdom,Standard Room,1,February 2021,Couple, Very convenient for getting to terminal 1-2 walkway from hotel. Tea making facilities handy for late arrival.,10.0,Exceptional,1,food/drink
United Kingdom,Standard Room,1,February 2021,Couple," Easy distance from airport via sky bridge, and even easier access to train station.  The hotel itself was very aware of covid protocol.  Staff helpful and courteous.  Felt safe in these worrying times.",10.0,Great hotel.,1,location
United Kingdom,Standard Room,1,February 2021,Couple," Easy distance from airport via sky bridge, and even easier access to train station.  The hotel itself was very aware of covid protocol.  Staff helpful and courteous.  Felt safe in these worrying times.",10.0,Great hotel.,1,covid
United Kingdom,Standard Room,1,February 2021,Couple," Easy distance from airport via sky bridge, and even easier access to train station.  The hotel itself was very aware of covid protocol.  Staff helpful and courteous.  Felt safe in these worrying times.",10.0,Great hotel.,1,staff
Spain,Standard Room,1,February 2021,Solo traveler," The hotel has adapted very well during covid pandemic. Everything spotless, amazing job being done by the housekeeping department, bed was super comfy, and the room service was very prompt.",10.0,Exceptional,1,covid
Spain,Standard Room,1,February 2021,Solo traveler," The hotel has adapted very well during covid pandemic. Everything spotless, amazing job being done by the housekeeping department, bed was super comfy, and the room service was very prompt.",10.0,Exceptional,1,bed
Spain,Standard Room,1,February 2021,Solo traveler," The hotel has adapted very well during covid pandemic. Everything spotless, amazing job being done by the housekeeping department, bed was super comfy, and the room service was very prompt.",10.0,Exceptional,1,comfort
Spain,Standard Room,1,February 2021,Solo traveler," The hotel has adapted very well during covid pandemic. Everything spotless, amazing job being done by the housekeeping department, bed was super comfy, and the room service was very prompt.",10.0,Exceptional,1,staff
Saudi Arabia,Standard Room,1,February 2021,Couple, The Nespresso machine in the room was a welcome sight and the access to the walkway saved a lot of time. The TV had chromecast built in. Car parking on site was a bonus and £15 overnight at reception.,10.0,Exceptional,1,tv
Saudi Arabia,Standard Room,1,February 2021,Couple, The Nespresso machine in the room was a welcome sight and the access to the walkway saved a lot of time. The TV had chromecast built in. Car parking on site was a bonus and £15 overnight at reception.,10.0,Exceptional,1,parking
Saudi Arabia,Standard Room,1,February 2021,Couple, The Nespresso machine in the room was a welcome sight and the access to the walkway saved a lot of time. The TV had chromecast built in. Car parking on site was a bonus and £15 overnight at reception.,10.0,Exceptional,1,location
Saudi Arabia,Standard Room,1,February 2021,Couple, The Nespresso machine in the room was a welcome sight and the access to the walkway saved a lot of time. The TV had chromecast built in. Car parking on site was a bonus and £15 overnight at reception.,10.0,Exceptional,1,staff
United Kingdom,Standard Room,1,February 2021,Couple, Excellent breakfast in the circumstances lo,9.0,Wonderful,1,food/drink
United Kingdom,Standard Room,1,February 2021,Family, The location is superb. Physically connected to the terminal building.,10.0,Exceptional,1,location
United Kingdom,Superior Room with Runway View,1,January 2021,Couple," Great location near the airport. Perfect for the flight I was taking the day after and short walk away from the terminal. Massive comfortable bed with an endless number of pillows. Very clean warm spacious room. Free WiFi. Lots of plugs and USB ports to charge the electronics. A mini fridge-freezer, which was very useful to keep drinks cool overnight. Beautiful clean bathroom with toiletries, slippers, bathing robes and towels provided. Desk and chair in the room so was able to do some work overnight. The staff were amazing and because I arrived slightly late, they extended the check-out time by 2 hours. Reception was on 3rd floor. Parking was paid for separately per day. Flat screen TV with digital TV channels.",10.0,Lovely night away in a very comfortable and convenient location..,1,location
United Kingdom,Superior Room with Runway View,1,January 2021,Couple," Great location near the airport. Perfect for the flight I was taking the day after and short walk away from the terminal. Massive comfortable bed with an endless number of pillows. Very clean warm spacious room. Free WiFi. Lots of plugs and USB ports to charge the electronics. A mini fridge-freezer, which was very useful to keep drinks cool overnight. Beautiful clean bathroom with toiletries, slippers, bathing robes and towels provided. Desk and chair in the room so was able to do some work overnight. The staff were amazing and because I arrived slightly late, they extended the check-out time by 2 hours. Reception was on 3rd floor. Parking was paid for separately per day. Flat screen TV with digital TV channels.",10.0,Lovely night away in a very comfortable and convenient location..,1,comfort
United Kingdom,Superior Room with Runway View,1,January 2021,Couple," Great location near the airport. Perfect for the flight I was taking the day after and short walk away from the terminal. Massive comfortable bed with an endless number of pillows. Very clean warm spacious room. Free WiFi. Lots of plugs and USB ports to charge the electronics. A mini fridge-freezer, which was very useful to keep drinks cool overnight. Beautiful clean bathroom with toiletries, slippers, bathing robes and towels provided. Desk and chair in the room so was able to do some work overnight. The staff were amazing and because I arrived slightly late, they extended the check-out time by 2 hours. Reception was on 3rd floor. Parking was paid for separately per day. Flat screen TV with digital TV channels.",10.0,Lovely night away in a very comfortable and convenient location..,1,bed
United Kingdom,Superior Room with Runway View,1,January 2021,Couple," Great location near the airport. Perfect for the flight I was taking the day after and short walk away from the terminal. Massive comfortable bed with an endless number of pillows. Very clean warm spacious room. Free WiFi. Lots of plugs and USB ports to charge the electronics. A mini fridge-freezer, which was very useful to keep drinks cool overnight. Beautiful clean bathroom with toiletries, slippers, bathing robes and towels provided. Desk and chair in the room so was able to do some work overnight. The staff were amazing and because I arrived slightly late, they extended the check-out time by 2 hours. Reception was on 3rd floor. Parking was paid for separately per day. Flat screen TV with digital TV channels.",10.0,Lovely night away in a very comfortable and convenient location..,1,dirty
United Kingdom,Superior Room with Runway View,1,January 2021,Couple," Great location near the airport. Perfect for the flight I was taking the day after and short walk away from the terminal. Massive comfortable bed with an endless number of pillows. Very clean warm spacious room. Free WiFi. Lots of plugs and USB ports to charge the electronics. A mini fridge-freezer, which was very useful to keep drinks cool overnight. Beautiful clean bathroom with toiletries, slippers, bathing robes and towels provided. Desk and chair in the room so was able to do some work overnight. The staff were amazing and because I arrived slightly late, they extended the check-out time by 2 hours. Reception was on 3rd floor. Parking was paid for separately per day. Flat screen TV with digital TV channels.",10.0,Lovely night away in a very comfortable and convenient location..,1,internet
United Kingdom,Superior Room with Runway View,1,January 2021,Couple," Great location near the airport. Perfect for the flight I was taking the day after and short walk away from the terminal. Massive comfortable bed with an endless number of pillows. Very clean warm spacious room. Free WiFi. Lots of plugs and USB ports to charge the electronics. A mini fridge-freezer, which was very useful to keep drinks cool overnight. Beautiful clean bathroom with toiletries, slippers, bathing robes and towels provided. Desk and chair in the room so was able to do some work overnight. The staff were amazing and because I arrived slightly late, they extended the check-out time by 2 hours. Reception was on 3rd floor. Parking was paid for separately per day. Flat screen TV with digital TV channels.",10.0,Lovely night away in a very comfortable and convenient location..,1,staff
United Kingdom,Superior Room with Runway View,1,January 2021,Couple," Great location near the airport. Perfect for the flight I was taking the day after and short walk away from the terminal. Massive comfortable bed with an endless number of pillows. Very clean warm spacious room. Free WiFi. Lots of plugs and USB ports to charge the electronics. A mini fridge-freezer, which was very useful to keep drinks cool overnight. Beautiful clean bathroom with toiletries, slippers, bathing robes and towels provided. Desk and chair in the room so was able to do some work overnight. The staff were amazing and because I arrived slightly late, they extended the check-out time by 2 hours. Reception was on 3rd floor. Parking was paid for separately per day. Flat screen TV with digital TV channels.",10.0,Lovely night away in a very comfortable and convenient location..,1,food/drink
United Kingdom,Superior Room with Runway View,1,January 2021,Couple," Great location near the airport. Perfect for the flight I was taking the day after and short walk away from the terminal. Massive comfortable bed with an endless number of pillows. Very clean warm spacious room. Free WiFi. Lots of plugs and USB ports to charge the electronics. A mini fridge-freezer, which was very useful to keep drinks cool overnight. Beautiful clean bathroom with toiletries, slippers, bathing robes and towels provided. Desk and chair in the room so was able to do some work overnight. The staff were amazing and because I arrived slightly late, they extended the check-out time by 2 hours. Reception was on 3rd floor. Parking was paid for separately per day. Flat screen TV with digital TV channels.",10.0,Lovely night away in a very comfortable and convenient location..,1,bathroom
United Kingdom,Superior Room with Runway View,1,January 2021,Couple," Great location near the airport. Perfect for the flight I was taking the day after and short walk away from the terminal. Massive comfortable bed with an endless number of pillows. Very clean warm spacious room. Free WiFi. Lots of plugs and USB ports to charge the electronics. A mini fridge-freezer, which was very useful to keep drinks cool overnight. Beautiful clean bathroom with toiletries, slippers, bathing robes and towels provided. Desk and chair in the room so was able to do some work overnight. The staff were amazing and because I arrived slightly late, they extended the check-out time by 2 hours. Reception was on 3rd floor. Parking was paid for separately per day. Flat screen TV with digital TV channels.",10.0,Lovely night away in a very comfortable and convenient location..,1,parking
United Kingdom,Superior Room with Runway View,1,January 2021,Couple," Great location near the airport. Perfect for the flight I was taking the day after and short walk away from the terminal. Massive comfortable bed with an endless number of pillows. Very clean warm spacious room. Free WiFi. Lots of plugs and USB ports to charge the electronics. A mini fridge-freezer, which was very useful to keep drinks cool overnight. Beautiful clean bathroom with toiletries, slippers, bathing robes and towels provided. Desk and chair in the room so was able to do some work overnight. The staff were amazing and because I arrived slightly late, they extended the check-out time by 2 hours. Reception was on 3rd floor. Parking was paid for separately per day. Flat screen TV with digital TV channels.",10.0,Lovely night away in a very comfortable and convenient location..,1,price
United Kingdom,Superior Room with Runway View,1,January 2021,Couple," Great location near the airport. Perfect for the flight I was taking the day after and short walk away from the terminal. Massive comfortable bed with an endless number of pillows. Very clean warm spacious room. Free WiFi. Lots of plugs and USB ports to charge the electronics. A mini fridge-freezer, which was very useful to keep drinks cool overnight. Beautiful clean bathroom with toiletries, slippers, bathing robes and towels provided. Desk and chair in the room so was able to do some work overnight. The staff were amazing and because I arrived slightly late, they extended the check-out time by 2 hours. Reception was on 3rd floor. Parking was paid for separately per day. Flat screen TV with digital TV channels.",10.0,Lovely night away in a very comfortable and convenient location..,1,tv
United Kingdom,Standard Room,4,February 2021,Couple, Rooms are clean and spacious. The staff are very helpful and professional particularly Mark on reception. It’s difficult having to essential travel at the moment but the staff made the stay more pleasant,8.0,Great staff very helpful!,1,dirty
United Kingdom,Standard Room,4,February 2021,Couple, Rooms are clean and spacious. The staff are very helpful and professional particularly Mark on reception. It’s difficult having to essential travel at the moment but the staff made the stay more pleasant,8.0,Great staff very helpful!,1,staff
United Kingdom,Standard Room,4,February 2021,Couple, Rooms are clean and spacious. The staff are very helpful and professional particularly Mark on reception. It’s difficult having to essential travel at the moment but the staff made the stay more pleasant,8.0,Great staff very helpful!,1,noisiness
Czech Republic,Standard Room,1,February 2021,Family, The hotel is perfectly located with a direct connection to the airport. The staff was helpful and everything went smoothly. The room was cleaned and well equipped.,10.0,The accommodation follows the expected high standard.,1,location
Czech Republic,Standard Room,1,February 2021,Family, The hotel is perfectly located with a direct connection to the airport. The staff was helpful and everything went smoothly. The room was cleaned and well equipped.,10.0,The accommodation follows the expected high standard.,1,staff
United Kingdom,Standard Room,1,February 2021,Solo traveler, Very good toom service pizza & wine. Very friendly staff.,10.0,Exceptional,1,staff
United Kingdom,Standard Room,1,February 2021,Solo traveler, Comfortable room with excellent access to Manchester Airport.,9.0,Wonderful,1,comfort
United Kingdom,Standard Room,1,February 2021,Solo traveler, Comfortable room with excellent access to Manchester Airport.,9.0,Wonderful,1,location
United Kingdom,Standard Room,1,January 2021,Couple," Not a pleasure trip but a necessity within the covid crisis.  However a very pleasant stay, thank you",8.0,Very Good,1,comfort
United Kingdom,Standard Room,1,January 2021,Couple," Not a pleasure trip but a necessity within the covid crisis.  However a very pleasant stay, thank you",8.0,Very Good,1,covid
United Kingdom,Standard Room,1,January 2021,Couple," Not a pleasure trip but a necessity within the covid crisis.  However a very pleasant stay, thank you",8.0,Very Good,1,noisiness
United Kingdom,Standard Room,1,February 2021,Solo traveler, Short walk to Terminal and a great stay. Staff are helpful and friendly. With this pandemic it is clean and comfortable. The room service is excellent and good a selection of options for drink and food.,10.0,Short walk to Terminal.,1,location
United Kingdom,Standard Room,1,February 2021,Solo traveler, Short walk to Terminal and a great stay. Staff are helpful and friendly. With this pandemic it is clean and comfortable. The room service is excellent and good a selection of options for drink and food.,10.0,Short walk to Terminal.,1,staff
United Kingdom,Standard Room,1,February 2021,Solo traveler, Short walk to Terminal and a great stay. Staff are helpful and friendly. With this pandemic it is clean and comfortable. The room service is excellent and good a selection of options for drink and food.,10.0,Short walk to Terminal.,1,covid
United Kingdom,Standard Room,1,February 2021,Solo traveler, Short walk to Terminal and a great stay. Staff are helpful and friendly. With this pandemic it is clean and comfortable. The room service is excellent and good a selection of options for drink and food.,10.0,Short walk to Terminal.,1,dirty
United Kingdom,Standard Room,1,February 2021,Solo traveler, Short walk to Terminal and a great stay. Staff are helpful and friendly. With this pandemic it is clean and comfortable. The room service is excellent and good a selection of options for drink and food.,10.0,Short walk to Terminal.,1,comfort
United Kingdom,Standard Room,1,February 2021,Solo traveler, Short walk to Terminal and a great stay. Staff are helpful and friendly. With this pandemic it is clean and comfortable. The room service is excellent and good a selection of options for drink and food.,10.0,Short walk to Terminal.,1,food/drink
United Kingdom,Standard Room,1,February 2021,Solo traveler," Nice quiet room.
Clean and well decorated",8.0,quiet and peaceful,1,noisiness
United Kingdom,Standard Room,1,February 2021,Solo traveler," Nice quiet room.
Clean and well decorated",8.0,quiet and peaceful,1,dirty
United Kingdom,Standard Room,1,February 2021,Solo traveler," The full English breakfast was brought to my room right on time, and was delicious.",10.0,A comfortable place to stay with easy covered access to the airport terminal.,1,food/drink
United Kingdom,Standard Room,1,February 2021,Solo traveler," I booked this hotel for a family member who had visited the Uk for her mums funeral. She was given an upgrade on arrival which was appreciated before her flight back home to America.
She was very impressed with the hotel and could not fault the room or the service and would use this hotel again and would recommend to family and friends.",10.0,Overnight stay before flight back to America,1,staff
United Kingdom,Standard Room,1,February 2021,Couple," Bearing in mind th covid situation th hotel entry was excellent, th room was upgraded and superb, everything that could have been done to clean and sanitise th room had been done and a fabulous breakfast was brought to th door this morning. We couldnt have asked or expected any better all round. Well done Radisdon in these difficult times",10.0,Exceptional,1,covid
United Kingdom,Standard Room,1,February 2021,Couple," Bearing in mind th covid situation th hotel entry was excellent, th room was upgraded and superb, everything that could have been done to clean and sanitise th room had been done and a fabulous breakfast was brought to th door this morning. We couldnt have asked or expected any better all round. Well done Radisdon in these difficult times",10.0,Exceptional,1,dirty
United Kingdom,Standard Room,1,February 2021,Couple," Bearing in mind th covid situation th hotel entry was excellent, th room was upgraded and superb, everything that could have been done to clean and sanitise th room had been done and a fabulous breakfast was brought to th door this morning. We couldnt have asked or expected any better all round. Well done Radisdon in these difficult times",10.0,Exceptional,1,food/drink
Australia,Standard Room,1,January 2021,Solo traveler, Close to the skywalk and short walk to the terminal. Lovely rooom.,9.0,Wonderful,1,location
Kuwait,Standard Room,1,January 2021,Family, The precautions taken regarding covid,10.0,Exceptional,1,covid
United Kingdom,Standard Room,1,January 2021,Couple, Well appointed. Clean,9.0,Good hotel,1,dirty
United Kingdom,Standard Room,1,January 2021,Family," Excellent service from the Concierge = especially at this time, everything was well organized, spotless and we felt very safe.  I would recommend",10.0,"Feel safe at the Radisson Blu, even in these strange times our stay was excellent.",1,staff
United Kingdom,Standard Room,1,February 2021,Solo traveler, Just great place to stay,10.0,Exceptional,1,location
United Kingdom,Standard Room,1,January 2021,Solo traveler," Was so relaxing, staff amazing, Adrian was on duty when I checked in and was so welcoming and helpful. All travel documents ready and printed and waiting at check out.",10.0,"Stay here, treat yourself!!!",1,staff
United Kingdom,Premium Room with Runway View,4,November 2020,Couple, Manager was the best really made my birthday stay special! Clean great view n really comfy bed. Shower facilities were great was a great stop after work.,9.0,Best place away from home,1,dirty
United Kingdom,Premium Room with Runway View,4,November 2020,Couple, Manager was the best really made my birthday stay special! Clean great view n really comfy bed. Shower facilities were great was a great stop after work.,9.0,Best place away from home,1,location
United Kingdom,Premium Room with Runway View,4,November 2020,Couple, Manager was the best really made my birthday stay special! Clean great view n really comfy bed. Shower facilities were great was a great stop after work.,9.0,Best place away from home,1,comfort
United Kingdom,Premium Room with Runway View,4,November 2020,Couple, Manager was the best really made my birthday stay special! Clean great view n really comfy bed. Shower facilities were great was a great stop after work.,9.0,Best place away from home,1,bed
United Kingdom,Premium Room with Runway View,4,November 2020,Couple, Manager was the best really made my birthday stay special! Clean great view n really comfy bed. Shower facilities were great was a great stop after work.,9.0,Best place away from home,1,bathroom
United Kingdom,Standard Room,1,January 2021,Solo traveler, Room was very clean and the hotel had suitable Covid 19 controls in place.,8.0,Nice hotel in an ideal location for the airport,1,dirty
United Kingdom,Standard Room,1,January 2021,Solo traveler, Room was very clean and the hotel had suitable Covid 19 controls in place.,8.0,Nice hotel in an ideal location for the airport,1,covid
United Kingdom,Standard Room,1,January 2021,Solo traveler, Room was very clean and the hotel had suitable Covid 19 controls in place.,8.0,Nice hotel in an ideal location for the airport,1,location
United Kingdom,Standard Room,1,January 2021,Solo traveler, Clean and well organised,10.0,Heading to work,1,dirty
United Kingdom,Standard Room,4,January 2021,Couple, Modern lovely rooms. Staff are so helpful and accommodating during difficult Covid times. Especially Adrian on reception.,10.0,Great stay,1,comfort
United Kingdom,Standard Room,4,January 2021,Couple, Modern lovely rooms. Staff are so helpful and accommodating during difficult Covid times. Especially Adrian on reception.,10.0,Great stay,1,staff
United Kingdom,Standard Room,4,January 2021,Couple, Modern lovely rooms. Staff are so helpful and accommodating during difficult Covid times. Especially Adrian on reception.,10.0,Great stay,1,covid
United States of America,Standard Room,1,January 2021,Solo traveler," Didn't have breakfast. Very convenient for rail station, covid testing, and terminals.",8.0,Very Good,1,food/drink
United States of America,Standard Room,1,January 2021,Solo traveler," Didn't have breakfast. Very convenient for rail station, covid testing, and terminals.",8.0,Very Good,1,covid
United States of America,Standard Room,1,January 2021,Solo traveler," Didn't have breakfast. Very convenient for rail station, covid testing, and terminals.",8.0,Very Good,1,location
United Kingdom,Standard Room,1,January 2021,Couple," We had to stay during the pandemic due to being evacuated from our home during a flood, and I’d rate the whole thing as one of the top experiences at a hotel ever. The way everything was handled was great, the reception staff was lovely and gave us a great room, and everything was covid safe. Instead of being a horrible night it was a wonderful relaxing time in a beautiful, quiet, well run hotel. Can’t beat it.",10.0,Perfect,1,covid
United Kingdom,Standard Room,1,January 2021,Couple," We had to stay during the pandemic due to being evacuated from our home during a flood, and I’d rate the whole thing as one of the top experiences at a hotel ever. The way everything was handled was great, the reception staff was lovely and gave us a great room, and everything was covid safe. Instead of being a horrible night it was a wonderful relaxing time in a beautiful, quiet, well run hotel. Can’t beat it.",10.0,Perfect,1,staff
