,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Negative,Positive,Facilities,Predicted
12,United Kingdom,Superior Double Room,3  ,December 2020,Couple, Really good location. Comfortable bed and spacious room. Staff very friendly. Hotel impeccabley clean,8.0,Comfortable enjoyable stay but with a few minor tweaks could have been an excellent stay.,0,1,location|comfort|bed|staff|dirty|,1
13,United Kingdom,Executive King Room with Sofa Bed,1  ,December 2020,Couple, Every single member of staff were so helpful and friendly. The hotel is stunning and rooms are comfortable.,9.0,Lovely stay,0,1,staff|comfort|,1
14,United Kingdom,Superior Double Room,1  ,December 2020,Couple, room was perfect everything was great,10.0,absolutly perfect time,0,1,,1
15,United Kingdom,Superior Queen Room,1  ,December 2020,Solo traveler," Room was larger and more comfortable than I had envisaged, the parking at the hotel was cheaper than I had expected and the breakfast was included in an already very competitive price",9.0,Above my expectation,0,1,comfort|parking|price|food|,1
16,New Zealand,Executive Double Room,1  ,December 2020,Couple, Excellent breakfast delivered to room . Location was perfect lots of restaurants near by will definitely stay again on our next visit to London.,10.0,Excellent staff on front desk early check was much appreciated after a long flight .,0,1,food|location|restaurant|,1
17,United Kingdom,One Bedroom Apartment,1  ,September 2020,Couple," Another great stay, still our location of choice for overnights in London :-)",10.0,"Great location, perfect stay!",0,1,location|,0
18,United Kingdom,Superior Queen Room,1  ,December 2020,Couple," Location ,breakfast excellent it was our mini moon as we got married and didn't want to travel we were given complimentary champagne it was a lovely touch",9.0,Excellent,0,1,location|food|price|,1
19,Australia,Superior Double Room,7  ,November 2020,Solo traveler," Fantastic hotel, staff were brilliant and friendly, always so willing to help.  This will definitely be the hotel of choice any time I am London again.",10.0,Really enjoyable,0,1,staff|,1
20,United Kingdom,Executive Studio,3  ,November 2020,Solo traveler," Great stay, excellent staff. Planning to return again next week.",9.0,"Great stay, excellent staff. Planning to return again next week.",0,1,staff|,1
21,United Kingdom,Executive King Room with Sofa Bed,2  ,November 2020,Family," Great location, room spacious and clean",8.0,Very Good,0,1,location|dirty|,0
22,United Kingdom,Superior Double Room,3  ,November 2020,Solo traveler," The room was a good size, clean and well furnished, with great desk space to work from. The hotel staff who are currently working in an exceptionally difficult time during a second lock down in London provided great customer service.",8.0,Very Good,0,1,dirty|staff|,1
23,Latvia,Executive Studio (3 Adults),3  ,October 2020,Family, Best staff and comfort a traveler can expect.,10.0,Exceptional,0,1,staff|comfort|,0
24,United Kingdom,Superior Double Room,3  ,November 2020,Couple, We felt good.,9.0,Wonderful,0,1,,1
25,United Kingdom,Superior Twin Room,1  ,August 2020,Solo traveler," Well located, clean and tidy place. Courteous staff, couldn’t ask for more",8.0,Pleasant Stay,0,1,location|dirty|staff|,0
26,Saudi Arabia,Executive King Room with Sofa Bed,3  ,November 2020,Family, Every thing was very good,10.0,Exceptional,0,1,,1
27,United Kingdom,Executive Twin Room,4  ,October 2020,Solo traveler, The room was spacious and clean and the hotel location is excellent,9.0,A very enjoyable stay and I look forward to my next visit,0,1,dirty|location|,0
28,United Kingdom,Executive Studio (3 Adults),1  ,November 2020,Family, We arrived with a car with a broken window due to a theft. The staff both at night and during the day did everything they could to help us including taping up the window so we could get home. Their kindness was beyond all expectations.,10.0,Could not help us more,0,1,parking|staff|,1
29,United Kingdom,Executive King Room with Sofa Bed,2  ,November 2020,Group, Staff made us feel very welcome. Lovely ballons Prosecco and cake to help celebrate my birthday . Had a lovely time will definitely be back,10.0,Birthday trip,0,1,staff|,1
30,United Kingdom,Executive Studio,2  ,October 2020,Family," Staff were really friendly, breakfast was very good",9.0,"It was a great stay, my kids loved it",0,1,staff|food|,1
31,United Kingdom,One Bedroom Apartment,2  ,October 2020,Couple," Great location, very nice and polite staff, comfortable beds, great view of London eye from the room.",8.0,Very Good,0,1,location|staff|comfort|bed|,1
32,United Kingdom,Superior Double Room,2  ,October 2020,Family," Definitely recommend! Everything was in order, Covid secure environment. Will definitely use again on our next visit to London",10.0,Exceptional,0,1,covid|,1
33,United Kingdom,Executive Studio,1  ,October 2020,Family, Friendly and welcoming. Spacious room. Very comfy bed. Nice shower and toiletries. Powerful hairdryer. Good choice of television channels. Quiet in the evening. Very clean.,9.0,Favourite hotel to stay at in London,0,1,staff|comfort|bed|bathroom|tv|wifi|noisiness|dirty|,1
34,United Kingdom,One Bedroom Apartment,2  ,October 2020,Couple, The amazing view from our apartment,10.0,"Lovely place to stay, very good location",0,1,location|,1
35,United Kingdom,Executive Studio,1  ,October 2020,Family," Room was good, the lobby, restaurant, bar were lovely. A really nice chilled atmosphere.",9.0,Wonderful,0,1,restaurant|drink|,1
36,United Kingdom,Executive Studio (3 Adults),1  ,October 2020,Solo traveler," Aside from the flat being a little chilly, it was very well appointed; comfortable beds, very nice space to relax in, two toilets, kitchen facilities and plenty of natural light.",9.0,Great value stay in London,0,1,comfort|bed|bathroom|,1
37,Italy,Superior Double Room,1  ,October 2020,Couple," Nice room, nice services, nice staff, nice everything",10.0,Fantastic,0,1,staff|,0
38,United Kingdom,Executive Studio,1  ,October 2020,Family, Staff were extremely friendly and helpful. Lovely breakfast.,10.0,Lovely central location,0,1,staff|food|,1
39,United Kingdom,Executive Studio,1  ,October 2020,Family," Appreciated the surprise cake and tea offered for my Mum's birthday, nice presentation. The bath was an added bonus. Late check out. Breakfast was lovely.",8.0,Very Good,0,1,drink|bathroom|food|,1
40,United Kingdom,Executive King Room with Sofa Bed,1  ,October 2020,Family," Great location, lovely staff. Clean and fresh.",8.0,Very Good,0,1,location|staff|dirty|,0
41,United Kingdom,One Bedroom Apartment,2  ,October 2020,Family, Big apartment room,8.0,Nice room,0,1,,1
42,United Kingdom,Executive Studio,1  ,October 2020,Family," It was my son's bday and the staff left cakes and balloons in the room, a lovely gesture that made his weekend - so very kind of the front of house staff to organise this. I too was upgraded for a discounted rate. It's a shame London is fairly quiet during Covid but it's a good time now to sightsee, shop etc - as it's a bit calmer.  Loads of shops and places to eat only mins from hotel. You're kind of 10 mins in a cab from everywhere - covent garden etc. Defo recommend this hotel, we will be back 100%. The parking too was a great addition also, so not carrying of bags across London. The staff are a credit to the hotel, and it was always cleaned and the staff ensured those staying adhered to rules (i.e. masks). Great hotel!!! Great Staff!! Great Location!!",10.0,Staff are awesome! Just a great spacious hotel! Very clean! Great location!,0,1,staff|price|noisiness|covid|restaurant|location|parking|,0
43,Romania,Executive King Room with Sofa Bed,2  ,October 2020,Family, The staff was excellent.,10.0,Best London experience,0,1,staff|,1
44,United Kingdom,Superior Double Room,1  ,October 2020,Solo traveler," Stylish but not precious about it. Staff welcome good and made the stay safe and as near normal as you can get at the moment. Nice size room, good bathroom. Would definitely stay here again",8.0,Very Good,0,1,staff|location|bathroom|,0
45,United Kingdom,Superior Double Room,2  ,October 2020,Couple, The brain and armchair,9.0,Wonderful,0,1,,1
46,United Kingdom,Superior Double Room,1  ,October 2020,Solo traveler, Convenient location. Staff are always very welcoming and go the extra mile.,8.0,Very Good,0,1,location|staff|,1
47,United Kingdom,Superior Twin Room,2  ,October 2020,Group, Great customer service and attentive staff.     Location was fab.   Tube station a short walk or easy walk to Buckingham palace.,9.0,Wonderful,0,1,staff|location|,1
48,United Kingdom,One Bedroom Apartment,1  ,October 2020,Couple, Value for money.,8.0,Lovely place. Great value.,0,1,price|,1
49,United Kingdom,Superior Queen Room,1  ,October 2020,Solo traveler," The team are always extremley friendly and helpful. The covid precautions are good and are respcted by the team (unlike other places I have satyed at recently). The breakfast is always frehly prepared and tasting, although a greater choice of cooked food would be appreacited :)",10.0,Exceptional,0,1,staff|covid|location|food|drink|,1
50,United Kingdom,Executive King Room with Sofa Bed,2  ,October 2020,Family," The lady in the reception is very warm and welcoming. She even upgraded our room.
Breakfast was ok given the COVID situation",10.0,Exceptional,0,1,staff|food|covid|,0
51,United Kingdom,Superior Queen Room,2  ,October 2020,Solo traveler, Excellent customer service with the few problems I had.,9.0,Wonderful,0,1,staff|,1
52,United Kingdom,Executive Studio (3 Adults),1  ,October 2020,Group, Fantastic stay in executive studio. So spacious and well equipped. It even had a roof terrace with fab London views. We were told the wrong Saturday breakfast times however they bought this to the room without any issues. The restaurant Tozi was also great with excellent Italian tapas. We will definitely return particularly as the studio was such great value.,8.0,Great stay,0,1,location|food|restaurant|price|,0
53,United Kingdom,Executive King Room with Sofa Bed,3  ,September 2020,Couple," This place was amazing! Loved my stay here and nothing was too much for the staff, as times are tough during the pandemic! I had to extend my stay in London and this was no problem as I was able to stay in the same room!
Ana Marie the receptionist was soooo friendly.... felt like I’d known her for years! And don’t worry I will get you a Northern Irish boyfriend! Will be no bother at all! Thanks for all your help when I was in London especially when I was by myself! 🙂",10.0,Best stay in London!!!,0,1,location|staff|covid|,1
54,Qatar,Executive Double Room,14  ,October 2020,Solo traveler," I loved the service from the reception, to housekeeping, to dining room staff, to the Operations Manager and last but not the least The General Manager who was always on the floor assisting the guest as well as her staff and setting an excellent example.
With all the obstacles the staff faced during this pandemic, they made sure I was extremely comfortable and happy at every turn.
I  must honestly say that they didn't leave a single stone unturned to make my stay a memorable one as well as to confirm my return.",10.0,I booked this hotel by accident but will always come back when I am in London.,0,1,staff|restaurant|covid|comfort|,1
55,United Kingdom,Superior Double Room,3  ,September 2020,Couple, Everything,9.0,Wonderful,0,1,,1
56,United Kingdom,Executive King Room with Sofa Bed,3  ,October 2020,Family," All of the staff were extremely friendly and helpful, will be staying again",10.0,Exceptional,0,1,staff|,1
57,United Kingdom,Superior Double Room,4  ,October 2020,Couple, Lovely room and staff. Second stay and did not disappoint.,9.0,Worth considering,0,1,staff|,0
58,United Kingdom,Superior Twin Room,1  ,October 2020,Family," The staff was very welcoming, helpful and really polite. I can't remember all the names but certainly Ana Maria and a gentleman who was on a shift with her. They made special effort for my mom's birthday, managed to get us a top floor apartment!!! Gave me useful tips, kept us informed and made sure our stay was smooth. I loved the facilities, rooms and location more than anything. You can walk to any central London destination. The breakfast was also pretty impressive.",9.0,"Perfect central London stay, decent price",0,1,staff|location|food|,0
59,United Kingdom,Executive Double Room,1  ,October 2020,Solo traveler, I booked the wrong room by mistake. Because what I intended on booking was available they kindly gave me that room instead.,10.0,Nice staff and hotel,0,1,,1
60,United Kingdom,Executive King Room with Sofa Bed,1  ,October 2020,Solo traveler," Room size was good, great options for rooms to choose, great location from public transport.",10.0,"Friendly welcome, room was clean and very prepared during this COVID time. Information was very good from the staff that",0,1,location|,1
61,United Kingdom,Superior Double Room,1  ,September 2020,Solo traveler, Arrived early and was able to get an early check in. Very good.,8.0,Good stay in Victoria.,0,1,,1
62,United Kingdom,Superior Twin Room,1  ,September 2020,Group," Clean, sanitised, felt they had taken the Covid procedures seriously and felt safe.  Staff lovely and helpful",10.0,Exceptional,0,1,dirty|covid|staff|,1
63,Ireland,Superior Queen Room,1  ,September 2020,Solo traveler, Room was lovely and clean. Bed was comfortable and a good size. Loved the elemis shower gel and cream.,9.0,Wonderful,0,1,dirty|bed|comfort|bathroom|,1
64,United Kingdom,Superior Double Room,2  ,September 2020,Couple, The location was perfect. Central to everywhere we wanted to go.The Hotel was very clean and all the room had been sanitised.  The staff were very friendly and helpful.  Breakfast was really good and brought to our room. I look forward to staying again,10.0,Our stay at the Hotel was a beautiful relaxing break,0,1,location|dirty|staff|food|,1
65,United Kingdom,Superior Queen Room,1  ,September 2020,Couple," The property was very clean, so beautiful. I was very please with my room, lovely bathroom. The staff were exceptional, really friendly and super helpful. I highly recommend this Park Plaza.",10.0,Exceptional,0,1,dirty|bathroom|staff|,1
66,United Kingdom,Superior Double Room,1  ,September 2020,Family," I loved the warm greeting that the lady on the front desk gave, splendid service with a smile.",10.0,"Lovely staff, wonderful stay.",0,1,staff|,1
67,United Kingdom,Executive Double Room,2  ,September 2020,Couple," Location excellent. We were meeting family in a couple of of nearby venues in the Victoria area so it was a perfect location for this. In fact I would go as far as to say its pretty much the perfect location for all of the Victoria night spots as all seemed to be just a short walk away.
Hotel staff very friendly. They couldn't do enough for us, so a big thank you for this. The Executive Double Room that we had was of a very good size and plenty of room for two people. Room was exceptionally clean as indeed was the bathroom.
Covid-19 precautions all there as you would expect, so always felt very safe and comfortable at the Park Plaza Victoria.
Would definitely stay there again.",9.0,A perfect stay in a perfect location,0,1,location|staff|dirty|bathroom|covid|comfort|,1
68,United States of America,Executive Double Room,2  ,July 2020,Family, Location was close to everything!,10.0,Comfortable stay and friendly staff,0,1,location|,1
69,United Kingdom,Superior Queen Room,1  ,September 2020,Couple, Comfortable and clean,8.0,Excellent Location great hotel Excellent staff,0,1,comfort|dirty|,1
70,Ireland,Executive Studio,2  ,September 2020,Couple," We have just returned  from a two night stay. I had informed the staff that it was my partners 30th and they had a card, beer and cake in the room. The room was gorgeous. The lady who works at reception ( I forget her name) was so lovely and very helpful as where all the staff. We look forward to staying here again. The hotel is also in a great location. Thank you for making my partners birthday so special.",10.0,Amazing staff,0,1,staff|drink|location|,0
71,United Kingdom,Executive King Room with Sofa Bed,1  ,September 2020,Family," The staff were lovely and could not of been more helpful. They surprised my little girl with a birthday cake for her birthday, she was over the moon.",8.0,Really lovely helpful staff. Only downside the beds weren’t very  comfortable,0,1,staff|,1
72,United States of America,Superior Queen Room,2  ,September 2020,Couple," Clean, safe, accommodating.",9.0,Wonderful,0,1,dirty|,1
73,Slovakia,Executive Studio (3 Adults),2  ,September 2020,Family, The staff were really helpful and very friendly to talk too. Room was excellent and food was delicious. Would recommend to anyone visiting London.,10.0,Great weekend in London,0,1,staff|drink|food|,0
74,United Kingdom,Superior Double Room,1  ,September 2020,Solo traveler, Excellent service in these trying time’s. sent off in the morning with a bacon/egg & spinach bap along with various fruits etc. Hotel was spotless.,10.0,"Comfortable, clean and safe",0,1,staff|,0
75,United Kingdom,Superior Queen Room,1  ,September 2020,Group, Nice location and good staff,8.0,Very Good,0,1,location|staff|,1
76,Ireland,Executive Studio,1  ,September 2020,Solo traveler," Spotlessly clean and very friendly professional staff that really did everything to make the stay enjoyable. 
Everything that could be done to protect both guests and staff had been put in place. 
Excellent food in the newly reopened restaurant and room service was also speedily delivered and of a very good standard. 
Highly recommended",10.0,Excellent stay,0,1,dirty|staff|location|drink|food|restaurant|,1
77,United Kingdom,Superior Double Room,1  ,September 2020,Solo traveler," Friendly staff. Hotel is about a 10 minute walk from Victoria Station and you can enjoy the many shops and eateries on Wilton Road. Modern spacious rooms with air conditioning, electric curtains, comfortable bed and nice bathroom. 
Breakfast cost an additional £10 but is well worth it, due to COVID-19 the breakfast is placed in a paper bag which you collect from the hotel bar at a specified time. You can relax in the bar area which is very modern and comfortable, you also have free refills of coffee from the machine. To summarise this Hotel will exceed your expectations.",10.0,Excellent Hotel.,0,1,staff|location|restaurant|comfort|temperature|bed|bathroom|food|covid|drink|,0
78,Nigeria,Superior Queen Room,1  ,September 2020,Family, The very stunning ambience,10.0,Truly a plaza,0,1,comfort|,1
79,United Kingdom,Executive King Room with Sofa Bed,1  ,September 2020,Solo traveler, The staff at the property were amazing. They 100% make the experience,10.0,Exceptional,0,1,staff|,0
80,United Kingdom,Superior Double Room,1  ,September 2020,Solo traveler, Everything was perfect,10.0,Exceptional,0,1,,1
81,United Kingdom,Superior Double Room,1  ,September 2020,Couple, Staff and hotel was all lovely. Adjacent to London Victoria railway station which made it very convenient for us travelling into London from Kent.,10.0,Exceptional,0,1,staff|location|,1
82,United Kingdom,Superior Queen Room,1  ,September 2020,Couple," Our second stay and definitely hotel of choice when staying over in London; staff are exceptional and nothing is too much trouble, smiles and first class service at all times. 
Upgraded our stay to the most amazing suite that’s larger than our apartment at home; amazing terraces, we’ll return :-)",10.0,"Perfect location for London Victoria, turn left out of reception for bars, restaurants and vibes!",0,1,staff|,0
83,Hungary,Superior Twin Room,1  ,September 2020,Solo traveler, Staff are very kind and helpful. Lovely rooms and very clean! Highly recommended!,10.0,Exceptional,0,1,staff|dirty|,1
84,United Kingdom,Superior Double Room,1  ,September 2020,Group, The new set up to deal with covid was excellent,9.0,Wonderful,0,1,covid|,1
85,Italy,Superior Queen Room,3  ,September 2020,Solo traveler, Jennifer was amazing and very nice.,10.0,Amazing staff,0,1,,1
86,United Kingdom,Superior Queen Room,1  ,September 2020,Couple," The hotel was lovely and so easy to get to from Victoria underground. Immediately could see the hotel had been very careful to make everything clean and safe. On check in the lady on the desk was very helpful and made us feel welcome. Room was great, with modern control pad and the comfiest bed. Delivered breakfast packs to us in the morning which were delicious including bacon and egg roll and fresh fruit and pastries! After checkout they kept our bags for us so we could explore all day. Will definitely be coming back!",10.0,Wonderful stay!,0,1,location|dirty|staff|comfort|bed|food|,1
87,United Kingdom,Executive Double Room,2  ,September 2020,Couple," service was excellent, great location, room facilities were very good",8.0,Loved it!,0,1,staff|location|,1
88,United Kingdom,Executive Double Room,1  ,September 2020,Couple," Cannot say how good the protocols were in place here & the customer service from all staff was outstanding. 
Cannot recommend highly enough",10.0,Superb,0,1,location|staff|,1
89,United Kingdom,Executive Double Room,2  ,September 2020,Couple, The staff were helpful with the receptionist changing my room for one with a better view. They did bring up our breakfast to our room and interacted with us regularly and gave us plates to eat the food we brought in. You could tell they were trying their best under trying circumstances. The front door is locked after 5pm which i suppose adds some reassurances.,9.2,Dont expect the hotel to be fully functioning as we come out of lockdown,0,1,staff|location|food|drink|,1
90,United Kingdom,Superior Double Room,2  ,August 2020,Couple, The Hotel is very clean as was the room. Staff are very pleasant and helpful. The bed was really comfortable. Breakfast was lovely and definitely worth the money,9.0,Wonderful,0,1,dirty|staff|noisiness|bed|comfort|food|price|,1
91,United Kingdom,Superior Double Room,1  ,September 2020,Family," Great parking 
Great staff 
Breakfast in the bag was superb",10.0,Lovely stay,0,1,parking|staff|food|,1
92,United Kingdom,Superior Queen Room,1  ,September 2020,Solo traveler," 5th room nice and. Quiet 
No breakfast 
Plenty of effort made to comfort any one with covid concerns",9.0,Convenient and relaxed,0,1,noisiness|food|comfort|covid|,1
93,United Kingdom,Superior Double Room,1  ,September 2020,Couple, All the staff were exceptionally friendly and helpful. Francesca on reception gave us a lovely and informative welcome. We cant speak highly enough of all the staff and their amazing service. Our room was incredibly comfortable and spotlessly clean. Very highly recommended. It was perfect in every-way! We look forward to returning one day. Thank you!,10.0,A perfect stay.,0,1,staff|comfort|dirty|,1
94,United Kingdom,Superior Queen Room,1  ,August 2020,Couple," The bed was super soft, I loved the automated curtains and temperature control feature, good cosmetics provided and the staff were dealing with the public incredibly well given the pandemic situation",8.0,Very Good,0,1,bed|temperature|staff|covid|,0
95,United Kingdom,Executive King Room with Sofa Bed,2  ,August 2020,Family, Customer service,9.0,Great stay,0,1,staff|,1
96,United Kingdom,Executive Studio,2  ,August 2020,Family," Gorgeous room, more than enough room for the 4 of us. Big for a London room. 
Breakfasts were great, staff were more than accommodating, especially when retrieving a lost item. 
Would definitely recommend and will definitely return. My little boy calls it his 'London home'.",8.0,Brilliant stay!,0,1,food|staff|,1
97,United Kingdom,Executive Studio,2  ,August 2020,Couple," Great location, modern rooms, on site parking and amazing staff, particularly Jennifer and Hamid, whose intervention promptly resolved a small issue and an upgrade offered, conscientious staff turned a good stay amazing.  We will definitely stop at the Park Plaza Victoria for all future trips.",10.0,Amazing staff accompanying a great hotel,0,1,location|comfort|parking|staff|,0
98,United Kingdom,Executive King Room with Sofa Bed,3  ,August 2020,Family," Staff were excellent, extremely friendly and remembered us and my name throughout our stay. Very personal and friendly service. It's 2 minutes walk to Victoria train and underground station which was fab as we used this a lot.",8.0,Excellent service and location.,0,1,staff|location|,1
99,United Kingdom,Executive King Room with Sofa Bed,1  ,August 2020,Family," Great location, staff can't be any more helpfull and nice, they are lovely. Breakfast buffet is not available at the moment , but breakfast packs were very tasty.",10.0,Great weekend,0,1,location|staff|food|,1
100,United Kingdom,One Bedroom Apartment,1  ,August 2020,Couple, The lobby was amazing and we received a lovely greeting from the receptionist Francesca. She was amazingly wonderful and made our arrival and departure a really positive experience,10.0,Saturday at the Park Plaza,0,1,,1
101,United Kingdom,Superior Twin Room,5  ,August 2020,Group," Location excellent near to, Victoria line",9.0,Hols in London,0,1,location|,1
102,United Kingdom,Superior Queen Room,2  ,August 2020,Solo traveler," Pleasant stay. 
Need to order housekeeping now, but could locate a time which was good.",8.0,Very Good,0,1,noisiness|,1
103,United Kingdom,Superior Queen Room,1  ,August 2020,Couple," Great location for Victoria, ninety seconds walk and close to a few great bars/restaurants as well.
Staff were amazing, friendly, professional and nothing was too much trouble.
Reception area is ultra modern and clean lines but rooms are a little dated in comparison, lighting is digital but poor; bathrooms are very dated with a bath and old style shower. That said, everything is spotlessly clean and we enjoyed our stay.",8.0,Great location and good for an overnight in London.,0,1,location|drink|restaurant|staff|comfort|dirty|bathroom|,1
104,United Kingdom,Executive Studio (3 Adults),2  ,August 2020,Family," Love having breakfast in the room,  lovely big beds",9.0,"Great staff, great location",0,1,food|bed|,0
105,United Kingdom,Superior Twin Room,1  ,August 2020,Family, Staff were excellent,10.0,So enjoyed our time here,0,1,staff|,1
106,United Kingdom,Executive Studio (3 Adults),3  ,August 2020,Family, Staff cleanliness location,9.0,Wonderful,0,1,staff|dirty|location|,0
107,United Kingdom,Executive King Room with Sofa Bed,2  ,August 2020,Family, The staff were very friendly and always ready to meet our demands.,8.0,Very Good,0,1,staff|,1
108,United Kingdom,Executive Double Room,3  ,August 2020,Couple, Everything was perfect!,10.0,"Stayed there last weekend, great atmosphere friendly staff. Felt at ease too with the social distancing guidelines appli",0,1,,1
109,United Kingdom,Superior Queen Room,2  ,August 2020,Solo traveler, The location is excellent. Big room. Clean. Nice TV that you can connect to your mobile phone. Nice electric curtains. Very friendly staff.,9.0,Wonderful,0,1,location|dirty|tv|staff|,1
110,United Kingdom,Executive King Room with Sofa Bed,2  ,August 2020,Family," The hotel is good, I liked everything..",8.0,Very Good,0,1,,1
111,United Kingdom,Superior Double Room,1  ,August 2020,Couple, Nice polite staff and very clean,8.0,Very Good,0,1,staff|dirty|,1
112,France,Superior Queen Room,1  ,July 2020,Solo traveler," In lockdown time, this hôtel was open and just that is nice
Rooms ok
People fine",9.2,Wonderful,0,1,,1
113,United Kingdom,Executive Studio,2  ,August 2020,Couple," Everything was fantastic, we were given an exceptional welcome and service, from the checking in to our room. The staff are excellent and we dealt with manager Ahmed, and Francesca, who went above and beyond to provide us a great service and stay. I understand the current situation isn't great for everyone and certain services aren't available but the staff can only do as much as they're capable of. With all this taken into consideration and the location was great for commuting around london, I and the wife were very pleased to have stayed with Park Plaza Victoria London.",10.0,Park Plaza Victoria London stay.,0,1,staff|location|,1
114,United Kingdom,Superior Double Room,1  ,August 2020,Solo traveler," Reception staff excellent, room service terrific.
Attention to cleanliness and Covid-19 precautions first class!
I will certainly visit again.",10.0,A flying visit,0,1,staff|dirty|covid|,1
115,United Kingdom,Superior Twin Room,1  ,August 2020,Group, The stopper for the sink was very dirty. Everything else was good,10.0,Exceptional,0,1,dirty|,1
116,Ireland,Superior Double Room,1  ,August 2020,Couple," Location was great. Room was lovely, very confortable. Breakfast was delivered and was very good considering the restrictions.",9.0,We only had one night and the hotel was exactly what we neede,0,1,location|food|,1
117,United Kingdom,Superior Queen Room,1  ,August 2020,Couple," Everything as good as it could be given present circumstances. Very clean, staff very welcoming and very impressed by size of bathroom (and bath).",8.0,Very Good,0,1,dirty|staff|bathroom|,1
118,United Kingdom,Superior Queen Room,1  ,August 2020,Couple," Comfy bed, nice tv, nice bathroom",8.0,Very Good,0,1,comfort|bed|tv|bathroom|,0
119,Ireland,Superior Double Room,2  ,August 2020,Couple," We visited London in August 2020, during COVID19 social distancing.  The staff were friendly and very helpful.  The room was clean, spacious and comfortable.  The location was great, just around the corner from Victoria Station.  Unfortunately the restaurant was closed but your choice of breakfast was delivered to your room.  Had a great weekend and would definitely recommend this hotel.",8.0,Weekend in London,0,1,covid|staff|dirty|comfort|location|restaurant|food|,1
120,United Kingdom,Executive Studio,4  ,August 2020,Family, Superb staff. Emy in front desk was so helpful. Felt like 6 star service throughout,10.0,Great staff,0,1,staff|,1
121,United Kingdom,Executive Double Room,2  ,August 2020,Group, GM Stephanie and Ana the receptionist,10.0,Exceptional,0,1,,1
122,Italy,Superior Queen Room,1  ,August 2020,Solo traveler," Friendly staff, amazing  lobby, confortable rooms",9.0,Wonderful,0,1,staff|,1
123,United Kingdom,Executive Studio,2  ,August 2020,Family, Lovely and friendly staff,8.0,Surrounding area is perfect for everything,0,1,staff|,1
124,United Kingdom,Executive Studio,1  ,July 2020,Couple, Close to Victoria coach station and Victoria train station. Close to restaurants and supermarket.,8.0,Very Good,0,1,location|restaurant|,1
125,United Kingdom,Executive Studio,1  ,July 2020,Family," Very friendly efficient staff, super clean and great location. Will definitely visit again",10.0,Super staycation,0,1,staff|dirty|location|,1
126,United Kingdom,Superior Double Room,2  ,July 2020,Couple," The Hotel is spotless, the room was very clean and comfortable. Its a brilliant location. The staff were helpful at all times and I loved the breakfast which was brought to our room . I really can't fault this hotel and look forward to staying there again.",10.0,Exceptional,0,1,dirty|comfort|location|staff|food|,1
127,United Kingdom,Executive Studio,2  ,July 2020,Family," The location was amazing and the facilities. I was traveling with kids, so it was great to have kitchen facilities. A Dishwasher, a fridge, a hub, knives and forks, even dishwasher tablets. Everything was there!",10.0,Excellent place to stay in London.,0,1,location|bathroom|,1
128,United Kingdom,Executive Studio (3 Adults),1  ,July 2020,Family," Staff were very friendly, bar area was very relaxing, hotel ideally located for what we required during our stay",10.0,Exceptional,0,1,staff|drink|restaurant|location|,0
129,United Kingdom,Superior Double Room,1  ,July 2020,Couple," All of it, fantastic place",10.0,Nice little getaway,0,1,location|,1
