,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Negative,Positive,Facilities,Predicted
41,Ireland,Double Room,3  ,January 2020,Couple," Spotless clean, really comfortable",9.6,Excellent,0,1,dirty|comfort|,1
42,Ireland,Twin Room,2  ,January 2020,Family," Beautiful room and so spacious! Free [still and sparkling] water was left by the mirror, along with little sweets, which was so lovely after hours of travelling. The bed was large with two separate duvets, so I couldn't possibly ask for a more comfortable stay for two people! / Despite a late arrival (about 10PM), I was still able to order room service - and the food was absolutely incredible! The staff was also very friendly, and the location was near the Old Town as well as other places I had to go to. I will definitely stay here again, hopefully for a little longer too!",8.0,Brilliant!,0,1,dirty|bathroom|bed|comfort|staff|drink|food|location|,0
43,United Kingdom,Double Room,3  ,January 2020,Couple, Great breakfast. Cocktails at the bar. Room view and great bed and shower,10.0,Exceptional,0,1,food|drink|restaurant|location|bed|bathroom|,1
44,United Kingdom,Double Room,2  ,January 2020,Couple, Fantastic location. Staff were very accomodating. Room had a great river view. Extremely clean. Breakfast was a large selection. The hotel was definately 4 start standard. Would definately recommend.,10.0,Exceptional,0,1,location|staff|dirty|food|,1
45,Latvia,Twin Room,1  ,January 2020,Couple," Nice place, close to historical objects, good breakfast",9.6,Exceptional,0,1,location|food|,1
46,Sweden,Single Room,2  ,January 2020,Solo traveler, I like the location and the bed.,9.0,Wonderful,0,1,location|bed|,1
47,United States of America,Single Room,3  ,December 2019,Solo traveler," Everything was fantastic! Food was great, room was great, The staff at the hotel was amazing. There is nothing they wouldn’t do for you! Unfortunately i had a couple of incidents happening on my trip but the staff were very understanding and helpful, they made my stay feel that every penny was worth.",9.6,Exceptional,0,1,drink|food|staff|,1
48,Italy,Double Room,1  ,December 2019,Couple, After renovation Park Plaza finally meets the level of other 4stars hotels in Wrocław. Nice and clean room. Availability of tea& coffee machine.,9.0,Wonderful,0,1,dirty|drink|,0
49,Poland,Double Room,2  ,January 2020,Couple," Stuff, location, underground parking.",10.0,The location is PERFECT.,0,1,location|parking|,0
50,Spain,Twin Room,1  ,December 2019,Couple," • It's just in the center
• Very nice and helpful people that work there",10.0,Exceptional,0,1,location|staff|,1
51,Russia,Double Room,1  ,December 2019,Family," Gorgeous view, excellent location, good stuff",9.2,Wonderful,0,1,location|,1
52,United Kingdom,Twin Room,3  ,December 2019,Couple," Good location just across the river from the main market square, only about a 20min walk. Room was really clean and comfortable. Breakfast was great, Overall great value for money",8.3,Very Good,0,1,location|dirty|comfort|food|price|,1
53,United States of America,Double Room,2  ,December 2019,Couple," The location of the hotel and the room view was stunning. Main sqaure is about a 10min walk with a picturess view. The staff were very friendly and accomodating. The rooms were clean but a more up to date TV would inhance our stay.
Overall the experience was good and would come back again.",8.8,Couples break,0,1,location|tv|staff|dirty|,1
54,Germany,Twin Room,1  ,December 2019,Solo traveler, Very good breakfast and coffee. My stay was to short to see the spa.,8.0,Good short stay,0,1,food|drink|fitness|,1
55,Poland,Double Room,1  ,December 2019,Family," The location of the hotel is very good, it has ground level and underground parking, clean rooms. We stayed in the beginning of December with my wife and kid and there was a  Christmas decorations, free ginger cookies and wonderful holiday spirit! The room itself was great, clean and tidy, AC working perfectly. The info channel is informing you with everything you can see or do in the city. The staff was friendly and helpful, perfect English. Good meals both at the restaurant in the evening and in the morning on breakfast. My family and I are very satisfied that we stayed at the hotel after a long car drive. Thanks everyone and happy holidays!!! Keep up the great work!",10.0,Exceptional,0,1,location|parking|dirty|tv|wifi|staff|food|restaurant|,1
56,United Kingdom,Twin Room,3  ,December 2019,Family," Well situated, great value for money, would highly recommend and definitely will be back",10.0,5 stars,0,1,price|,1
57,United Kingdom,Double Room,3  ,December 2019,Couple," Great location, spectacular views, clean and comfortable.",8.8,Excellent,0,1,location|dirty|comfort|,1
58,Ireland,Double Room,2  ,December 2019,Couple," Reception staff and bar staff were charming. Our waitress  on Saturday night for dinner was very helpful and pleasant.  I think her name was Pamela. 
Fantastic location . I would highly recommend this hotel.",9.6,Christmas market break,0,1,staff|drink|restaurant|food|noisiness|location|,1
59,Czech Republic,Double Room,2  ,December 2019,Family, All was perfect. Hotel is very close to center. There is 50m tram stop if you don't walk at all :),10.0,Exceptional,0,1,location|,1
60,United States of America,Double Room,1  ,November 2019,Couple, Great location and amazing views!,10.0,Exceptional,0,1,location|,1
61,United Kingdom,Double Room,2  ,November 2019,Group, The area is perfect with great secure parking! It is easy to grab a scooter and ride around the wonderful city with easy!,9.2,Wonderful,0,1,location|parking|,1
62,Romania,Twin Room,1  ,November 2019,Solo traveler, Evertyhing was perfect.,10.0,Exceptional,0,1,,1
63,Slovakia,Single Room,5  ,November 2019,Group, .,9.0,Wonderful,0,1,,1
64,United Kingdom,Double Room,1  ,November 2019,Couple, All perfect.very comfi rooms,9.2,Wonderful,0,1,,1
65,United Kingdom,Twin Room,1  ,November 2019,Group, Staff were very friendly and helpful with info on places to visit. Good location and a great price.,9.0,Wonderful,0,1,staff|location|price|,1
66,United Kingdom,Single Room,3  ,November 2019,Solo traveler, Centrally located. Was easy to get around by foot. Also I have to say the staff were super friendly and ready to accommodate any request. Above and beyond the call I would say. Reception and House Keeping! Just sayin!,9.6,Exceptional,0,1,location|staff|,0
67,United Kingdom,Single Room,1  ,November 2019,Solo traveler, everything,10.0,excellent staff and location,0,1,,1
68,Ukraine,Single Room,2  ,October 2019,Solo traveler," Very comfortable and silent hotel. Close to Botanical garden and city center. My room was on the corner with beautiful river view. Attentive staff, especially receptionist, who helped me with the room selection and city map. Tasty and rich breakfast. Comfortable pillows and mattress.",10.0,Excellent value for money and comfortable rest,0,1,comfort|location|staff|food|bed|,1
69,Canada,Double Room,2  ,September 2019,Couple," Excellent location, underground parking.",9.2,Wonderful,0,1,location|parking|,1
70,Romania,Twin Room,2  ,September 2019,Solo traveler," The hotel is great, both inside and out. The room was spotlessly clean, very good comfort, perfect bed. The staff were fabulous and very helpful — thanks Marta! :-) The breakfast is awesome, great selection and many healthy options. The location is a 10-15 minute walk from the main square, which was lovely given the view of this city by day and by night. Parking is as advertised. Would definitely recommend.",10.0,Exceptional,0,1,dirty|comfort|bed|staff|food|location|parking|,0
71,United States of America,Double Room,5  ,August 2019,Couple, Location is just great!,8.0,Good place to stay if you visiting Google Wroclaw.,0,1,location|,0
72,Germany,Double Room,1  ,August 2019,Group," This is for me the best hotel in Wroclaw. The view to river is amazing, room is spacious and particularly the staff is really friendly.",10.0,Exceptional,0,1,location|staff|,0
73,United Kingdom,Double Room,4  ,August 2019,Couple," Very clean and tidy, great view on the river side.",8.8,4 day leisure stay,0,1,dirty|location|,0
74,United Kingdom,Twin Room,1  ,August 2019,Solo traveler," I normally stay at the Q Hotel but I don’t like it’s location . This was a similar price . Room was lovely with city view. Breakfast looked amazing , I regretted not having it when I went to look around and saw the fabulous outdoor space in the sunshine on the river.",9.2,Nice modern hotel,0,1,location|price|food|fitness|,1
75,Lithuania,Double Room,1  ,August 2019,Group, Very good breakfast.,8.3,Very Good,0,1,food|,1
76,United Kingdom,Twin Room,3  ,August 2019,Couple, Close to all attractions,7.9,Good,0,1,,1
77,United Kingdom,Double Room,1  ,August 2019,Family," Amazing view, location, car park. Very comfortable room",10.0,Exceptional,0,1,location|parking|comfort|,1
78,Czech Republic,Double Room,1  ,August 2019,Couple, I couldn’t have asked for better.. the location is great and the view is wonderful. The staff was nice and very professional. The hotel was clean and comfortable. All of this 15 minutes walking from Rynek.,9.6,Weekend in Warsaw,0,1,location|staff|dirty|comfort|,1
79,Greece,Twin Room,2  ,August 2019,Family," Very good breakfast, All staff were very friendly and professional. The hotel is a great choice.",10.0,Exceptional,0,1,food|staff|,0
80,United Kingdom,Double Room,2  ,August 2019,Couple, We got a free upgrade to a larger room on arrival without asking. Breakfast was lovely so many choices.,10.0,"Very good, would stay there again",0,1,food|,0
81,United Kingdom,Twin Room,3  ,August 2019,Group," Lovely hotel, great breakfast , very friendly staff. Bedroom and bathroom excellent . Next to a nice park , and the river. will stay here again.",9.2,SUPERB,0,1,food|staff|bathroom|,0
82,Italy,Double Room,2  ,August 2019,Family," Fabulous breakfast! Modern room and bathroom, recently renewed. Colazione favolosa! Camere e bagni moderni e rinnovati recentemente!",10.0,Exceptional,0,1,food|comfort|bathroom|,0
83,United Kingdom,Superior Double Room,3  ,August 2019,Couple, Clean comfortable quality breakfast and excellent staff,10.0,Exceptional,0,1,dirty|comfort|food|staff|,1
84,Ukraine,Twin Room,1  ,July 2019,Group," Great hotel, good breakfast, easy parking",8.8,Excellent,0,1,food|parking|,1
85,Greece,Twin Room,1  ,July 2019,Couple," Near the city center, walking distance. Clean and comfortable rooms",10.0,Exceptional,0,1,location|dirty|comfort|,1
86,United Kingdom,Twin Room,1  ,June 2019,Solo traveler," breakfast was good ,so much to pick from and staff were great .",8.3,Very Good,0,1,food|staff|,0
87,Netherlands,Single Room,2  ,July 2019,Solo traveler," Great location 
Beautiful view on the river
Friendly staff
Nice room",8.8,Great place close to the center,0,1,location|staff|,0
88,United Kingdom,Double Room,2  ,July 2019,Couple, Location perfect for visiting the square and the islands. A lovely view over the river. Breakfast a great start to the day.,9.6,A fantastic stay in a beautiful but still little known European destination.,0,1,location|food|,1
89,Czech Republic,Twin Room,1  ,July 2019,Solo traveler, The place is close to centrum. Friendly personal,9.2,Wonderful,0,1,location|staff|,1
90,Czech Republic,Double Room,1  ,July 2019,Family," I liked the location of the hotel, breakfast, fast wifi and staff kindness.",9.6,Great hotel in an ideal location to visit Wroclaw,0,1,location|food|wifi|staff|,1
91,United Kingdom,Double Room,1  ,June 2019,Couple," Great location, nice big room. Easy to find and close to town. Nice and friendly staff, when asked for an iron it was brought up to the room straight away. Lovely breakfast.",9.6,Great hotel for lovely city break,0,1,location|staff|food|,1
92,United Kingdom,Twin Room,1  ,July 2019,Solo traveler, Place was nice breakfast was beautiful but no toast for me .,9.2,Wonderful,0,1,location|food|,0
93,Ukraine,Double Room,4  ,June 2019,Family, The food was just perfect.,8.3,Very Good,0,1,drink|food|,0
94,Estonia,Twin Room,1  ,June 2019,Couple, Brekfest.,10.0,Exceptional,0,1,,1
95,Canada,Double Room,1  ,June 2019,Family, East to find and close to most attractions.,7.5,Good,0,1,,1
96,United Kingdom,Twin Room,1  ,June 2019,Couple, The location,7.9,Good,0,1,location|,1
97,Netherlands,Double Room,2  ,June 2019,Couple, It was super clean and location was excellent for me. Great service at the reception!,9.6,Exceptional,0,1,dirty|location|staff|,0
98,Slovakia,Double Room,2  ,June 2019,Group, Very nice hotel on very good place and with excellent breakfast .,9.6,Exceptional,0,1,location|food|,1
99,Bulgaria,Twin Room,4  ,June 2019,Group," Location of the Hotel is perfect, 5 minutes walk from the city center. The hotel is nice and clean, with big parking. Breakfast is excellent.",10.0,Nice hotel next to Wroclaw city center.,0,1,location|dirty|parking|food|,1
100,United Kingdom,Twin Room,3  ,June 2019,Group," Good views of the river from the restaurant at Breakfast
Plenty of choice for breakfast 
Arranged taxis for Park run !",7.9,"Very pleasant short stay, Close to old Town we walked everyday to restaurants across the river",0,1,location|restaurant|food|,0
101,United Kingdom,Double Room,4  ,June 2019,Couple," Location
Cleanliness",9.2,Wonderful,0,1,location|dirty|,1
102,Poland,Double Room,1  ,June 2019,Couple, I love It,10.0,Exceptional,0,1,,0
103,South Africa,Twin Room,2  ,June 2019,Group," Near the wonderfull old town. 
a
a",10.0,An excellent place where we will like to stay again. So comfortable with very helpful people.,0,1,location|,0
104,Belarus,Double Room,1  ,May 2019,Couple," Friendly personal, good and secure parking, good location and awesone view to the river. Room design is quite good and modern.
Nice and confortable bed. Very good bath.",9.6,"Excellent place, but lock door at room and use safe.",0,1,staff|parking|location|comfort|bed|bathroom|,1
105,Italy,Double Room,2  ,May 2019,Group, The location and view was fantastic and enchanting.,10.0,Exceptional,0,1,location|,1
106,Canada,Single Room,2  ,May 2019,Solo traveler," Great location, beautiful views, very clean, comfortable and a good breakfast. Easy and cheap parking.",9.6,Exceptional,0,1,location|dirty|comfort|food|price|parking|,1
107,Netherlands,Twin Room,2  ,May 2019,Solo traveler," Floor heating bathroom,",9.2,Wonderful,0,1,temperature|bathroom|,1
108,Austria,Double Room,1  ,May 2019,Couple," I had stayed this hotel several times before, this time I stayed refurbished room. Equipment of this room pretty new and bed would be better than before. 
Everything fine!!",10.0,Exceptional,0,1,bed|,1
109,Ireland,Twin Room,2  ,May 2019,Family," Lovely hotel, friendly staff, a short walk to Old Town. Excellent breakfast. Would recommend.",10.0,Exceptional,0,1,staff|location|food|,1
110,United Kingdom,Single Room,2  ,May 2019,Solo traveler," Very comfortable and warm, closed to my friends location",10.0,Exceptional,0,1,comfort|location|,1
111,Finland,Twin Room,1  ,April 2019,Couple, Very good food and breakfast also. Gl. bread 😊,10.0,Exceptional,0,1,drink|food|,1
112,United Arab Emirates,Twin Room,1  ,March 2019,Group, Location is great near Odra river,7.9,Good,0,1,location|,1
113,United Kingdom,Double Room,1  ,March 2019,Couple, Staff all friendly and attentive,10.0,Exceptional,0,1,staff|,1
114,United Kingdom,Twin Room,3  ,March 2019,Family," Comfortable bed
Good sized room
Complimentary water
Great location",10.0,Exceptional,0,1,comfort|bed|price|dirty|bathroom|location|,0
115,United Kingdom,Double Room,1  ,March 2019,Group," Fell off the corner the bed , unexpectedly too soft!a quick",7.9,A quick overnight stop for,0,1,bed|,0
116,United Kingdom,Double Room,1  ,February 2019,Solo traveler," Fabulous location, just outside the centre, but close to the Marina.
Breakfast and service very good.",7.9,Good,0,1,location|food|staff|,1
117,United Kingdom,Single Room,1  ,February 2019,Solo traveler, Very nice staff and good location.,7.5,"Nice staff and good location, average restaurant.",0,1,staff|location|,1
118,United Kingdom,Double Room,4  ,February 2019,Couple," Clean, comfortable,very good value.Buffet breakfast was good every day,plenty of variety,fresh fruit daily.Late checkout when requested,no additional fee.😥😁",8.8,"Good location for a city break,easy walking distance to all of the local sites.Very efficient staff,",0,1,dirty|comfort|price|food|,1
119,Belgium,Double Room,1  ,January 2019,Family, friendly staff,9.2,Wonderful,0,1,staff|,1
120,United Kingdom,Single Room,2  ,December 2018,Group, Everything,10.0,Exceptional,0,1,,1
121,Ireland,Twin Room,3  ,December 2018,Group," Location 
Facilities",8.8,Christmas Market,0,1,location|,1
122,Israel,Double Room,2  ,December 2018,Couple," Location is great! Walking distance from any point you want to go. Rich breakfast. Helpful and friendly staff. Room is nice and clean with amazing view of the river. Overall, i enjoyed the stay and would recommend!",9.6,Great value for money in great location!,0,1,location|food|staff|dirty|,1
123,Iceland,Double Room,3  ,December 2018,Couple," Comfy bed , excellent breakfast and helpful staff",10.0,Excellent,0,1,comfort|bed|food|staff|,1
124,Poland,Double Room,1  ,December 2018,Couple," Great hotel, excellent location and amazing view from the hot room",10.0,Exceptional,0,1,location|,0
125,Italy,Twin Room,3  ,December 2018,Group, The position of the hotel was great near the center. the reception staff was friendly and helpful. the breakfast is very good with quality products,9.2,Wonderful,0,1,location|staff|food|,1
126,Israel,Double Room,3  ,December 2018,Couple, Great location with views of the Old Town and the river. The hotel staff is also very pleasant and willing to help with any questions.,10.0,"Excellent hotel with great location, clean and tidy rooms and amazing views.",0,1,location|staff|noisiness|,1
127,United Kingdom,Twin Room,2  ,December 2018,Group, Great location about a 10 minute walk from the main square and easy to find. The staff more than happy to help with any concerns. Would recommend and definitely stay here again.,10.0,Exceptional,0,1,location|staff|,1
128,Puerto Rico,Apartment,1  ,December 2018,Group," The room is amazing, perfectly clean, big. Breakfast have a little bit of everything. They have available a place to hold the luggage. It was peaceful, nice view",9.6,Exceptional,0,1,dirty|food|location|,1
129,Ireland,Double Room,3  ,December 2018,Group, Comfort of beds,7.5,Good,0,1,comfort|bed|,1
130,Germany,Twin Room,1  ,November 2018,Solo traveler, Recieved free Upgrade to a really large room with nice river view,9.2,Very good value for the Money,0,1,location|,0
131,Ireland,Double Room,3  ,November 2018,Couple, Location was excellent,7.9,Good,0,1,location|,1
132,Ireland,Double Room,3  ,November 2018,Couple," Brilliant location to market square! 
Staff were really friendly.
We ask for a late check out(2hours extra) and they gave it for free.",10.0,Exceptional,0,1,location|staff|,1
133,Italy,Twin Room,1  ,November 2018,Solo traveler," Location wonderful, smiley people, great parking, spacious room, minifridge OK. Easy going. Breakfast abundant, plentyful.",10.0,"I'll be back, see you guys again.",0,1,location|parking|food|,1
134,United Kingdom,Twin Room,2  ,November 2018,Group," Hotel is fantastic. Staff went above & beyond. Hotel was clean, warm & location was incredible. Couldn’t have asked for anymore. We will be back!",10.0,Extremely impressed!,0,1,staff|dirty|location|,1
135,Latvia,Twin Room,1  ,October 2018,Couple, Good breakfast.,7.5,I like this hotel!,0,1,food|,1
136,Poland,Double Room,1  ,October 2018,Solo traveler, The hotel's location is it's main advantage: wonderful view of riverside and only a few minutes away from the heart of Wrocław. Comfortable rooms and great breakfast.,10.0,As always a solid address in Wrocław.,0,1,location|comfort|food|,1
137,United Kingdom,Double Room,1  ,October 2018,Couple, I was pleasantly surprised by the friendliness of the staff,7.5,So last century design,0,1,staff|,0
138,Belgium,Single Room,1  ,October 2018,Solo traveler," Very nice , decent hotel with great location. Maybe it isnt vey modern, but very well managed. Nice, clean rooms, with great staff.",8.8,Excellent,0,1,location|comfort|dirty|staff|,1
139,Serbia,Twin Room,1  ,October 2018,Group, location,9.2,Wonderful,0,1,location|,1
140,United Kingdom,Single Room,1  ,October 2018,Solo traveler," The Room was very comfortable and the shower superb.
A lot of the signs were translated from Polish to English and another language.
Staff were very friendly and helpful",8.3,Value for money,0,1,comfort|bathroom|staff|,1
141,Ireland,Double Room,3  ,October 2018,Couple," Lovely hotel on river two mins walk to university bridge and few minutes to town square. great holiday walking tours, make sure you enquire if water fountain light/music show is on well worth getting taxi there.  Hotel is very reasonable with only minutes from town or bridges over to churches brillant location. lovely breakfast and loads of different choices",9.6,lovely hotel near everything lovely view over the river with swans swimming,0,1,location|dirty|bathroom|tv|food|,1
142,United Kingdom,Twin Room,2  ,October 2018,Solo traveler, Fantastic service and staff,9.2,Great hotel,0,1,staff|,1
143,United Kingdom,Twin Room,3  ,October 2018,Couple, Breakfast was superb,8.3,Very Good,0,1,food|,1
144,Germany,Double Room,1  ,October 2018,Couple, Very good location close to the center. Also really enjoyed breakfast.,9.2,Wonderful,0,1,location|food|,1
145,Poland,Twin Room,1  ,September 2018,Solo traveler," Very good breakfast, friendly staff, perfect location",8.8,Good choice if to stay in Wroclaw,0,1,food|staff|location|,0
146,Ireland,Double Room,3  ,September 2018,Couple, Location price quiet,10.0,Great location & value,0,1,location|price|noisiness|,1
147,United Kingdom,Double Room,1  ,August 2018,Family," Comfortable hotel, very accommodating staff and great breakfast. Location is very good as well, especially for families with young children as there is a lovely playground on a little island next to the hotel.",8.8,"Dated, but lovely hotel, good for families with young children",0,1,comfort|staff|food|location|fitness|,1
148,Lebanon,Double Room,1  ,August 2018,Group, All was nice and as expected,10.0,Exceptional,0,1,,1
149,Switzerland,Single Room,3  ,August 2018,Solo traveler, The view on the river and the university of Wroclaw was absolutely fantastic. The hotel was located just in the center of the city and great bars and restaurants were very close. The breakfast was good and the staff was very friendly.,9.2,"Great place for a business travel, would chose this place again if I needed to come to Wroclaw again",0,1,location|drink|restaurant|food|staff|,1
150,Switzerland,Twin Room,1  ,August 2018,Group," Great location, guarded parking, nice restaurant and good breakfast.",7.5,Nice hotel in a great location!,0,1,location|parking|restaurant|food|,0
151,Netherlands,Twin Room,1  ,August 2018,Group, Perfect location to come by car and park at the hotel. From the hotel easy to walk into the city center of Wroclaw. Great breakfast on the terrace at the Oder river.,9.6,Exceptional,0,1,location|parking|food|,0
152,Switzerland,Double Room,3  ,August 2018,Couple, Good location.  10min walk to The historical area.,7.9,Good,0,1,location|,1
153,Austria,Twin Room,1  ,July 2018,Solo traveler," Air conditioned, spacey Room with Bathtub, smart tv and minibar. If you´re lucky you get a room with cityview. Also very quiet.",7.5,Good,0,1,temperature|bathroom|tv|noisiness|,1
154,Czech Republic,Double Room,1  ,July 2018,Couple, The breakfast was absolutely amazing.,7.9,Good,0,1,food|,0
155,Australia,Twin Room,1  ,October 2020,Couple, Hotel was clean and very close to Wroclaw University and the square.,7.0,Reception staff need to improve their efficiency,0,1,dirty|,1
156,Belgium,Double Room Plus River View,3  ,September 2020,Couple," Nice rooms, beds, bathrooms and in general clean. Friendly staff that helped with overcrowded parking.",7.0,Solid stay,0,1,bed|bathroom|dirty|staff|parking|,1
157,Poland,Twin Room,1  ,August 2020,Couple, Great location!,7.0,Great location,0,1,location|,1
