,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Positive,Facilities,Predicted
55,United Kingdom,Standard Double or Twin Room,1,February 2020,Family," The online check in was great, allowing us to select rooms near each other, away from the front and see room sizes. The rooms were very clean, had effective heating controls, and of a good size for central London at the price point! We deliberately picked larger rooms in the back newer section of the hotel, they are larger and quieter being away from the main road. The staff were also very good, we had a problem with one room (the mattress had failed so wasn't comfortable) but we were quickly and efficiently upgraded to a larger room nearby which was lovely! Both rooms had excellent showers (one with a bath) and although furniture was simple it was all in good order. All in all a great base for a West End visit or to explore London from.",9.0,Wonderful,1,location,1
56,United Kingdom,Standard Double or Twin Room,1,February 2020,Family," The online check in was great, allowing us to select rooms near each other, away from the front and see room sizes. The rooms were very clean, had effective heating controls, and of a good size for central London at the price point! We deliberately picked larger rooms in the back newer section of the hotel, they are larger and quieter being away from the main road. The staff were also very good, we had a problem with one room (the mattress had failed so wasn't comfortable) but we were quickly and efficiently upgraded to a larger room nearby which was lovely! Both rooms had excellent showers (one with a bath) and although furniture was simple it was all in good order. All in all a great base for a West End visit or to explore London from.",9.0,Wonderful,1,dirty,1
57,United Kingdom,Standard Double or Twin Room,1,February 2020,Family," The online check in was great, allowing us to select rooms near each other, away from the front and see room sizes. The rooms were very clean, had effective heating controls, and of a good size for central London at the price point! We deliberately picked larger rooms in the back newer section of the hotel, they are larger and quieter being away from the main road. The staff were also very good, we had a problem with one room (the mattress had failed so wasn't comfortable) but we were quickly and efficiently upgraded to a larger room nearby which was lovely! Both rooms had excellent showers (one with a bath) and although furniture was simple it was all in good order. All in all a great base for a West End visit or to explore London from.",9.0,Wonderful,1,temperature,1
58,United Kingdom,Standard Double or Twin Room,1,February 2020,Family," The online check in was great, allowing us to select rooms near each other, away from the front and see room sizes. The rooms were very clean, had effective heating controls, and of a good size for central London at the price point! We deliberately picked larger rooms in the back newer section of the hotel, they are larger and quieter being away from the main road. The staff were also very good, we had a problem with one room (the mattress had failed so wasn't comfortable) but we were quickly and efficiently upgraded to a larger room nearby which was lovely! Both rooms had excellent showers (one with a bath) and although furniture was simple it was all in good order. All in all a great base for a West End visit or to explore London from.",9.0,Wonderful,1,price,1
59,United Kingdom,Standard Double or Twin Room,1,February 2020,Family," The online check in was great, allowing us to select rooms near each other, away from the front and see room sizes. The rooms were very clean, had effective heating controls, and of a good size for central London at the price point! We deliberately picked larger rooms in the back newer section of the hotel, they are larger and quieter being away from the main road. The staff were also very good, we had a problem with one room (the mattress had failed so wasn't comfortable) but we were quickly and efficiently upgraded to a larger room nearby which was lovely! Both rooms had excellent showers (one with a bath) and although furniture was simple it was all in good order. All in all a great base for a West End visit or to explore London from.",9.0,Wonderful,1,staff,1
60,United Kingdom,Standard Double or Twin Room,1,February 2020,Family," The online check in was great, allowing us to select rooms near each other, away from the front and see room sizes. The rooms were very clean, had effective heating controls, and of a good size for central London at the price point! We deliberately picked larger rooms in the back newer section of the hotel, they are larger and quieter being away from the main road. The staff were also very good, we had a problem with one room (the mattress had failed so wasn't comfortable) but we were quickly and efficiently upgraded to a larger room nearby which was lovely! Both rooms had excellent showers (one with a bath) and although furniture was simple it was all in good order. All in all a great base for a West End visit or to explore London from.",9.0,Wonderful,1,bed,1
61,United Kingdom,Standard Double or Twin Room,1,February 2020,Family," The online check in was great, allowing us to select rooms near each other, away from the front and see room sizes. The rooms were very clean, had effective heating controls, and of a good size for central London at the price point! We deliberately picked larger rooms in the back newer section of the hotel, they are larger and quieter being away from the main road. The staff were also very good, we had a problem with one room (the mattress had failed so wasn't comfortable) but we were quickly and efficiently upgraded to a larger room nearby which was lovely! Both rooms had excellent showers (one with a bath) and although furniture was simple it was all in good order. All in all a great base for a West End visit or to explore London from.",9.0,Wonderful,1,comfort,1
62,United Kingdom,Standard Double or Twin Room,1,February 2020,Family," The online check in was great, allowing us to select rooms near each other, away from the front and see room sizes. The rooms were very clean, had effective heating controls, and of a good size for central London at the price point! We deliberately picked larger rooms in the back newer section of the hotel, they are larger and quieter being away from the main road. The staff were also very good, we had a problem with one room (the mattress had failed so wasn't comfortable) but we were quickly and efficiently upgraded to a larger room nearby which was lovely! Both rooms had excellent showers (one with a bath) and although furniture was simple it was all in good order. All in all a great base for a West End visit or to explore London from.",9.0,Wonderful,1,bathroom,1
63,Netherlands,Standard Double or Twin Room,2,February 2020,Couple, Clean,7.5,Good,1,dirty,0
64,Israel,Superior Single Room,1,January 2020,Solo traveler," I love this place, and return several times a year. The breakfast is amazing",8.0,Fabulously great!,1,location,1
65,Israel,Superior Single Room,1,January 2020,Solo traveler," I love this place, and return several times a year. The breakfast is amazing",8.0,Fabulously great!,1,food/drink,1
66,United Kingdom,Superior Single Room,2,January 2020,Solo traveler," Fantastic location right by Warren Street tube station, perfect for my journey to and from Kings Cross station and also for exploring central London. Fabulous breakfast and communal areas.",7.0,"Great location, breakfast and communal areas but poorly designed and tiny bedroom.",1,location,1
67,United Kingdom,Superior Single Room,2,January 2020,Solo traveler," Fantastic location right by Warren Street tube station, perfect for my journey to and from Kings Cross station and also for exploring central London. Fabulous breakfast and communal areas.",7.0,"Great location, breakfast and communal areas but poorly designed and tiny bedroom.",1,food/drink,1
68,United Kingdom,Premium Room,1,December 2019,Couple," Convenient location, room was OK. Room was clean and tidy. Staff friendly and helpful.",8.0,Very Good,1,location,1
69,United Kingdom,Premium Room,1,December 2019,Couple," Convenient location, room was OK. Room was clean and tidy. Staff friendly and helpful.",8.0,Very Good,1,dirty,1
70,United Kingdom,Premium Room,1,December 2019,Couple," Convenient location, room was OK. Room was clean and tidy. Staff friendly and helpful.",8.0,Very Good,1,staff,1
71,United Kingdom,Premium Room,1,February 2020,Couple," Clean rooms, friendly and accommodating staff. Massive comfy bed. Plenty of plug sockets.",9.6,Exceptional,1,dirty,0
72,United Kingdom,Premium Room,1,February 2020,Couple," Clean rooms, friendly and accommodating staff. Massive comfy bed. Plenty of plug sockets.",9.6,Exceptional,1,staff,0
73,United Kingdom,Premium Room,1,February 2020,Couple," Clean rooms, friendly and accommodating staff. Massive comfy bed. Plenty of plug sockets.",9.6,Exceptional,1,comfort,0
74,United Kingdom,Premium Room,1,February 2020,Couple," Clean rooms, friendly and accommodating staff. Massive comfy bed. Plenty of plug sockets.",9.6,Exceptional,1,bed,0
75,United Kingdom,Standard Double or Twin Room,2,January 2020,Solo traveler, The room was very comfortable and the location was excellent.,7.0,Good,1,comfort,1
76,United Kingdom,Standard Double or Twin Room,2,January 2020,Solo traveler, The room was very comfortable and the location was excellent.,7.0,Good,1,location,1
77,United Kingdom,Standard Double or Twin Room,2,February 2020,Couple, Bed very comfortable,8.0,Very Good,1,bed,1
78,United Kingdom,Standard Double or Twin Room,2,February 2020,Couple, Bed very comfortable,8.0,Very Good,1,comfort,1
79,United Kingdom,Standard Double or Twin Room,1,February 2020,Couple," Clean and comfortable room.
Nice and quiet - location of room meant minimal noise from outside. 
Excellent location very close to tube station. 
Staff very helpful and friendly.",8.0,Very Good,1,dirty,1
80,United Kingdom,Standard Double or Twin Room,1,February 2020,Couple," Clean and comfortable room.
Nice and quiet - location of room meant minimal noise from outside. 
Excellent location very close to tube station. 
Staff very helpful and friendly.",8.0,Very Good,1,comfort,1
81,United Kingdom,Standard Double or Twin Room,1,February 2020,Couple," Clean and comfortable room.
Nice and quiet - location of room meant minimal noise from outside. 
Excellent location very close to tube station. 
Staff very helpful and friendly.",8.0,Very Good,1,noisiness,1
82,United Kingdom,Standard Double or Twin Room,1,February 2020,Couple," Clean and comfortable room.
Nice and quiet - location of room meant minimal noise from outside. 
Excellent location very close to tube station. 
Staff very helpful and friendly.",8.0,Very Good,1,location,1
83,United Kingdom,Standard Double or Twin Room,1,February 2020,Couple," Clean and comfortable room.
Nice and quiet - location of room meant minimal noise from outside. 
Excellent location very close to tube station. 
Staff very helpful and friendly.",8.0,Very Good,1,staff,1
84,Netherlands,Standard Double or Twin Room,2,January 2020,Family," Perfect location, excellent for connecting to different parts of London. Great breakfast, with a few à la carte options. Smallish room but okay for London standards, cleanliness was decent.",9.0,"Slightly pricy but comfortable stay. Excellent location, breakfast and friendly service.",1,location,1
85,Netherlands,Standard Double or Twin Room,2,January 2020,Family," Perfect location, excellent for connecting to different parts of London. Great breakfast, with a few à la carte options. Smallish room but okay for London standards, cleanliness was decent.",9.0,"Slightly pricy but comfortable stay. Excellent location, breakfast and friendly service.",1,food/drink,1
86,Netherlands,Standard Double or Twin Room,2,January 2020,Family," Perfect location, excellent for connecting to different parts of London. Great breakfast, with a few à la carte options. Smallish room but okay for London standards, cleanliness was decent.",9.0,"Slightly pricy but comfortable stay. Excellent location, breakfast and friendly service.",1,dirty,1
87,United Kingdom,Standard Double or Twin Room,1,February 2020,Family, We really enjoyed the breakfast. It had a great variety of good quality things for us to have.  Very pleasant and helpful staff. Plus our really comfy bed for a good nights sleep.,9.0,"We though the hotel was a really good choice, easy to get to places and would stay again.",1,food/drink,0
88,United Kingdom,Standard Double or Twin Room,1,February 2020,Family, We really enjoyed the breakfast. It had a great variety of good quality things for us to have.  Very pleasant and helpful staff. Plus our really comfy bed for a good nights sleep.,9.0,"We though the hotel was a really good choice, easy to get to places and would stay again.",1,noisiness,0
89,United Kingdom,Standard Double or Twin Room,1,February 2020,Family, We really enjoyed the breakfast. It had a great variety of good quality things for us to have.  Very pleasant and helpful staff. Plus our really comfy bed for a good nights sleep.,9.0,"We though the hotel was a really good choice, easy to get to places and would stay again.",1,staff,0
90,United Kingdom,Standard Double or Twin Room,1,February 2020,Family, We really enjoyed the breakfast. It had a great variety of good quality things for us to have.  Very pleasant and helpful staff. Plus our really comfy bed for a good nights sleep.,9.0,"We though the hotel was a really good choice, easy to get to places and would stay again.",1,comfort,0
91,United Kingdom,Standard Double or Twin Room,1,February 2020,Family, We really enjoyed the breakfast. It had a great variety of good quality things for us to have.  Very pleasant and helpful staff. Plus our really comfy bed for a good nights sleep.,9.0,"We though the hotel was a really good choice, easy to get to places and would stay again.",1,bed,0
92,United Kingdom,Single Room,1,January 2020,Group, Location,9.0,Great location and very good value,1,location,1
93,United Kingdom,Premium Room,3,January 2020,Couple, Location was ideal for meetings and also for Art Gallery and Theatres,8.0,Would use again,1,location,1
94,United Kingdom,Standard Double or Twin Room,2,February 2020,Family," Very central location, spacious rooms. Super friendly staff.",9.2,Wonderful,1,location,1
95,United Kingdom,Standard Double or Twin Room,2,February 2020,Family," Very central location, spacious rooms. Super friendly staff.",9.2,Wonderful,1,staff,1
96,United Kingdom,Standard Double or Twin Room,1,January 2020,Couple, Breakfast excellent but no fried eggs as is common these days. Location superb. Excellent room and enough chairs,9.0,Very enjoyable but a bit too expensove,1,food/drink,1
97,United Kingdom,Standard Double or Twin Room,1,January 2020,Couple, Breakfast excellent but no fried eggs as is common these days. Location superb. Excellent room and enough chairs,9.0,Very enjoyable but a bit too expensove,1,location,1
98,Singapore,Standard Double or Twin Room,2,January 2020,Group," Enjoyed my stay at Radisson Blu for its location, ambience, comfortable and clean room with modern clean bathroom, and superb breakfast. 
I would like to commend the staff Kayla for so kindly changing my room to one that has stairs-free access. Prior to my arrival, I chose my room on the hotel website and did not realise that there is a short flight of steps in that section. Thanks to Kayla's thoughtfulness, I was spared the trouble and hassle as we had two big luggage. In addition, she made an extra effort to check if the room was ready. I was very glad I decided to approach her to check on our room for the second time. 
Her colleague , Mr Cheok, who had checked us in 10 minutes earlier , on the other hand simply told us that the room was not ready and we could leave luggage here and return at 3 pm. He did not take the initiative to do more than necessary. Neither did he advise that the room I had booked had to be accessed via some steps. It was not a welcoming checkin.",9.0,Great stay,1,location,1
99,Singapore,Standard Double or Twin Room,2,January 2020,Group," Enjoyed my stay at Radisson Blu for its location, ambience, comfortable and clean room with modern clean bathroom, and superb breakfast. 
I would like to commend the staff Kayla for so kindly changing my room to one that has stairs-free access. Prior to my arrival, I chose my room on the hotel website and did not realise that there is a short flight of steps in that section. Thanks to Kayla's thoughtfulness, I was spared the trouble and hassle as we had two big luggage. In addition, she made an extra effort to check if the room was ready. I was very glad I decided to approach her to check on our room for the second time. 
Her colleague , Mr Cheok, who had checked us in 10 minutes earlier , on the other hand simply told us that the room was not ready and we could leave luggage here and return at 3 pm. He did not take the initiative to do more than necessary. Neither did he advise that the room I had booked had to be accessed via some steps. It was not a welcoming checkin.",9.0,Great stay,1,comfort,1
100,Singapore,Standard Double or Twin Room,2,January 2020,Group," Enjoyed my stay at Radisson Blu for its location, ambience, comfortable and clean room with modern clean bathroom, and superb breakfast. 
I would like to commend the staff Kayla for so kindly changing my room to one that has stairs-free access. Prior to my arrival, I chose my room on the hotel website and did not realise that there is a short flight of steps in that section. Thanks to Kayla's thoughtfulness, I was spared the trouble and hassle as we had two big luggage. In addition, she made an extra effort to check if the room was ready. I was very glad I decided to approach her to check on our room for the second time. 
Her colleague , Mr Cheok, who had checked us in 10 minutes earlier , on the other hand simply told us that the room was not ready and we could leave luggage here and return at 3 pm. He did not take the initiative to do more than necessary. Neither did he advise that the room I had booked had to be accessed via some steps. It was not a welcoming checkin.",9.0,Great stay,1,dirty,1
101,Singapore,Standard Double or Twin Room,2,January 2020,Group," Enjoyed my stay at Radisson Blu for its location, ambience, comfortable and clean room with modern clean bathroom, and superb breakfast. 
I would like to commend the staff Kayla for so kindly changing my room to one that has stairs-free access. Prior to my arrival, I chose my room on the hotel website and did not realise that there is a short flight of steps in that section. Thanks to Kayla's thoughtfulness, I was spared the trouble and hassle as we had two big luggage. In addition, she made an extra effort to check if the room was ready. I was very glad I decided to approach her to check on our room for the second time. 
Her colleague , Mr Cheok, who had checked us in 10 minutes earlier , on the other hand simply told us that the room was not ready and we could leave luggage here and return at 3 pm. He did not take the initiative to do more than necessary. Neither did he advise that the room I had booked had to be accessed via some steps. It was not a welcoming checkin.",9.0,Great stay,1,bathroom,1
102,Singapore,Standard Double or Twin Room,2,January 2020,Group," Enjoyed my stay at Radisson Blu for its location, ambience, comfortable and clean room with modern clean bathroom, and superb breakfast. 
I would like to commend the staff Kayla for so kindly changing my room to one that has stairs-free access. Prior to my arrival, I chose my room on the hotel website and did not realise that there is a short flight of steps in that section. Thanks to Kayla's thoughtfulness, I was spared the trouble and hassle as we had two big luggage. In addition, she made an extra effort to check if the room was ready. I was very glad I decided to approach her to check on our room for the second time. 
Her colleague , Mr Cheok, who had checked us in 10 minutes earlier , on the other hand simply told us that the room was not ready and we could leave luggage here and return at 3 pm. He did not take the initiative to do more than necessary. Neither did he advise that the room I had booked had to be accessed via some steps. It was not a welcoming checkin.",9.0,Great stay,1,food/drink,1
103,Singapore,Standard Double or Twin Room,2,January 2020,Group," Enjoyed my stay at Radisson Blu for its location, ambience, comfortable and clean room with modern clean bathroom, and superb breakfast. 
I would like to commend the staff Kayla for so kindly changing my room to one that has stairs-free access. Prior to my arrival, I chose my room on the hotel website and did not realise that there is a short flight of steps in that section. Thanks to Kayla's thoughtfulness, I was spared the trouble and hassle as we had two big luggage. In addition, she made an extra effort to check if the room was ready. I was very glad I decided to approach her to check on our room for the second time. 
Her colleague , Mr Cheok, who had checked us in 10 minutes earlier , on the other hand simply told us that the room was not ready and we could leave luggage here and return at 3 pm. He did not take the initiative to do more than necessary. Neither did he advise that the room I had booked had to be accessed via some steps. It was not a welcoming checkin.",9.0,Great stay,1,staff,1
104,United Kingdom,Standard Double or Twin Room,1,February 2020,Couple," Excellent central location, pleasant decor, small and compact but very clean and comfortable rooms, friendly and efficient staff. Would stay again!",8.0,An excellently placed hotel with great staff,1,location,1
105,United Kingdom,Standard Double or Twin Room,1,February 2020,Couple," Excellent central location, pleasant decor, small and compact but very clean and comfortable rooms, friendly and efficient staff. Would stay again!",8.0,An excellently placed hotel with great staff,1,noisiness,1
106,United Kingdom,Standard Double or Twin Room,1,February 2020,Couple," Excellent central location, pleasant decor, small and compact but very clean and comfortable rooms, friendly and efficient staff. Would stay again!",8.0,An excellently placed hotel with great staff,1,comfort,1
107,United Kingdom,Standard Double or Twin Room,1,February 2020,Couple," Excellent central location, pleasant decor, small and compact but very clean and comfortable rooms, friendly and efficient staff. Would stay again!",8.0,An excellently placed hotel with great staff,1,dirty,1
108,United Kingdom,Standard Double or Twin Room,1,February 2020,Couple," Excellent central location, pleasant decor, small and compact but very clean and comfortable rooms, friendly and efficient staff. Would stay again!",8.0,An excellently placed hotel with great staff,1,staff,1
109,United Kingdom,Standard Double or Twin Room,2,February 2020,Couple, Location was brilliant,9.0,Wonderful,1,location,0
110,United Kingdom,Premium Room,1,February 2020,Couple," Room large and comfortable - loved the option to check in online and choose our own room. We were lucky that our room was available super early!
Great location - literally right next to Warren Street tube station, great connectivity. Handy to have shops nearby. Walked to the theatre for a show easily.
Staff were amazing, received an upgrade to get breakfast - thank you!
Great bathroom with robes and slippers in the room.",9.0,Great hotel for a theatre and city break,1,comfort,0
111,United Kingdom,Premium Room,1,February 2020,Couple," Room large and comfortable - loved the option to check in online and choose our own room. We were lucky that our room was available super early!
Great location - literally right next to Warren Street tube station, great connectivity. Handy to have shops nearby. Walked to the theatre for a show easily.
Staff were amazing, received an upgrade to get breakfast - thank you!
Great bathroom with robes and slippers in the room.",9.0,Great hotel for a theatre and city break,1,internet,0
112,United Kingdom,Premium Room,1,February 2020,Couple," Room large and comfortable - loved the option to check in online and choose our own room. We were lucky that our room was available super early!
Great location - literally right next to Warren Street tube station, great connectivity. Handy to have shops nearby. Walked to the theatre for a show easily.
Staff were amazing, received an upgrade to get breakfast - thank you!
Great bathroom with robes and slippers in the room.",9.0,Great hotel for a theatre and city break,1,location,0
113,United Kingdom,Premium Room,1,February 2020,Couple," Room large and comfortable - loved the option to check in online and choose our own room. We were lucky that our room was available super early!
Great location - literally right next to Warren Street tube station, great connectivity. Handy to have shops nearby. Walked to the theatre for a show easily.
Staff were amazing, received an upgrade to get breakfast - thank you!
Great bathroom with robes and slippers in the room.",9.0,Great hotel for a theatre and city break,1,restaurant,0
